Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname_x,URL,created_date_x,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date_y,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,Label
babel/babel,10,24,0,2,0,9,43,0,0,2.0,24560307,babel/babel,https://github.com/babel/babel,2014-09-28 13:38:23,TypeScript,,40045,5121,40045,767,17,babel/babel,1110.0,0.0,2.0,0.0,15100.0,637.0,7422.0,8059.0,151.0,5636.0,5787.0,0.0,250.0,babel/babel,2014-09-28 13:38:23,2749,0.0,0.4037831938886868,0.0,0.0007275372862859,5.492906511458712,0.0,0
vercel/hyper,16,3,0,0,0,9,16,0,16,5.0,62367558,vercel/hyper,https://github.com/vercel/hyper,2016-07-01 06:01:21,TypeScript,,37390,3099,37390,737,18,vercel/hyper,285.0,1269083.0,30.0,444.0,3045.0,746.0,2719.0,3465.0,16.0,2791.0,2807.0,1.0,89.0,vercel/hyper,2016-07-01 06:01:21,2107,602.3175130517324,0.1352634076886568,0.2107261509254864,0.0142382534409112,1.4451827242524915,14.8,0
facebook/jest,23,9,0,0,0,8,31,0,18,15.0,15062869,facebook/jest,https://github.com/facebook/jest,2013-12-10 00:18:04,TypeScript,,37268,5488,37268,1661,19,facebook/jest,1446.0,0.0,2.0,0.0,6020.0,1432.0,5278.0,6710.0,160.0,5589.0,5749.0,4.0,150.0,facebook/jest,2013-12-10 00:18:04,3041,0.0,0.4755014797763893,0.0,0.0006576783952647,1.979611969746793,0.0,0
DefinitelyTyped/DefinitelyTyped,47,7,0,0,0,41,68,1,136,17.0,6093316,DefinitelyTyped/DefinitelyTyped,https://github.com/DefinitelyTyped/DefinitelyTyped,2012-10-05 16:39:45,TypeScript,,36910,26244,36910,704,20,DefinitelyTyped/DefinitelyTyped,17583.0,0.0,2.0,0.0,79703.0,552.0,7099.0,7651.0,215.0,50096.0,50311.0,1.0,549.0,DefinitelyTyped/DefinitelyTyped,2012-10-05 16:39:45,3472,0.0,5.064228110599078,0.0,0.0005760368663594,22.955933179723505,0.0,0
styled-components/styled-components,8,19,0,0,0,6,37,0,10,6.0,65794292,styled-components/styled-components,https://github.com/styled-components/styled-components,2016-08-16 06:41:32,TypeScript,,35385,2188,35385,58,21,styled-components/styled-components,343.0,0.0,2.0,0.0,3302.0,72.0,2439.0,2511.0,6.0,1145.0,1151.0,0.0,193.0,styled-components/styled-components,2016-08-16 06:41:32,2061,0.0,0.1664240659873847,0.0,0.0009704027171276,1.6021348859776807,0.0,0
pixijs/pixijs,36,5,0,0,0,10,37,0,1,7.0,7741856,pixijs/pixijs,https://github.com/pixijs/pixijs,2013-01-21 22:40:50,TypeScript,,34889,4433,34889,99,22,pixijs/pixijs,461.0,1515.0,30.0,312.0,5905.0,98.0,4644.0,4742.0,12.0,3043.0,3055.0,3.0,157.0,pixijs/pixijs,2013-01-21 22:40:50,3364,0.4503567181926278,0.137039239001189,0.0927467300832342,0.0089179548156956,1.755350772889417,10.4,0
vitejs/vite,8,10,0,0,0,2,18,0,1,0.0,257485422,vitejs/vite,https://github.com/vitejs/vite,2020-04-21 05:03:57,TypeScript,,34605,2475,34605,696,23,vitejs/vite,523.0,0.0,2.0,0.0,3717.0,688.0,2820.0,3508.0,193.0,2107.0,2300.0,6.0,111.0,vitejs/vite,2020-04-21 05:03:57,717,0.0,0.7294281729428173,0.0,0.00278940027894,5.184100418410042,0.0,0
vuetifyjs/vuetify,10,5,0,0,0,28,104,1,0,0.0,67962648,vuetifyjs/vuetify,https://github.com/vuetifyjs/vuetify,2016-09-12 00:39:35,TypeScript,,32980,5976,32980,999,24,vuetifyjs/vuetify,753.0,1675.0,30.0,30.0,11682.0,984.0,9589.0,10573.0,46.0,3743.0,3789.0,0.0,140.0,vuetifyjs/vuetify,2016-09-12 00:39:35,2034,0.8235004916420846,0.3702064896755162,0.0147492625368731,0.0147492625368731,5.743362831858407,1.0,0
immutable-js/immutable-js,41,2,0,1,0,22,34,0,53,30.0,21413198,immutable-js/immutable-js,https://github.com/immutable-js/immutable-js,2014-07-02 06:02:29,TypeScript,,31631,1851,31631,110,25,immutable-js/immutable-js,217.0,0.0,2.0,0.0,1689.0,92.0,1112.0,1204.0,20.0,666.0,686.0,12.0,145.0,immutable-js/immutable-js,2014-07-02 06:02:29,2837,0.0,0.0764892492069087,0.0,0.0007049700387733,0.5953471977440958,0.0,0
ant-design/ant-design-pro,50,5,0,0,0,5,9,0,0,2.0,101394335,ant-design/ant-design-pro,https://github.com/ant-design/ant-design-pro,2017-08-25 10:40:44,TypeScript,,30815,7167,30815,113,26,ant-design/ant-design-pro,312.0,0.0,2.0,0.0,2368.0,143.0,8030.0,8173.0,1.0,1315.0,1316.0,7.0,82.0,ant-design/ant-design-pro,2017-08-25 10:40:44,1687,0.0,0.1849436870183758,0.0,0.0011855364552459,1.4036751630112625,0.0,0
