Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname_x,URL,created_date_x,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date_y,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,Label
dotnet/efcore,9,3,0,0,0,4,17,3,3,4.0,16157746,dotnet/efcore,https://github.com/dotnet/efcore,2014-01-23 00:52:01,C#,,10809,2675,10809,1490,23,dotnet/efcore,341.0,0.0,2.0,0.0,12699.0,1528.0,15917.0,17445.0,18.0,9838.0,9856.0,5.0,52.0,dotnet/efcore,2014-01-23 00:52:01,2997,0.0,0.1137804471137804,0.0,0.0006673340006673,4.237237237237237,0.0,1
Ryujinx/Ryujinx,7,0,0,0,0,3,13,0,3,0.0,120231691,Ryujinx/Ryujinx,https://github.com/Ryujinx/Ryujinx,2018-02-04 23:07:54,C#,,10415,1261,10415,362,24,Ryujinx/Ryujinx,110.0,0.0,2.0,0.0,2032.0,302.0,810.0,1112.0,66.0,1945.0,2011.0,0.0,55.0,Ryujinx/Ryujinx,2018-02-04 23:07:54,1524,0.0,0.0721784776902887,0.0,0.0013123359580052,1.3333333333333333,0.0,1
netchx/netch,16,6,0,0,0,3,14,0,13,0.0,193681686,netchx/netch,https://github.com/netchx/netch,2019-06-25 09:55:30,C#,,10220,1617,10220,7,25,netchx/netch,6.0,428998.0,30.0,30.0,291.0,7.0,603.0,610.0,0.0,184.0,184.0,0.0,10.0,netchx/netch,2019-06-25 09:55:30,1018,421.4125736738703,0.005893909626719,0.0294695481335952,0.0294695481335952,0.2858546168958742,1.0,0
QL-Win/QuickLook,28,8,0,0,0,15,21,2,3,0.0,88064357,QL-Win/QuickLook,https://github.com/QL-Win/QuickLook,2017-04-12 14:57:38,C#,,10213,788,10213,329,26,QL-Win/QuickLook,56.0,495104.0,30.0,60.0,818.0,330.0,678.0,1008.0,2.0,89.0,91.0,0.0,76.0,QL-Win/QuickLook,2017-04-12 14:57:38,1822,271.7365532381998,0.0307354555433589,0.0329308452250274,0.0164654226125137,0.4489571899012075,2.0,1
OpenRA/OpenRA,20,2,0,0,0,15,22,0,0,0.0,959908,OpenRA/OpenRA,https://github.com/OpenRA/OpenRA,2010-10-04 07:38:05,C#,,10163,2316,10163,1617,27,OpenRA/OpenRA,410.0,45967.0,30.0,261.0,28593.0,1515.0,7119.0,8634.0,91.0,9078.0,9169.0,1.0,38.0,OpenRA/OpenRA,2010-10-04 07:38:05,4204,10.934110371075166,0.0975261655566127,0.0620837297811608,0.0071360608943862,6.801379638439581,8.7,1
aspnetboilerplate/aspnetboilerplate,16,48,0,0,0,0,69,0,0,0.0,12201538,aspnetboilerplate/aspnetboilerplate,https://github.com/aspnetboilerplate/aspnetboilerplate,2013-08-18 20:45:08,C#,,10020,3522,10020,188,28,aspnetboilerplate/aspnetboilerplate,219.0,0.0,2.0,0.0,7062.0,191.0,5011.0,5202.0,5.0,1180.0,1185.0,1.0,49.0,aspnetboilerplate/aspnetboilerplate,2013-08-18 20:45:08,3155,0.0,0.0694136291600634,0.0,0.000633914421553,2.238351822503962,0.0,1
dotnet/AspNetCore.Docs,0,0,0,0,0,3,3,0,1,0.0,28239455,dotnet/AspNetCore.Docs,https://github.com/dotnet/AspNetCore.Docs,2014-12-19 17:38:02,C#,,9899,23160,9899,587,29,dotnet/AspNetCore.Docs,1694.0,4540.0,30.0,30.0,13809.0,543.0,11214.0,11757.0,9.0,13409.0,13418.0,1.0,25.0,dotnet/AspNetCore.Docs,2014-12-19 17:38:02,2667,1.7022872140982377,0.6351706036745407,0.0112485939257592,0.0112485939257592,5.177727784026996,1.0,1
App-vNext/Polly,155,3,0,4,0,131,177,10,57,27.0,9864166,App-vNext/Polly,https://github.com/App-vNext/Polly,2013-05-05 04:40:04,C#,,9894,929,9894,73,30,App-vNext/Polly,72.0,518.0,27.0,42.0,1000.0,69.0,469.0,538.0,5.0,385.0,390.0,2.0,203.0,App-vNext/Polly,2013-05-05 04:40:04,3260,0.1588957055214724,0.0220858895705521,0.012883435582822,0.008282208588957,0.3067484662576687,1.5555555555555556,1
lionsoul2014/ip2region,11,0,0,0,0,1,4,0,0,9.0,45363955,lionsoul2014/ip2region,https://github.com/lionsoul2014/ip2region,2015-11-02 00:43:13,C#,,9786,1784,9786,27,31,lionsoul2014/ip2region,36.0,0.0,2.0,0.0,311.0,24.0,129.0,153.0,5.0,47.0,52.0,0.0,43.0,lionsoul2014/ip2region,2015-11-02 00:43:13,2349,0.0,0.0153256704980842,0.0,0.0008514261387824,0.1323967645806726,0.0,1
mono/mono,111,2,0,0,0,1,13,0,82,0.0,791611,mono/mono,https://github.com/mono/mono,2010-07-22 18:06:36,C#,,9593,3620,9593,2134,32,mono/mono,1325.0,0.0,2.0,0.0,122541.0,2063.0,2750.0,4813.0,93.0,16428.0,16521.0,0.0,55.0,mono/mono,2010-07-22 18:06:36,4278,0.0,0.309724170172978,0.0,0.0004675081813931,28.64446002805049,0.0,1
JamesNK/Newtonsoft.Json,7,3,0,0,0,1,7,0,0,0.0,3476845,JamesNK/Newtonsoft.Json,https://github.com/JamesNK/Newtonsoft.Json,2012-02-18 07:30:28,C#,,8964,2944,8964,606,33,JamesNK/Newtonsoft.Json,125.0,664636.0,30.0,30.0,1853.0,558.0,1473.0,2031.0,67.0,529.0,596.0,0.0,14.0,JamesNK/Newtonsoft.Json,2012-02-18 07:30:28,3702,179.5343057806591,0.0337655321447866,0.0081037277147487,0.0081037277147487,0.5005402485143166,1.0,1
ardalis/CleanArchitecture,53,7,0,0,0,13,36,0,8,2.0,69673033,ardalis/CleanArchitecture,https://github.com/ardalis/CleanArchitecture,2016-09-30 14:19:20,C#,,8728,1595,8728,16,34,ardalis/CleanArchitecture,41.0,0.0,2.0,0.0,312.0,14.0,129.0,143.0,14.0,183.0,197.0,1.0,40.0,ardalis/CleanArchitecture,2016-09-30 14:19:20,2016,0.0,0.0203373015873015,0.0,0.0009920634920634,0.1547619047619047,0.0,1
bitwarden/server,6,1,0,0,0,3,14,0,2,4.0,46755185,bitwarden/server,https://github.com/bitwarden/server,2015-11-23 23:45:33,C#,,8726,737,8726,166,35,bitwarden/server,99.0,4962.0,30.0,56.0,3315.0,97.0,769.0,866.0,16.0,1007.0,1023.0,0.0,56.0,bitwarden/server,2015-11-23 23:45:33,2328,2.131443298969072,0.0425257731958762,0.0240549828178694,0.0128865979381443,1.4239690721649485,1.8666666666666667,1
