Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname_x,URL,created_date_x,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,fullname_y,open_prs,closed_prs,total_prs,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,readme_issues,readme_commits,created_date_y,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,Label
timescale/timescaledb,26,1,0,0,0,11,35,1,4,2.0,84240850,timescale/timescaledb,https://github.com/timescale/timescaledb,2017-03-07 20:03:41,C,,12166,641,12166,372,50,timescale/timescaledb,timescale/timescaledb,16,2260,2276,82,4199,30,19,3192,382,1418,1800,1,87,2017-03-07 20:03:41,1824,2.302083333333333,0.0449561403508771,0.0104166666666666,0.0164473684210526,1.75,0.6333333333333333,0
Foundry376/Mailspring,2,4,0,0,0,9,20,0,0,3.0,70777180,Foundry376/Mailspring,https://github.com/Foundry376/Mailspring,2016-10-13 06:45:50,C,,11867,757,11867,8,51,Foundry376/Mailspring,Foundry376/Mailspring,4,218,222,239,75020,30,202,7389,3,2142,2145,2,141,2016-10-13 06:45:50,1969,38.100558659217874,0.1213814118842051,0.1025901472828847,0.0152361604875571,3.7526663280853225,6.733333333333333,0
alibaba/tengine,21,1,0,0,0,3,7,1,0,0.0,3784017,alibaba/tengine,https://github.com/alibaba/tengine,2012-03-21 06:34:37,C,,11192,2388,11192,378,43,alibaba/tengine,alibaba/tengine,48,747,795,114,0,8,0,1525,345,465,810,0,23,2012-03-21 06:34:37,3636,0.0,0.0313531353135313,0.0,0.0022002200220022,0.4194169416941694,0.0,0
twitter/twemproxy,102,1,0,0,0,19,59,0,8,0.0,3516624,twitter/twemproxy,https://github.com/twitter/twemproxy,2012-02-22 16:53:58,C,,11121,1952,11121,168,44,twitter/twemproxy,twitter/twemproxy,39,0,39,76,1658,5,2,602,133,281,414,6,108,2012-02-22 16:53:58,3664,0.4525109170305676,0.0207423580786026,0.0005458515283842,0.0013646288209606,0.1643013100436681,0.4,0
ish-app/ish,17,4,0,0,0,4,11,0,16,0.0,90320494,ish-app/ish,https://github.com/ish-app/ish,2017-05-05 00:10:35,C,,10924,585,10924,353,63,ish-app/ish,ish-app/ish,15,241,256,60,38,30,90,3005,369,971,1340,4,57,2017-05-05 00:10:35,1765,0.0215297450424929,0.0339943342776204,0.0509915014164305,0.0169971671388102,1.7025495750708215,3.0,0
hashcat/hashcat,8,1,0,0,0,2,6,1,4,1.0,47409672,hashcat/hashcat,https://github.com/hashcat/hashcat,2015-12-04 14:46:51,C,,10923,1867,10923,124,47,hashcat/hashcat,hashcat/hashcat,7,1559,1566,120,64516,23,14,8334,131,1487,1618,0,22,2015-12-04 14:46:51,2283,28.25930792816469,0.052562417871222,0.0061322820849759,0.0100744634253175,3.650459921156373,0.6086956521739131,0
cloudwu/skynet,2,1,0,0,0,0,0,0,0,3.0,5254557,cloudwu/skynet,https://github.com/cloudwu/skynet,2012-08-01 03:30:42,C,,10764,3736,10764,12,40,cloudwu/skynet,cloudwu/skynet,5,0,5,123,0,30,0,2083,12,810,822,0,39,2012-08-01 03:30:42,3503,0.0,0.0351127604910077,0.0,0.008564087924636,0.5946331715672281,0.0,0
octalmage/robotjs,22,4,1,0,0,15,23,1,2,6.0,23515024,octalmage/robotjs,https://github.com/octalmage/robotjs,2014-08-31 14:13:47,C,,10679,788,10679,143,60,octalmage/robotjs,octalmage/robotjs,24,0,24,60,1479,30,241,651,129,419,548,0,101,2014-08-31 14:13:47,2743,0.5391906671527524,0.0218738607364199,0.0878600072912869,0.0109369303682099,0.2373313889901567,8.033333333333333,0
google/brotli,3,3,0,0,0,8,17,0,3,0.0,24993138,google/brotli,https://github.com/google/brotli,2014-10-09 14:35:14,C,,10622,1015,10622,85,56,google/brotli,google/brotli,10,0,10,91,8157,16,65,1042,69,257,326,3,35,2014-10-09 14:35:14,2704,3.01664201183432,0.0336538461538461,0.0240384615384615,0.0059171597633136,0.3853550295857988,4.0625,0
jonas/tig,6,0,0,0,0,0,0,0,0,0.0,140656,jonas/tig,https://github.com/jonas/tig,2009-03-01 20:39:25,C,,10446,579,10446,199,69,jonas/tig,jonas/tig,23,431,454,186,78780,25,31,2732,162,559,721,1,15,2009-03-01 20:39:25,4752,16.578282828282827,0.0391414141414141,0.006523569023569,0.0052609427609427,0.5749158249158249,1.24,0
skywind3000/kcp,65,5,0,0,0,40,53,1,0,7.0,28515839,skywind3000/kcp,https://github.com/skywind3000/kcp,2014-12-26 16:46:34,C,,10408,2033,10408,133,48,skywind3000/kcp,skywind3000/kcp,13,44,57,28,0,4,0,219,133,158,291,0,113,2014-12-26 16:46:34,2626,0.0,0.0106626047220106,0.0,0.0015232292460015,0.0833968012185834,0.0,1
reactos/reactos,0,2,0,0,0,5,29,0,2,0.0,105627846,reactos/reactos,https://github.com/reactos/reactos,2017-10-03 08:04:52,C,,10133,1216,10133,215,57,reactos/reactos,reactos/reactos,206,0,206,332,2035,8,11,81279,0,0,0,0,40,2017-10-03 08:04:52,1614,1.2608426270136308,0.2057001239157373,0.006815365551425,0.0049566294919454,50.358736059479554,1.375,0
andlabs/libui,32,5,0,0,0,27,35,0,12,2.0,34088285,andlabs/libui,https://github.com/andlabs/libui,2015-04-17 00:35:54,C,,10099,604,10099,249,70,andlabs/libui,andlabs/libui,82,94,176,41,2172,7,65,3957,172,191,363,6,152,2015-04-17 00:35:54,2514,0.863961813842482,0.0163086714399363,0.0258552108194112,0.0027844073190135,1.5739856801909309,9.285714285714286,1
openwrt/openwrt,17,1,0,1,0,4,15,0,7,1.0,45821540,openwrt/openwrt,https://github.com/openwrt/openwrt,2015-11-09 07:13:55,C,,10087,6506,10087,444,42,openwrt/openwrt,openwrt/openwrt,263,4596,4859,1092,0,1,0,53530,1437,3083,4520,0,11,2015-11-09 07:13:55,2308,0.0,0.4731369150779896,0.0,0.0004332755632582,23.193240901213173,0.0,0
openresty/openresty,8,0,0,0,0,0,4,0,7,2.0,480080,openresty/openresty,https://github.com/openresty/openresty,2010-01-20 03:57:59,C,,10032,1332,10032,223,58,openresty/openresty,openresty/openresty,7,165,172,34,29931,13,18,1644,224,416,640,1,22,2010-01-20 03:57:59,4427,6.761011971990061,0.0076801445674271,0.0040659588886379,0.0029365258640162,0.3713575784955952,1.3846153846153846,1
swaywm/sway,11,0,0,0,0,0,0,0,4,0.0,40217904,swaywm/sway,https://github.com/swaywm/sway,2015-08-05 01:31:45,C,,9790,829,9790,620,71,swaywm/sway,swaywm/sway,103,0,103,471,7256,30,48,6887,550,3151,3701,2,153,2015-08-05 01:31:45,2404,3.0183028286189684,0.1959234608985025,0.0199667221297836,0.0124792013311148,2.864808652246256,1.6,0
jedisct1/libsodium,1,9,0,0,0,5,16,1,2,0.0,7710647,jedisct1/libsodium,https://github.com/jedisct1/libsodium,2013-01-20 00:03:40,C,,9737,1514,9737,3,61,jedisct1/libsodium,jedisct1/libsodium,0,329,329,131,8440902,30,50,4039,2,763,765,0,136,2013-01-20 00:03:40,3331,2534.044431101772,0.0393275292704893,0.0150105073551486,0.0090063044130891,1.2125487841489042,1.6666666666666667,0
