fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,fullname_y,open_prs,closed_prs,total_prs,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
jarun/nnn,1,1,0,1,0,1,1,0,0,13023,13023,509,52,jarun/nnn,jarun/nnn,1,540,541,151,2360,30,350,3872,2,757,759,1,900,537.0,140.0,147.0,93.0,147.0,150.0,1
timescale/timescaledb,1,1,0,1,0,1,1,1,0,12166,12166,641,50,timescale/timescaledb,timescale/timescaledb,16,2260,2276,82,4199,30,19,3192,382,1418,1800,1,87,561.0,146.0,146.0,100.0,146.0,169.0,1
Foundry376/Mailspring,0,1,0,1,0,1,1,1,0,11867,11867,757,51,Foundry376/Mailspring,Foundry376/Mailspring,4,218,222,239,75020,30,202,7389,3,2142,2145,2,141,526.0,139.0,145.0,102.0,145.0,134.0,1
TheAlgorithms/C,1,1,0,0,0,1,1,1,0,11757,11757,3089,35,TheAlgorithms/C,TheAlgorithms/C,16,825,841,209,0,0,0,1379,2,81,83,0,74,600.0,155.0,144.0,154.0,144.0,158.0,1
arut/nginx-rtmp-module,0,1,0,1,0,0,1,0,0,11468,11468,3249,36,arut/nginx-rtmp-module,arut/nginx-rtmp-module,83,63,146,15,0,0,0,958,982,526,1508,0,34,565.0,149.0,143.0,156.0,143.0,123.0,1
memcached/memcached,1,1,0,1,1,0,1,1,0,11384,11384,3023,39,memcached/memcached,memcached/memcached,13,0,13,241,0,0,0,1833,55,348,403,0,13,512.0,133.0,142.0,152.0,142.0,76.0,1
alibaba/tengine,0,1,0,1,0,1,1,0,0,11192,11192,2388,43,alibaba/tengine,alibaba/tengine,48,747,795,114,0,8,0,1525,345,465,810,0,23,578.0,152.0,141.0,139.0,141.0,157.0,1
twitter/twemproxy,1,1,0,1,0,1,1,0,0,11121,11121,1952,44,twitter/twemproxy,twitter/twemproxy,39,0,39,76,1658,5,2,602,133,281,414,6,108,512.0,133.0,140.0,130.0,140.0,102.0,1
qmk/qmk_firmware,0,1,0,1,0,1,1,0,0,11072,11072,23036,29,qmk/qmk_firmware,qmk/qmk_firmware,399,13726,14125,2675,0,0,0,20155,465,1886,2351,0,116,643.0,169.0,139.0,182.0,139.0,183.0,1
s-matyukevich/raspberry-pi-os,0,1,0,0,1,0,0,0,0,10975,10975,1065,53,s-matyukevich/raspberry-pi-os,s-matyukevich/raspberry-pi-os,4,135,139,59,0,0,0,498,45,60,105,0,41,509.0,130.0,138.0,111.0,138.0,122.0,1
ish-app/ish,0,1,0,1,0,0,1,0,0,10924,10924,585,63,ish-app/ish,ish-app/ish,15,241,256,60,38,30,90,3005,369,971,1340,4,57,506.0,127.0,137.0,96.0,137.0,136.0,1
hashcat/hashcat,0,0,0,1,0,1,1,1,0,10923,10923,1867,47,hashcat/hashcat,hashcat/hashcat,7,1559,1566,120,64516,23,14,8334,131,1487,1618,0,22,564.0,148.0,136.0,128.0,136.0,164.0,1
cloudwu/skynet,0,1,0,1,1,0,1,0,0,10764,10764,3736,40,cloudwu/skynet,cloudwu/skynet,5,0,5,123,0,30,0,2083,12,810,822,0,39,498.0,119.0,135.0,162.0,135.0,66.0,1
octalmage/robotjs,1,1,0,1,1,1,1,0,0,10679,10679,788,60,octalmage/robotjs,octalmage/robotjs,24,0,24,60,1479,30,241,651,129,419,548,0,101,466.0,109.0,134.0,104.0,134.0,94.0,1
google/brotli,1,1,0,1,1,1,0,0,0,10622,10622,1015,56,google/brotli,google/brotli,10,0,10,91,8157,16,65,1042,69,257,326,3,35,448.0,99.0,133.0,110.0,133.0,72.0,0
jonas/tig,0,1,0,1,0,1,1,1,0,10446,10446,579,69,jonas/tig,jonas/tig,23,431,454,186,78780,25,31,2732,162,559,721,1,15,505.0,125.0,132.0,95.0,132.0,146.0,1
skywind3000/kcp,1,1,0,0,1,1,0,1,0,10408,10408,2033,48,skywind3000/kcp,skywind3000/kcp,13,44,57,28,0,4,0,219,133,158,291,0,113,503.0,124.0,131.0,132.0,131.0,109.0,1
reactos/reactos,1,1,0,1,0,1,1,1,0,10133,10133,1216,57,reactos/reactos,reactos/reactos,206,0,206,332,2035,8,11,81279,0,0,0,0,40,505.0,125.0,130.0,114.0,130.0,131.0,1
andlabs/libui,0,1,0,1,1,0,1,1,1,10099,10099,604,70,andlabs/libui,andlabs/libui,82,94,176,41,2172,7,65,3957,172,191,363,6,152,486.0,115.0,129.0,99.0,129.0,129.0,1
openwrt/openwrt,0,1,0,1,0,1,1,0,0,10087,10087,6506,42,openwrt/openwrt,openwrt/openwrt,263,4596,4859,1092,0,1,0,53530,1437,3083,4520,0,11,603.0,158.0,128.0,172.0,128.0,175.0,1
openresty/openresty,0,1,0,1,0,1,1,1,0,10032,10032,1332,58,openresty/openresty,openresty/openresty,7,165,172,34,29931,13,18,1644,224,416,640,1,22,501.0,122.0,127.0,119.0,127.0,128.0,1
woltapp/blurhash,0,1,0,1,0,0,1,1,0,9841,9841,220,80,woltapp/blurhash,woltapp/blurhash,60,54,114,41,0,0,0,252,38,13,51,2,41,459.0,104.0,126.0,89.0,126.0,118.0,1
swaywm/sway,0,0,0,1,0,1,1,0,0,9790,9790,829,71,swaywm/sway,swaywm/sway,103,0,103,471,7256,30,48,6887,550,3151,3701,2,153,471.0,111.0,125.0,105.0,125.0,116.0,1
jedisct1/libsodium,1,1,0,1,0,1,1,1,0,9737,9737,1514,61,jedisct1/libsodium,jedisct1/libsodium,0,329,329,131,8440902,30,50,4039,2,763,765,0,136,513.0,135.0,124.0,122.0,124.0,143.0,1
h2o/h2o,0,1,0,0,0,1,1,1,0,9670,9670,758,77,h2o/h2o,h2o/h2o,86,1628,1714,148,0,30,0,10025,539,688,1227,1,94,514.0,136.0,122.0,103.0,122.0,167.0,1
