fullname,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
jbogard/MediatR,0,1,0,1,0,0,0,0,0,7164,7164,891,52,jbogard/MediatR,67.0,0.0,2.0,0.0,502.0,70.0,469.0,539.0,8.0,163.0,171.0,0.0,13.0,488.0,115.0,132.0,113.0,132.0,111.0,1
NancyFx/Nancy,0,1,0,1,0,1,1,1,0,7155,7155,1518,53,NancyFx/Nancy,338.0,0.0,2.0,0.0,5476.0,196.0,1136.0,1332.0,26.0,1646.0,1672.0,0.0,17.0,548.0,142.0,131.0,134.0,131.0,152.0,1
jasontaylordev/CleanArchitecture,1,1,0,1,0,1,1,0,0,7125,7125,1596,54,jasontaylordev/CleanArchitecture,55.0,0.0,2.0,0.0,354.0,73.0,258.0,331.0,19.0,120.0,139.0,1.0,58.0,502.0,123.0,130.0,136.0,130.0,106.0,1
dotnet/BenchmarkDotNet,0,1,0,1,0,1,1,1,0,7110,7110,728,55,dotnet/BenchmarkDotNet,190.0,0.0,2.0,0.0,2214.0,167.0,1098.0,1265.0,29.0,648.0,677.0,7.0,115.0,490.0,117.0,129.0,100.0,129.0,132.0,1
abpframework/abp,0,1,0,1,0,1,1,1,0,7104,7104,2241,56,abpframework/abp,307.0,0.0,2.0,0.0,23180.0,542.0,6065.0,6607.0,51.0,5005.0,5056.0,1.0,43.0,579.0,148.0,128.0,151.0,128.0,172.0,1
Perfare/AssetStudio,1,1,0,1,0,0,1,0,0,7102,7102,1294,57,Perfare/AssetStudio,24.0,208861.0,22.0,29.0,556.0,68.0,803.0,871.0,4.0,58.0,62.0,0.0,36.0,478.0,111.0,127.0,130.0,127.0,94.0,1
HangfireIO/Hangfire,1,1,0,1,0,1,1,1,0,7098,7098,1471,58,HangfireIO/Hangfire,154.0,614.0,30.0,30.0,3536.0,630.0,931.0,1561.0,53.0,397.0,450.0,1.0,124.0,508.0,125.0,126.0,133.0,126.0,123.0,1
JeffreySu/WeiXinMPSDK,1,0,0,1,0,0,0,1,0,7076,7076,4146,59,JeffreySu/WeiXinMPSDK,153.0,0.0,2.0,0.0,9388.0,159.0,707.0,866.0,3.0,1723.0,1726.0,0.0,581.0,579.0,148.0,125.0,176.0,125.0,153.0,1
carlospolop/PEASS-ng,0,1,0,1,0,1,0,1,0,7039,7039,1755,60,carlospolop/PEASS-ng,61.0,53984.0,29.0,396.0,1313.0,4.0,115.0,119.0,0.0,157.0,157.0,0.0,89.0,499.0,121.0,124.0,141.0,124.0,110.0,1
dotnet-architecture/eShopOnWeb,0,1,0,1,0,0,1,0,0,6879,6879,3348,61,dotnet-architecture/eShopOnWeb,69.0,0.0,2.0,0.0,533.0,2.0,286.0,288.0,7.0,392.0,399.0,0.0,48.0,533.0,136.0,123.0,168.0,123.0,119.0,1
duplicati/duplicati,1,1,0,1,1,1,1,1,0,6872,6872,699,62,duplicati/duplicati,196.0,6638.0,30.0,269.0,8117.0,815.0,2812.0,3627.0,14.0,1040.0,1054.0,3.0,43.0,488.0,115.0,122.0,98.0,122.0,146.0,1
microsoft/ailab,1,1,0,1,0,1,0,1,1,6861,6861,1281,63,microsoft/ailab,48.0,254.0,1.0,3.0,134.0,24.0,24.0,48.0,40.0,52.0,92.0,0.0,14.0,468.0,108.0,121.0,128.0,121.0,98.0,1
Sonarr/Sonarr,1,1,0,1,0,1,1,1,0,6824,6824,963,64,Sonarr/Sonarr,206.0,0.0,2.0,0.0,9150.0,147.0,3908.0,4055.0,18.0,846.0,864.0,0.0,13.0,496.0,119.0,120.0,117.0,120.0,139.0,1
nopSolutions/nopCommerce,0,1,0,1,0,1,1,1,0,6791,6791,3866,66,nopSolutions/nopCommerce,163.0,28858.0,30.0,153.0,13555.0,194.0,5259.0,5453.0,49.0,662.0,711.0,0.0,37.0,547.0,141.0,119.0,175.0,119.0,134.0,1
xupefei/Locale-Emulator,0,1,0,1,0,1,0,0,0,6774,6774,600,67,xupefei/Locale-Emulator,33.0,4918775.0,30.0,28.0,386.0,0.0,0.0,0.0,2.0,50.0,52.0,0.0,27.0,421.0,97.0,118.0,95.0,118.0,90.0,0
reactiveui/ReactiveUI,0,1,0,0,0,1,1,1,0,6686,6686,1055,68,reactiveui/ReactiveUI,201.0,0.0,2.0,0.0,4827.0,66.0,1102.0,1168.0,11.0,1893.0,1904.0,1.0,91.0,509.0,126.0,117.0,121.0,117.0,154.0,1
MathewSachin/Captura,1,1,0,1,0,1,0,0,0,6653,6653,1240,69,MathewSachin/Captura,51.0,378582.0,27.0,43.0,1121.0,109.0,181.0,290.0,5.0,229.0,234.0,0.0,40.0,472.0,110.0,116.0,126.0,116.0,114.0,1
ThreeMammals/Ocelot,0,1,0,1,0,0,1,1,0,6648,6648,1398,70,ThreeMammals/Ocelot,140.0,559.0,30.0,319.0,1276.0,486.0,527.0,1013.0,82.0,470.0,552.0,45.0,131.0,487.0,114.0,115.0,131.0,115.0,126.0,1
Jackett/Jackett,1,1,0,1,0,0,1,0,1,6634,6634,858,71,Jackett/Jackett,428.0,170608.0,30.0,240.0,9449.0,298.0,10172.0,10470.0,12.0,2352.0,2364.0,54.0,1412.0,496.0,119.0,114.0,111.0,114.0,157.0,1
TGSAN/CMWTAT_Digital_Edition,1,0,0,1,1,1,0,0,0,6619,6619,1075,72,TGSAN/CMWTAT_Digital_Edition,2.0,185370.0,7.0,10.0,31.0,8.0,24.0,32.0,1.0,1.0,2.0,0.0,10.0,389.0,88.0,113.0,122.0,113.0,41.0,0
nilaoda/N_m3u8DL-CLI,1,0,0,1,0,0,1,0,0,6578,6578,1224,73,nilaoda/N_m3u8DL-CLI,7.0,114917.0,30.0,68.0,334.0,170.0,343.0,513.0,0.0,13.0,13.0,0.0,66.0,421.0,97.0,112.0,125.0,112.0,72.0,0
winsw/winsw,0,1,0,1,0,1,1,1,0,6500,6500,1053,74,winsw/winsw,53.0,46995.0,30.0,160.0,786.0,114.0,328.0,442.0,23.0,420.0,443.0,4.0,60.0,463.0,107.0,111.0,120.0,111.0,121.0,1
dvf/blockchain,0,0,0,1,0,0,1,1,0,6466,6466,2439,75,dvf/blockchain,16.0,0.0,2.0,0.0,71.0,61.0,61.0,122.0,47.0,47.0,94.0,0.0,12.0,479.0,112.0,110.0,159.0,110.0,100.0,1
Humanizr/Humanizer,1,1,0,1,0,1,1,1,0,6450,6450,817,76,Humanizr/Humanizer,258.0,284.0,22.0,540.0,2309.0,178.0,343.0,521.0,20.0,642.0,662.0,10.0,192.0,456.0,106.0,109.0,107.0,109.0,131.0,1
dodyg/practical-aspnetcore,1,1,0,1,1,0,1,0,0,6178,6178,812,77,dodyg/practical-aspnetcore,27.0,0.0,2.0,0.0,2409.0,171.0,98.0,269.0,1.0,54.0,55.0,0.0,883.0,414.0,96.0,108.0,106.0,108.0,92.0,0
kgrzybek/modular-monolith-with-ddd,1,1,0,1,1,1,1,1,0,6132,6132,893,78,kgrzybek/modular-monolith-with-ddd,22.0,0.0,2.0,0.0,283.0,37.0,57.0,94.0,7.0,86.0,93.0,1.0,43.0,427.0,100.0,107.0,114.0,107.0,99.0,1
mbdavid/LiteDB,1,1,0,1,1,1,1,0,0,6106,6106,933,79,mbdavid/LiteDB,94.0,22737.0,30.0,34.0,2329.0,464.0,1382.0,1846.0,43.0,244.0,287.0,0.0,120.0,443.0,102.0,106.0,116.0,106.0,115.0,1
ElectronNET/Electron.NET,1,1,0,1,1,1,1,1,0,6060,6060,596,80,ElectronNET/Electron.NET,75.0,0.0,2.0,0.0,718.0,131.0,379.0,510.0,15.0,141.0,156.0,4.0,74.0,413.0,95.0,105.0,94.0,105.0,109.0,0
gitextensions/gitextensions,1,1,0,1,1,1,1,0,0,5989,5989,1789,81,gitextensions/gitextensions,511.0,1497489.0,30.0,80.0,15143.0,610.0,5049.0,5659.0,33.0,3943.0,3976.0,5.0,86.0,518.0,131.0,104.0,144.0,104.0,166.0,1
unoplatform/uno,0,1,0,1,0,1,1,1,0,5980,5980,481,82,unoplatform/uno,280.0,855.0,30.0,492.0,15128.0,1007.0,2580.0,3587.0,96.0,4349.0,4445.0,0.0,129.0,468.0,108.0,103.0,92.0,103.0,170.0,1
mRemoteNG/mRemoteNG,0,1,0,1,0,0,1,1,0,5878,5878,1095,83,mRemoteNG/mRemoteNG,109.0,3608881.0,30.0,94.0,4829.0,663.0,1150.0,1813.0,1.0,366.0,367.0,0.0,9.0,444.0,103.0,102.0,123.0,102.0,117.0,1
migueldeicaza/gui.cs,0,1,0,1,0,0,1,1,0,5844,5844,468,84,migueldeicaza/gui.cs,88.0,0.0,2.0,0.0,2461.0,62.0,706.0,768.0,17.0,770.0,787.0,1.0,75.0,429.0,101.0,101.0,90.0,101.0,137.0,1
aspnet/Mvc,0,1,0,1,0,0,1,0,0,5726,5726,2228,85,aspnet/Mvc,191.0,0.0,2.0,0.0,4596.0,0.0,5180.0,5180.0,0.0,3455.0,3455.0,2.0,27.0,514.0,127.0,100.0,150.0,100.0,164.0,1
Radarr/Radarr,1,1,0,0,0,1,1,1,0,5666,5666,702,86,Radarr/Radarr,299.0,235667.0,30.0,298.0,10835.0,308.0,5266.0,5574.0,34.0,1430.0,1464.0,0.0,65.0,448.0,104.0,99.0,99.0,99.0,151.0,1
rocksdanister/lively,1,1,0,1,1,1,1,1,0,5647,5647,474,87,rocksdanister/lively,4.0,495317.0,30.0,71.0,490.0,141.0,564.0,705.0,1.0,42.0,43.0,16.0,85.0,371.0,86.0,98.0,91.0,98.0,84.0,0
QuantConnect/Lean,1,1,0,1,0,1,1,1,0,5641,5641,2392,88,QuantConnect/Lean,194.0,0.0,2.0,0.0,11313.0,413.0,2018.0,2431.0,6.0,3795.0,3801.0,3.0,97.0,516.0,129.0,97.0,157.0,97.0,165.0,1
lambci/docker-lambda,0,0,0,1,1,0,1,0,0,5617,5617,424,89,lambci/docker-lambda,37.0,0.0,2.0,0.0,440.0,52.0,229.0,281.0,7.0,69.0,76.0,7.0,49.0,375.0,87.0,96.0,88.0,96.0,95.0,0
microsoft/VFSForGit,0,0,0,1,0,1,0,0,0,5570,5570,447,90,microsoft/VFSForGit,57.0,1420359.0,30.0,58.0,2494.0,295.0,472.0,767.0,5.0,989.0,994.0,0.0,54.0,422.0,99.0,95.0,89.0,95.0,143.0,0
