fullname,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
trojan-gfw/trojan,1,1,0,0,1,1,1,1,0,15192,15192,2706,57,trojan-gfw/trojan,23.0,916590.0,30.0,146.0,466.0,26.0,509.0,535.0,3.0,74.0,77.0,1.0,29.0,477.0,114.0,127.0,127.0,127.0,96.0,1
simdjson/simdjson,1,1,0,1,0,1,1,1,1,15074,15074,772,58,simdjson/simdjson,101.0,389.0,29.0,6.0,2358.0,118.0,556.0,674.0,4.0,1069.0,1073.0,0.0,264.0,479.0,115.0,126.0,91.0,126.0,136.0,1
google/mediapipe,1,1,0,1,1,1,1,1,0,14930,14930,3071,59,google/mediapipe,3.0,0.0,2.0,0.0,112.0,292.0,2696.0,2988.0,50.0,116.0,166.0,0.0,43.0,487.0,118.0,125.0,135.0,125.0,102.0,1
zhongyang219/TrafficMonitor,1,0,0,0,0,0,0,1,0,14837,14837,1699,60,zhongyang219/TrafficMonitor,19.0,705409.0,22.0,45.0,782.0,517.0,510.0,1027.0,2.0,30.0,32.0,0.0,36.0,444.0,100.0,124.0,109.0,124.0,87.0,1
facebook/yoga,1,1,0,1,1,0,1,0,0,14815,14815,1243,61,facebook/yoga,254.0,0.0,2.0,0.0,2038.0,233.0,273.0,506.0,104.0,504.0,608.0,2.0,72.0,470.0,111.0,123.0,102.0,123.0,122.0,1
notepad-plus-plus/notepad-plus-plus,0,1,0,0,1,1,1,1,0,14691,14691,3386,62,notepad-plus-plus/notepad-plus-plus,351.0,410290.0,30.0,536.0,4529.0,1558.0,6125.0,7683.0,6.0,2681.0,2687.0,2.0,33.0,542.0,136.0,122.0,143.0,122.0,155.0,1
aseprite/aseprite,1,1,0,0,1,1,1,0,0,14658,14658,1312,63,aseprite/aseprite,75.0,132672.0,30.0,30.0,7655.0,1174.0,1648.0,2822.0,17.0,329.0,346.0,4.0,73.0,457.0,106.0,121.0,103.0,121.0,112.0,1
catchorg/Catch2,0,1,0,1,0,0,1,0,0,14276,14276,2422,64,catchorg/Catch2,318.0,268161.0,30.0,248.0,3935.0,310.0,1274.0,1584.0,16.0,766.0,782.0,2.0,219.0,493.0,121.0,120.0,124.0,120.0,129.0,1
microsoft/react-native-windows,0,1,0,1,1,1,1,1,0,14221,14221,1057,65,microsoft/react-native-windows,214.0,0.0,2.0,0.0,6198.0,666.0,2935.0,3601.0,29.0,5972.0,6001.0,6.0,63.0,504.0,127.0,119.0,100.0,119.0,166.0,1
apache/incubator-weex,0,1,0,1,1,1,1,1,0,13996,13996,1859,66,apache/incubator-weex,308.0,199.0,5.0,1.0,12026.0,232.0,709.0,941.0,15.0,2381.0,2396.0,0.0,94.0,506.0,129.0,118.0,116.0,118.0,154.0,1
Tencent/MMKV,0,1,0,1,1,1,1,1,0,13861,13861,1530,67,Tencent/MMKV,27.0,0.0,2.0,0.0,1039.0,5.0,605.0,610.0,0.0,206.0,206.0,0.0,48.0,448.0,102.0,117.0,108.0,117.0,106.0,1
pqrs-org/Karabiner-Elements,0,1,0,1,0,1,1,0,1,13795,13795,731,68,pqrs-org/Karabiner-Elements,37.0,1756242.0,29.0,30.0,5304.0,497.0,2454.0,2951.0,1.0,69.0,70.0,0.0,66.0,416.0,95.0,116.0,89.0,116.0,95.0,0
dogecoin/dogecoin,1,1,0,1,1,1,1,1,0,13547,13547,2387,69,dogecoin/dogecoin,631.0,1323319.0,30.0,182.0,13953.0,109.0,961.0,1070.0,63.0,1495.0,1558.0,0.0,75.0,497.0,124.0,115.0,122.0,115.0,145.0,1
ethereum/solidity,0,1,0,1,0,1,1,0,0,13428,13428,3318,70,ethereum/solidity,567.0,93809.0,30.0,144.0,21972.0,911.0,4039.0,4950.0,73.0,7378.0,7451.0,1.0,49.0,536.0,135.0,114.0,140.0,114.0,168.0,1
uNetworking/uWebSockets,0,1,0,1,0,1,1,0,0,13375,13375,1451,71,uNetworking/uWebSockets,27.0,0.0,2.0,0.0,793.0,21.0,325.0,346.0,5.0,252.0,257.0,0.0,72.0,439.0,98.0,113.0,104.0,113.0,109.0,0
Tencent/ncnn,1,1,0,0,0,1,1,0,0,13267,13267,3198,72,Tencent/ncnn,220.0,26231.0,30.0,306.0,2450.0,621.0,1809.0,2430.0,28.0,1130.0,1158.0,1.0,83.0,500.0,126.0,112.0,139.0,112.0,137.0,1
gabime/spdlog,1,1,0,1,0,1,1,0,1,13263,13263,2806,73,gabime/spdlog,319.0,0.0,2.0,0.0,3953.0,31.0,1546.0,1577.0,0.0,624.0,624.0,3.0,452.0,473.0,112.0,111.0,128.0,111.0,123.0,1
xbmc/xbmc,0,1,0,1,0,1,1,1,0,13117,13117,5800,74,xbmc/xbmc,1106.0,0.0,2.0,0.0,59813.0,719.0,2017.0,2736.0,164.0,17994.0,18158.0,0.0,25.0,560.0,140.0,110.0,163.0,110.0,177.0,1
google/libphonenumber,1,1,0,1,1,0,1,0,0,13116,13116,1740,75,google/libphonenumber,136.0,0.0,2.0,0.0,1932.0,0.0,0.0,0.0,49.0,1234.0,1283.0,0.0,204.0,469.0,110.0,109.0,112.0,109.0,139.0,1
google/filament,1,1,0,1,0,1,1,1,0,13102,13102,1193,76,google/filament,109.0,453.0,30.0,388.0,4658.0,95.0,1466.0,1561.0,6.0,3234.0,3240.0,0.0,226.0,475.0,113.0,108.0,101.0,108.0,158.0,1
OpenGenus/cosmos,0,1,0,0,0,1,0,1,0,12922,12922,3401,77,OpenGenus/cosmos,1154.0,0.0,2.0,0.0,10327.0,966.0,358.0,1324.0,1526.0,3544.0,5070.0,2.0,32.0,521.0,132.0,107.0,144.0,107.0,163.0,1
Qv2ray/Qv2ray,1,0,0,0,0,1,1,0,1,12822,12822,2501,78,Qv2ray/Qv2ray,62.0,84982.0,30.0,217.0,3037.0,20.0,1058.0,1078.0,0.0,440.0,440.0,4.0,133.0,451.0,104.0,106.0,125.0,106.0,114.0,1
google/guetzli,0,1,0,1,0,0,0,0,0,12602,12602,1007,79,google/guetzli,23.0,35185.0,5.0,22.0,145.0,103.0,68.0,171.0,20.0,81.0,101.0,3.0,20.0,404.0,93.0,105.0,97.0,105.0,97.0,0
fmtlib/fmt,1,1,0,1,1,1,1,0,0,12595,12595,1516,80,fmtlib/fmt,376.0,1023349.0,30.0,29.0,5633.0,9.0,1799.0,1808.0,2.0,978.0,980.0,0.0,363.0,448.0,102.0,104.0,106.0,104.0,134.0,1
apache/incubator-brpc,0,1,0,1,0,1,0,1,0,12591,12591,3147,81,apache/incubator-brpc,143.0,0.0,2.0,0.0,2429.0,484.0,710.0,1194.0,80.0,439.0,519.0,0.0,74.0,460.0,107.0,103.0,136.0,103.0,118.0,1
microsoft/AirSim,1,1,0,1,0,1,1,1,0,12484,12484,3506,82,microsoft/AirSim,239.0,19621.0,26.0,218.0,3379.0,501.0,2594.0,3095.0,11.0,799.0,810.0,1.0,111.0,482.0,116.0,102.0,146.0,102.0,132.0,1
CoatiSoftware/Sourcetrail,1,1,0,1,0,1,1,1,0,12252,12252,837,83,CoatiSoftware/Sourcetrail,45.0,22980.0,9.0,49.0,2760.0,356.0,680.0,1036.0,0.0,190.0,190.0,3.0,92.0,398.0,91.0,101.0,93.0,101.0,103.0,0
MarlinFirmware/Marlin,0,0,0,1,0,1,1,1,0,12158,12158,15554,84,MarlinFirmware/Marlin,1090.0,0.0,2.0,0.0,19266.0,673.0,12328.0,13001.0,53.0,10494.0,10547.0,1.0,197.0,550.0,138.0,100.0,180.0,100.0,170.0,1
arangodb/arangodb,0,1,0,1,0,1,1,0,0,11846,11846,740,85,arangodb/arangodb,166.0,0.0,2.0,0.0,48412.0,577.0,3648.0,4225.0,67.0,11555.0,11622.0,3.0,101.0,461.0,108.0,99.0,90.0,99.0,173.0,1
google/tink,0,1,0,1,1,1,1,1,0,11831,11831,1030,86,google/tink,113.0,556.0,20.0,15.0,4516.0,105.0,291.0,396.0,23.0,168.0,191.0,0.0,97.0,399.0,92.0,98.0,99.0,98.0,104.0,0
onnx/onnx,1,1,0,1,0,1,1,1,0,11761,11761,2266,87,onnx/onnx,256.0,17321.0,21.0,6.0,1908.0,445.0,1380.0,1825.0,75.0,2072.0,2147.0,2.0,77.0,467.0,109.0,97.0,121.0,97.0,152.0,1
wkhtmltopdf/wkhtmltopdf,0,1,0,1,0,0,1,0,0,11685,11685,1527,88,wkhtmltopdf/wkhtmltopdf,93.0,2421.0,15.0,156.0,1172.0,1240.0,2279.0,3519.0,24.0,172.0,196.0,0.0,6.0,404.0,93.0,96.0,107.0,96.0,105.0,0
lettier/3d-game-shaders-for-beginners,1,1,0,1,0,1,1,0,0,11635,11635,851,89,lettier/3d-game-shaders-for-beginners,1.0,0.0,2.0,0.0,1.0,13.0,11.0,24.0,0.0,9.0,9.0,0.0,1.0,354.0,87.0,95.0,94.0,95.0,70.0,0
keepassxreboot/keepassxc,0,1,0,1,0,1,1,1,0,11523,11523,929,90,keepassxreboot/keepassxc,353.0,307951.0,30.0,715.0,4220.0,671.0,4815.0,5486.0,27.0,1656.0,1683.0,3.0,83.0,431.0,97.0,94.0,95.0,94.0,148.0,0
Tencent/rapidjson,1,1,0,1,1,1,1,1,1,11501,11501,3051,91,Tencent/rapidjson,206.0,0.0,2.0,0.0,2407.0,502.0,845.0,1347.0,60.0,583.0,643.0,3.0,62.0,446.0,101.0,93.0,134.0,93.0,126.0,1
WerWolv/ImHex,0,1,0,1,0,1,1,1,1,11466,11466,576,92,WerWolv/ImHex,58.0,4824.0,28.0,129.0,1304.0,34.0,286.0,320.0,2.0,132.0,134.0,0.0,44.0,371.0,88.0,92.0,87.0,92.0,100.0,0
EOSIO/eos,1,1,0,1,0,1,1,1,0,11296,11296,3659,93,EOSIO/eos,343.0,7493.0,30.0,122.0,20554.0,297.0,4741.0,5038.0,79.0,5897.0,5976.0,0.0,282.0,495.0,122.0,91.0,148.0,91.0,165.0,1
USTC-Resource/USTC-Course,1,0,0,0,0,0,1,0,0,11201,11201,3162,94,USTC-Resource/USTC-Course,11.0,0.0,2.0,0.0,86.0,2.0,8.0,10.0,0.0,14.0,14.0,0.0,18.0,394.0,89.0,90.0,137.0,90.0,77.0,0
apple/foundationdb,0,1,0,1,0,0,1,1,0,10880,10880,1016,95,apple/foundationdb,259.0,424.0,30.0,616.0,18688.0,739.0,676.0,1415.0,192.0,4902.0,5094.0,2.0,64.0,440.0,99.0,89.0,98.0,89.0,164.0,0
ShiqiYu/libfacedetection,0,0,0,1,1,1,1,0,0,10818,10818,2905,96,ShiqiYu/libfacedetection,26.0,0.0,2.0,0.0,189.0,37.0,256.0,293.0,3.0,30.0,33.0,2.0,83.0,394.0,89.0,88.0,130.0,88.0,88.0,0
davisking/dlib,0,1,0,1,0,1,1,0,0,10745,10745,2999,97,davisking/dlib,184.0,24898.0,24.0,1.0,8046.0,45.0,1953.0,1998.0,6.0,528.0,534.0,0.0,11.0,425.0,96.0,87.0,132.0,87.0,119.0,0
kyleneideck/BackgroundMusic,1,1,0,1,1,1,1,0,0,10571,10571,508,98,kyleneideck/BackgroundMusic,34.0,99204.0,30.0,70.0,352.0,383.0,138.0,521.0,0.0,34.0,34.0,4.0,85.0,347.0,86.0,86.0,86.0,86.0,89.0,0
ChaojianYu/Hierarchical-Bilinear-Pooling,1,1,0,1,0,1,1,0,0,99,99,23,185,ChaojianYu/Hierarchical-Bilinear-Pooling,1.0,0.0,2.0,0.0,6.0,7.0,3.0,10.0,0.0,0.0,0.0,0.0,6.0,233.0,67.0,85.0,62.0,85.0,1.0,0
