fullname,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
helm/helm,0,1,0,1,1,1,1,0,0,20731,20731,5935,48,helm/helm,682.0,9451.0,30.0,746.0,6509.0,277.0,5991.0,6268.0,212.0,4195.0,4407.0,4.0,97.0,634.0,160.0,144.0,176.0,144.0,170.0,1
nsqio/nsq,0,1,0,0,0,1,1,0,0,20593,20593,2638,49,nsqio/nsq,130.0,2933.0,30.0,94.0,2217.0,50.0,547.0,597.0,12.0,773.0,785.0,0.0,116.0,573.0,149.0,143.0,144.0,143.0,143.0,1
jesseduffield/lazydocker,1,1,0,1,0,0,1,1,1,20451,20451,752,50,jesseduffield/lazydocker,51.0,4262.0,28.0,217.0,552.0,109.0,84.0,193.0,8.0,112.0,120.0,0.0,83.0,486.0,116.0,142.0,98.0,142.0,104.0,1
yeasy/docker_practice,1,0,0,0,0,0,0,0,0,19689,19689,5140,51,yeasy/docker_practice,112.0,291.0,15.0,7.0,1185.0,2.0,194.0,196.0,0.0,296.0,296.0,16.0,146.0,570.0,147.0,141.0,172.0,141.0,116.0,1
nektos/act,1,1,0,1,1,0,1,1,0,19597,19597,514,52,nektos/act,110.0,15698.0,30.0,204.0,531.0,55.0,543.0,598.0,13.0,407.0,420.0,8.0,103.0,496.0,122.0,140.0,94.0,140.0,122.0,1
sirupsen/logrus,0,1,0,1,0,0,1,0,0,19364,19364,2053,53,sirupsen/logrus,294.0,0.0,13.0,0.0,1218.0,11.0,604.0,615.0,65.0,633.0,698.0,1.0,269.0,552.0,140.0,139.0,137.0,139.0,137.0,1
ehang-io/nps,0,1,0,1,0,1,1,1,0,19349,19349,3422,54,ehang-io/nps,38.0,17852.0,30.0,886.0,700.0,266.0,643.0,909.0,8.0,83.0,91.0,1.0,120.0,534.0,131.0,138.0,160.0,138.0,98.0,1
tsenart/vegeta,0,1,0,1,1,1,1,1,1,18718,18718,1163,55,tsenart/vegeta,63.0,3156.0,30.0,227.0,668.0,74.0,301.0,375.0,16.0,193.0,209.0,19.0,179.0,494.0,120.0,137.0,112.0,137.0,108.0,1
k3s-io/k3s,0,1,0,1,1,0,1,1,0,18513,18513,1599,56,k3s-io/k3s,174.0,138.0,30.0,516.0,2197.0,403.0,2670.0,3073.0,17.0,1922.0,1939.0,7.0,87.0,556.0,142.0,136.0,124.0,136.0,160.0,1
zyedidia/micro,0,1,0,1,0,0,1,1,0,18433,18433,932,57,zyedidia/micro,256.0,14991.0,30.0,414.0,2721.0,545.0,1153.0,1698.0,67.0,608.0,675.0,3.0,141.0,509.0,127.0,135.0,103.0,135.0,136.0,1
coreybutler/nvm-windows,0,1,0,1,0,1,1,0,0,18364,18364,1921,58,coreybutler/nvm-windows,67.0,1210778.0,17.0,41.0,346.0,81.0,518.0,599.0,12.0,102.0,114.0,4.0,115.0,502.0,124.0,134.0,133.0,134.0,101.0,1
rancher/rancher,1,0,0,1,1,1,1,1,0,18122,18122,2426,59,rancher/rancher,225.0,446.0,30.0,534.0,8442.0,2070.0,26321.0,28391.0,153.0,7816.0,7969.0,0.0,86.0,587.0,154.0,133.0,143.0,133.0,178.0,1
tmrts/go-patterns,0,1,0,0,0,0,1,0,0,17728,17728,1639,60,tmrts/go-patterns,14.0,0.0,0.0,0.0,72.0,14.0,11.0,25.0,47.0,37.0,84.0,0.0,36.0,487.0,117.0,132.0,126.0,132.0,97.0,1
photoprism/photoprism,0,1,0,1,1,0,1,1,0,17682,17682,953,61,photoprism/photoprism,106.0,0.0,30.0,0.0,5352.0,271.0,1081.0,1352.0,29.0,247.0,276.0,0.0,485.0,481.0,114.0,131.0,105.0,131.0,114.0,1
schollz/croc,0,1,0,1,0,1,1,0,0,17596,17596,733,62,schollz/croc,78.0,24746.0,30.0,768.0,1634.0,73.0,240.0,313.0,5.0,138.0,143.0,3.0,277.0,463.0,111.0,130.0,97.0,130.0,106.0,1
spf13/viper,1,1,0,1,0,0,1,0,0,17526,17526,1516,63,spf13/viper,146.0,0.0,17.0,0.0,480.0,332.0,377.0,709.0,84.0,445.0,529.0,12.0,103.0,507.0,126.0,129.0,122.0,129.0,127.0,1
asim/go-micro,1,1,0,1,0,1,0,0,0,17275,17275,1940,64,asim/go-micro,164.0,0.0,30.0,0.0,3642.0,69.0,820.0,889.0,1.0,1502.0,1503.0,0.0,220.0,542.0,134.0,128.0,134.0,128.0,152.0,1
dgraph-io/dgraph,0,1,0,1,0,1,1,1,0,17026,17026,1250,65,dgraph-io/dgraph,227.0,4848.0,30.0,137.0,5799.0,10.0,2318.0,2328.0,94.0,5652.0,5746.0,0.0,128.0,539.0,133.0,127.0,114.0,127.0,171.0,1
urfave/cli,0,1,0,1,0,0,1,0,0,16929,16929,1472,66,urfave/cli,244.0,0.0,2.0,0.0,2006.0,67.0,567.0,634.0,15.0,687.0,702.0,3.0,151.0,510.0,128.0,126.0,120.0,126.0,138.0,1
valyala/fasthttp,0,1,0,1,0,0,1,0,0,16493,16493,1383,68,valyala/fasthttp,158.0,0.0,2.0,0.0,1456.0,47.0,714.0,761.0,12.0,445.0,457.0,11.0,130.0,493.0,119.0,125.0,118.0,125.0,125.0,1
chai2010/advanced-go-programming-book,1,0,0,0,0,0,1,0,0,16295,16295,2764,69,chai2010/advanced-go-programming-book,79.0,0.0,2.0,0.0,1509.0,50.0,161.0,211.0,3.0,356.0,359.0,0.0,63.0,512.0,129.0,124.0,147.0,124.0,117.0,1
iawia002/annie,1,1,0,1,1,1,1,1,0,16286,16286,1944,70,iawia002/annie,83.0,7602.0,30.0,490.0,724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,382.0,95.0,123.0,135.0,123.0,1.0,0
goharbor/harbor,1,1,0,1,0,1,1,0,0,16250,16250,3914,71,goharbor/harbor,310.0,97992.0,30.0,118.0,11081.0,903.0,8268.0,9171.0,44.0,7155.0,7199.0,0.0,155.0,583.0,153.0,122.0,164.0,122.0,175.0,1
dapr/dapr,0,1,0,1,0,1,1,1,0,16082,16082,1153,72,dapr/dapr,193.0,184.0,30.0,900.0,2757.0,252.0,1761.0,2013.0,31.0,2167.0,2198.0,1.0,105.0,513.0,130.0,121.0,109.0,121.0,162.0,1
yudai/gotty,1,1,0,1,1,1,0,0,0,16024,16024,1237,73,yudai/gotty,23.0,1650.0,16.0,202.0,230.0,97.0,124.0,221.0,41.0,62.0,103.0,0.0,57.0,452.0,105.0,120.0,113.0,120.0,99.0,1
