fullname,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
postcss/postcss,1,1,0,1,0,0,1,0,0,25532,25532,1433,35,postcss/postcss,403.0,0.0,2.0,0.0,3695.0,12.0,846.0,858.0,0.0,825.0,825.0,3.0,775.0,574.0,150.0,161.0,123.0,161.0,129.0,1
excalidraw/excalidraw,1,1,0,1,0,0,1,1,0,25212,25212,1904,36,excalidraw/excalidraw,198.0,487.0,3.0,3.0,2518.0,493.0,1253.0,1746.0,115.0,2908.0,3023.0,0.0,53.0,621.0,163.0,160.0,135.0,160.0,166.0,1
angular/angular-cli,1,1,0,1,0,0,1,0,0,25071,25071,11900,37,angular/angular-cli,614.0,0.0,2.0,0.0,8974.0,232.0,13304.0,13536.0,23.0,8803.0,8826.0,8.0,167.0,688.0,176.0,159.0,186.0,159.0,184.0,1
niklasvh/html2canvas,1,1,0,1,0,0,1,1,0,24826,24826,4176,38,niklasvh/html2canvas,55.0,17685477.0,30.0,83.0,1066.0,713.0,1619.0,2332.0,37.0,405.0,442.0,3.0,12.0,597.0,157.0,158.0,164.0,158.0,117.0,1
cheeriojs/cheerio,1,1,0,1,1,1,1,0,0,24572,24572,1504,40,cheeriojs/cheerio,146.0,0.0,2.0,0.0,1844.0,20.0,1035.0,1055.0,4.0,1321.0,1325.0,10.0,217.0,573.0,148.0,156.0,124.0,156.0,137.0,1
mobxjs/mobx,0,1,0,1,0,1,1,0,0,24572,24572,1611,39,mobxjs/mobx,314.0,0.0,2.0,0.0,3109.0,13.0,1773.0,1786.0,7.0,1111.0,1118.0,1.0,279.0,572.0,147.0,156.0,127.0,156.0,133.0,1
react-hook-form/react-hook-form,1,1,0,1,0,1,1,0,0,24429,24429,1174,41,react-hook-form/react-hook-form,211.0,0.0,2.0,0.0,3135.0,0.0,3010.0,3010.0,16.0,1845.0,1861.0,41.0,266.0,573.0,148.0,155.0,116.0,155.0,147.0,1
tannerlinsley/react-query,1,1,0,0,0,1,1,0,0,24136,24136,1256,42,tannerlinsley/react-query,404.0,0.0,2.0,0.0,1451.0,19.0,855.0,874.0,12.0,942.0,954.0,4.0,276.0,559.0,139.0,154.0,119.0,154.0,132.0,1
supabase/supabase,1,1,0,1,0,0,1,0,0,24050,24050,1212,43,supabase/supabase,360.0,0.0,2.0,0.0,5257.0,201.0,859.0,1060.0,49.0,1598.0,1647.0,0.0,116.0,567.0,144.0,153.0,118.0,153.0,143.0,1
JedWatson/react-select,1,1,0,1,0,1,1,0,0,23761,23761,3816,44,JedWatson/react-select,507.0,0.0,2.0,0.0,4052.0,154.0,3086.0,3240.0,57.0,1511.0,1568.0,6.0,213.0,606.0,160.0,152.0,160.0,152.0,142.0,1
akveo/ngx-admin,1,1,0,1,0,1,1,0,0,23255,23255,7385,45,akveo/ngx-admin,37.0,0.0,2.0,0.0,536.0,382.0,1301.0,1683.0,63.0,881.0,944.0,0.0,57.0,611.0,161.0,151.0,178.0,151.0,131.0,1
ianstormtaylor/slate,0,1,0,1,0,0,1,1,0,23015,23015,2548,46,ianstormtaylor/slate,483.0,0.0,2.0,0.0,3797.0,466.0,2326.0,2792.0,10.0,1993.0,2003.0,2.0,217.0,599.0,159.0,150.0,150.0,150.0,149.0,1
chakra-ui/chakra-ui,1,1,0,1,0,1,1,1,0,22479,22479,1945,47,chakra-ui/chakra-ui,541.0,0.0,2.0,0.0,7915.0,120.0,2313.0,2433.0,29.0,2256.0,2285.0,0.0,287.0,590.0,154.0,149.0,139.0,149.0,153.0,1
angular/components,0,1,0,1,0,0,1,1,0,22334,22334,5931,48,angular/components,648.0,0.0,2.0,0.0,9418.0,1688.0,11296.0,12984.0,252.0,11214.0,11466.0,13.0,91.0,658.0,170.0,148.0,173.0,148.0,189.0,1
doczjs/docz,1,1,0,1,0,1,1,1,0,21987,21987,1398,49,doczjs/docz,136.0,0.0,2.0,0.0,1604.0,109.0,1122.0,1231.0,8.0,467.0,475.0,3.0,102.0,536.0,132.0,147.0,122.0,147.0,120.0,1
t4t5/sweetalert,1,1,0,1,1,1,1,1,0,21857,21857,2899,50,t4t5/sweetalert,72.0,0.0,2.0,0.0,361.0,148.0,543.0,691.0,28.0,250.0,278.0,0.0,40.0,551.0,135.0,146.0,154.0,146.0,105.0,1
balena-io/etcher,0,1,0,1,1,1,1,0,0,21852,21852,1539,51,balena-io/etcher,87.0,427933.0,30.0,502.0,2968.0,344.0,1519.0,1863.0,3.0,1841.0,1844.0,9.0,78.0,562.0,142.0,145.0,126.0,145.0,146.0,1
pmndrs/react-spring,1,1,0,1,1,1,1,1,0,21845,21845,944,52,pmndrs/react-spring,157.0,0.0,2.0,0.0,3234.0,48.0,1007.0,1055.0,5.0,388.0,393.0,0.0,12.0,512.0,127.0,144.0,111.0,144.0,113.0,1
react-native-elements/react-native-elements,1,1,0,1,0,1,1,1,0,21704,21704,4311,53,react-native-elements/react-native-elements,370.0,0.0,2.0,0.0,2229.0,58.0,1837.0,1895.0,8.0,1429.0,1437.0,10.0,105.0,590.0,154.0,143.0,165.0,143.0,139.0,1
reduxjs/react-redux,0,1,0,1,0,1,1,0,0,21574,21574,3141,54,reduxjs/react-redux,275.0,0.0,2.0,0.0,1053.0,17.0,1133.0,1150.0,5.0,676.0,681.0,2.0,100.0,566.0,143.0,142.0,158.0,142.0,124.0,1
vuejs/devtools,1,0,0,0,0,1,1,0,0,21357,21357,3542,55,vuejs/devtools,120.0,55829.0,30.0,18.0,1940.0,350.0,991.0,1341.0,32.0,336.0,368.0,1.0,58.0,551.0,135.0,141.0,159.0,141.0,110.0,1
kriasoft/react-starter-kit,1,1,0,1,0,1,1,1,0,21048,21048,4096,56,kriasoft/react-starter-kit,1.0,0.0,2.0,0.0,3.0,5.0,1165.0,1170.0,2.0,779.0,781.0,0.0,3.0,569.0,145.0,140.0,163.0,140.0,126.0,1
Eugeny/tabby,1,1,0,1,0,1,1,1,0,20839,20839,1042,57,Eugeny/tabby,89.0,245922.0,30.0,388.0,4806.0,811.0,2194.0,3005.0,20.0,2603.0,2623.0,0.0,133.0,551.0,135.0,139.0,114.0,139.0,159.0,1
NativeScript/NativeScript,1,1,0,1,0,1,1,1,0,20692,20692,1533,58,NativeScript/NativeScript,279.0,0.0,2.0,0.0,6886.0,885.0,5513.0,6398.0,23.0,3229.0,3252.0,0.0,92.0,571.0,146.0,138.0,125.0,138.0,170.0,1
react-navigation/react-navigation,0,0,0,1,0,0,0,1,0,20602,20602,4465,59,react-navigation/react-navigation,142.0,0.0,2.0,0.0,1756.0,454.0,8058.0,8512.0,38.0,1454.0,1492.0,2.0,41.0,582.0,152.0,137.0,167.0,137.0,141.0,1
conwnet/github1s,1,1,0,1,0,1,1,0,1,20433,20433,674,60,conwnet/github1s,40.0,0.0,2.0,0.0,295.0,49.0,123.0,172.0,0.0,215.0,215.0,0.0,45.0,476.0,111.0,136.0,102.0,136.0,102.0,1
vercel/swr,0,1,0,1,0,1,1,0,0,20142,20142,751,61,vercel/swr,138.0,0.0,2.0,0.0,593.0,56.0,514.0,570.0,14.0,608.0,622.0,5.0,49.0,497.0,122.0,135.0,105.0,135.0,122.0,1
railsware/upterm,1,1,0,1,0,1,1,1,1,19450,19450,655,62,railsware/upterm,77.0,40721.0,30.0,83.0,2998.0,219.0,533.0,752.0,1.0,565.0,566.0,1.0,78.0,489.0,116.0,134.0,100.0,134.0,121.0,1
n8n-io/n8n,1,1,0,1,1,1,1,0,0,19092,19092,1934,63,n8n-io/n8n,223.0,0.0,2.0,0.0,5514.0,60.0,506.0,566.0,181.0,2208.0,2389.0,1.0,32.0,559.0,139.0,133.0,138.0,133.0,155.0,1
felixrieseberg/windows95,1,1,0,1,0,1,1,0,0,19019,19019,1158,64,felixrieseberg/windows95,15.0,157691.0,12.0,102.0,172.0,114.0,95.0,209.0,12.0,35.0,47.0,1.0,43.0,462.0,108.0,132.0,115.0,132.0,83.0,1
