fullname,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
nuxt/nuxt.js,1,1,0,1,0,1,1,1,0,38887,38887,3152,32,nuxt/nuxt.js,346.0,0.0,30.0,0.0,5559.0,473.0,6158.0,6631.0,37.0,2869.0,2906.0,0.0,153.0,609.0,161.0,155.0,129.0,155.0,170.0,1
mermaid-js/mermaid,0,1,0,1,1,1,1,1,0,38813,38813,2865,33,mermaid-js/mermaid,342.0,0.0,30.0,0.0,4395.0,603.0,1111.0,1714.0,7.0,1075.0,1082.0,0.0,163.0,572.0,148.0,154.0,120.0,154.0,144.0,1
nwjs/nw.js,0,1,0,1,1,1,1,0,0,38575,38575,3936,34,nwjs/nw.js,128.0,0.0,0.0,0.0,4647.0,878.0,6131.0,7009.0,12.0,782.0,794.0,0.0,375.0,572.0,148.0,153.0,135.0,153.0,131.0,1
mozilla/pdf.js,1,1,0,1,0,1,1,1,0,36839,36839,8506,35,mozilla/pdf.js,436.0,1253069.0,30.0,40.0,15413.0,335.0,7773.0,8108.0,18.0,6454.0,6472.0,2.0,120.0,650.0,170.0,152.0,166.0,152.0,180.0,1
Unitech/pm2,0,0,0,1,1,1,0,0,0,36045,36045,2350,36,Unitech/pm2,311.0,0.0,30.0,0.0,4970.0,547.0,3943.0,4490.0,18.0,801.0,819.0,0.0,481.0,546.0,138.0,151.0,111.0,151.0,133.0,1
algorithm-visualizer/algorithm-visualizer,0,1,0,0,0,0,0,1,0,35938,35938,5839,37,algorithm-visualizer/algorithm-visualizer,28.0,0.0,0.0,0.0,664.0,19.0,65.0,84.0,17.0,216.0,233.0,1.0,25.0,551.0,140.0,150.0,149.0,150.0,102.0,1
GitSquared/edex-ui,1,1,0,1,0,1,1,0,0,34702,34702,1905,38,GitSquared/edex-ui,69.0,33734.0,29.0,129.0,1428.0,6.0,553.0,559.0,0.0,475.0,475.0,5.0,105.0,518.0,124.0,149.0,103.0,149.0,117.0,1
Marak/faker.js,1,1,0,1,1,1,1,0,0,34208,34208,2925,39,Marak/faker.js,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.0,95.0,148.0,123.0,148.0,1.0,0
hexojs/hexo,1,1,0,1,0,1,1,1,0,33813,33813,4229,40,hexojs/hexo,197.0,0.0,30.0,0.0,3517.0,73.0,3696.0,3769.0,5.0,1041.0,1046.0,1.0,51.0,574.0,152.0,147.0,138.0,147.0,142.0,1
sahat/hackathon-starter,1,1,0,1,1,1,1,1,0,32466,32466,7489,41,sahat/hackathon-starter,202.0,0.0,13.0,0.0,2541.0,24.0,583.0,607.0,30.0,530.0,560.0,0.0,560.0,572.0,148.0,146.0,159.0,146.0,121.0,1
gulpjs/gulp,1,1,0,1,1,0,1,1,0,32407,32407,4398,42,gulpjs/gulp,263.0,0.0,22.0,0.0,1197.0,26.0,1836.0,1862.0,3.0,645.0,648.0,5.0,140.0,555.0,142.0,145.0,139.0,145.0,126.0,1
videojs/video.js,1,1,0,1,0,1,1,1,0,32394,32394,6992,43,videojs/video.js,495.0,14002.0,30.0,30.0,3798.0,393.0,4307.0,4700.0,15.0,2804.0,2819.0,2.0,59.0,614.0,162.0,144.0,157.0,144.0,169.0,1
koajs/koa,1,1,0,1,0,1,1,0,0,32032,32032,3108,44,koajs/koa,228.0,0.0,0.0,0.0,1150.0,33.0,826.0,859.0,29.0,719.0,748.0,3.0,107.0,544.0,136.0,143.0,128.0,143.0,130.0,1
microsoft/playwright,1,1,0,1,0,0,1,0,0,31060,31060,1328,45,microsoft/playwright,213.0,0.0,30.0,0.0,7197.0,410.0,4173.0,4583.0,22.0,7595.0,7617.0,6.0,217.0,561.0,144.0,142.0,96.0,142.0,181.0,1
lerna/lerna,0,1,0,1,0,0,1,0,0,30890,30890,2038,46,lerna/lerna,282.0,0.0,30.0,0.0,2218.0,703.0,1488.0,2191.0,70.0,815.0,885.0,13.0,201.0,525.0,128.0,141.0,109.0,141.0,134.0,1
photonstorm/phaser,0,1,0,1,1,1,1,0,0,30850,30850,6600,47,photonstorm/phaser,601.0,26144.0,30.0,99.0,17143.0,141.0,3705.0,3846.0,7.0,2092.0,2099.0,0.0,1706.0,596.0,156.0,140.0,155.0,140.0,161.0,1
jondot/awesome-react-native,1,1,0,1,1,0,1,0,0,30706,30706,3784,48,jondot/awesome-react-native,631.0,0.0,0.0,0.0,2193.0,30.0,34.0,64.0,24.0,991.0,1015.0,0.0,1812.0,552.0,141.0,139.0,133.0,139.0,141.0,1
preactjs/preact,1,1,0,1,0,1,1,0,0,30465,30465,1696,49,preactjs/preact,324.0,33.0,30.0,1.0,4993.0,145.0,1334.0,1479.0,83.0,1776.0,1859.0,2.0,133.0,534.0,131.0,138.0,100.0,138.0,158.0,1
carbon-app/carbon,1,1,0,1,0,1,1,1,0,29206,29206,1629,50,carbon-app/carbon,183.0,0.0,30.0,0.0,1764.0,17.0,566.0,583.0,1.0,733.0,734.0,7.0,236.0,502.0,121.0,137.0,99.0,137.0,129.0,1
SheetJS/sheetjs,0,1,0,1,1,1,1,1,0,28307,28307,7237,51,SheetJS/sheetjs,184.0,0.0,0.0,0.0,674.0,105.0,2114.0,2219.0,10.0,275.0,285.0,53.0,189.0,534.0,131.0,136.0,158.0,136.0,104.0,1
react-boilerplate/react-boilerplate,1,1,0,1,0,1,1,0,0,28118,28118,5960,52,react-boilerplate/react-boilerplate,234.0,0.0,16.0,0.0,1457.0,57.0,1813.0,1870.0,36.0,1122.0,1158.0,11.0,119.0,569.0,146.0,135.0,151.0,135.0,148.0,1
tastejs/todomvc,1,1,0,1,0,1,1,0,0,27594,27594,13929,53,tastejs/todomvc,366.0,0.0,5.0,0.0,2905.0,128.0,628.0,756.0,59.0,1223.0,1282.0,6.0,87.0,593.0,155.0,134.0,175.0,134.0,150.0,1
kenwheeler/slick,1,1,0,1,0,1,1,1,1,27204,27204,5805,55,kenwheeler/slick,174.0,0.0,30.0,0.0,921.0,1130.0,2358.0,3488.0,209.0,466.0,675.0,5.0,131.0,541.0,134.0,133.0,148.0,133.0,127.0,1
gorhill/uBlock,1,0,0,1,1,1,1,0,0,27192,27192,2225,56,gorhill/uBlock,111.0,75694.0,30.0,103.0,9679.0,35.0,3416.0,3451.0,0.0,325.0,325.0,3.0,371.0,482.0,116.0,132.0,110.0,132.0,108.0,1
vuejs/vuex,0,1,0,1,1,1,1,1,0,27072,27072,9221,57,vuejs/vuex,337.0,0.0,30.0,0.0,1199.0,80.0,1131.0,1211.0,39.0,876.0,915.0,0.0,44.0,567.0,145.0,131.0,169.0,131.0,136.0,1
jgraph/drawio,0,1,0,1,0,1,0,1,0,26671,26671,5411,58,jgraph/drawio,37.0,3113.0,30.0,30.0,1728.0,230.0,2067.0,2297.0,1.0,135.0,136.0,0.0,78.0,498.0,120.0,130.0,145.0,130.0,93.0,1
markedjs/marked,1,1,0,1,0,1,1,0,0,26461,26461,3097,59,markedjs/marked,147.0,0.0,30.0,0.0,2681.0,47.0,1175.0,1222.0,2.0,1121.0,1123.0,0.0,141.0,530.0,129.0,129.0,126.0,129.0,146.0,1
elsewhencode/project-guidelines,0,1,0,1,0,1,1,1,0,25915,25915,2792,61,elsewhencode/project-guidelines,77.0,0.0,0.0,0.0,165.0,9.0,28.0,37.0,2.0,118.0,120.0,2.0,113.0,466.0,110.0,128.0,118.0,128.0,92.0,1
atlassian/react-beautiful-dnd,1,1,0,0,0,1,1,0,0,25693,25693,1938,62,atlassian/react-beautiful-dnd,129.0,0.0,30.0,0.0,795.0,446.0,998.0,1444.0,62.0,863.0,925.0,10.0,163.0,496.0,119.0,127.0,105.0,127.0,137.0,1
