fullname,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
bcit-ci/CodeIgniter,1,0,0,1,0,0,1,0,0,18172,18172,7783,10,bcit-ci/CodeIgniter,607.0,0.0,0.0,0.0,10323.0,9.0,3197.0,3206.0,3.0,2827.0,2830.0,1.0,27.0,700.0,182.0,176.0,178.0,176.0,170.0,1
sebastianbergmann/phpunit,0,1,0,1,0,1,1,1,0,18062,18062,2046,11,sebastianbergmann/phpunit,508.0,0.0,0.0,0.0,16314.0,143.0,2931.0,3074.0,30.0,1698.0,1728.0,4.0,126.0,670.0,173.0,175.0,155.0,175.0,165.0,1
nextcloud/server,1,1,0,1,0,1,1,1,0,17576,17576,2845,12,nextcloud/server,1095.0,1666.0,30.0,72.0,61748.0,1768.0,11916.0,13684.0,309.0,16737.0,17046.0,1.0,74.0,698.0,180.0,174.0,167.0,174.0,183.0,1
PHPMailer/PHPMailer,1,1,0,1,1,1,1,1,0,17434,17434,9040,13,PHPMailer/PHPMailer,249.0,0.0,30.0,0.0,2087.0,24.0,1840.0,1864.0,7.0,594.0,601.0,2.0,130.0,678.0,175.0,173.0,183.0,173.0,149.0,1
matomo-org/matomo,1,1,0,1,1,1,1,0,0,15676,15676,2224,15,matomo-org/matomo,379.0,6.0,30.0,16.0,28254.0,1892.0,10215.0,12107.0,27.0,6056.0,6083.0,9.0,120.0,679.0,176.0,172.0,157.0,172.0,178.0,1
briannesbitt/Carbon,1,0,0,1,0,1,1,1,0,15547,15547,1191,16,briannesbitt/Carbon,301.0,1434.0,30.0,30.0,3156.0,9.0,1098.0,1107.0,3.0,1441.0,1444.0,0.0,91.0,632.0,166.0,171.0,129.0,171.0,161.0,1
monicahq/monica,0,1,0,1,0,1,1,1,0,15461,15461,1584,17,monicahq/monica,260.0,503.0,30.0,169.0,3604.0,498.0,1223.0,1721.0,4.0,4271.0,4275.0,0.0,9.0,660.0,171.0,170.0,143.0,170.0,177.0,1
nikic/PHP-Parser,0,1,0,1,0,0,0,0,0,15069,15069,847,18,nikic/PHP-Parser,129.0,0.0,30.0,0.0,1395.0,67.0,442.0,509.0,13.0,303.0,316.0,0.0,71.0,589.0,152.0,169.0,121.0,169.0,130.0,1
easychen/howto-make-more-money,1,0,0,0,1,0,0,0,0,14869,14869,1572,19,easychen/howto-make-more-money,13.0,0.0,3.0,0.0,69.0,3.0,22.0,25.0,1.0,15.0,16.0,0.0,37.0,551.0,137.0,168.0,141.0,168.0,74.0,1
erusev/parsedown,0,1,0,1,0,0,1,0,0,13943,13943,1043,20,erusev/parsedown,43.0,0.0,25.0,0.0,843.0,81.0,458.0,539.0,47.0,232.0,279.0,3.0,166.0,583.0,150.0,167.0,125.0,167.0,124.0,1
