fullname,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
seata/seata,0,1,0,1,0,1,1,1,1,21257,21257,7089,41,seata/seata,255.0,71532.0,30.0,60.0,1427.0,552.0,1971.0,2523.0,91.0,1813.0,1904.0,756.0,75.0,624.0,164.0,148.0,160.0,148.0,168.0,1
dromara/hutool,1,1,0,1,1,1,1,0,0,21237,21237,6095,42,dromara/hutool,238.0,0.0,30.0,0.0,3312.0,3.0,1639.0,1642.0,1.0,506.0,507.0,0.0,164.0,582.0,145.0,147.0,145.0,147.0,143.0,1
alibaba/spring-cloud-alibaba,0,1,0,1,1,1,1,0,0,20798,20798,6384,43,alibaba/spring-cloud-alibaba,152.0,0.0,27.0,0.0,2055.0,360.0,1294.0,1654.0,18.0,756.0,774.0,1.0,50.0,597.0,155.0,146.0,153.0,146.0,152.0,1
apache/kafka,0,0,0,1,1,0,1,1,0,20529,20529,10829,44,apache/kafka,1101.0,0.0,0.0,0.0,9797.0,0.0,0.0,0.0,936.0,10923.0,11859.0,0.0,92.0,652.0,172.0,145.0,176.0,145.0,186.0,1
alibaba/nacos,1,1,0,1,0,1,1,1,0,20501,20501,8594,45,alibaba/nacos,277.0,516680.0,30.0,60.0,3952.0,646.0,4715.0,5361.0,44.0,2392.0,2436.0,35.0,67.0,630.0,167.0,144.0,169.0,144.0,173.0,1
halo-dev/halo,1,1,0,1,0,0,1,0,0,20404,20404,6970,46,halo-dev/halo,91.0,33294.0,30.0,30.0,2099.0,77.0,1003.0,1080.0,3.0,592.0,595.0,0.0,141.0,592.0,151.0,143.0,159.0,143.0,147.0,1
google/gson,0,1,0,1,0,1,1,0,0,20340,20340,3940,47,google/gson,133.0,0.0,3.0,0.0,1645.0,481.0,967.0,1448.0,154.0,450.0,604.0,1.0,42.0,555.0,137.0,142.0,123.0,142.0,148.0,1
xuxueli/xxl-job,0,1,0,0,1,1,1,1,1,20057,20057,8498,48,xuxueli/xxl-job,82.0,0.0,30.0,0.0,1694.0,802.0,1635.0,2437.0,88.0,265.0,353.0,0.0,342.0,585.0,147.0,141.0,168.0,141.0,135.0,1
ReactiveX/RxAndroid,0,1,0,1,0,1,1,1,0,19556,19556,3001,49,ReactiveX/RxAndroid,86.0,0.0,18.0,0.0,518.0,1.0,340.0,341.0,0.0,230.0,230.0,2.0,63.0,521.0,126.0,140.0,112.0,140.0,129.0,1
libgdx/libgdx,0,1,0,1,0,1,1,1,0,19363,19363,6237,50,libgdx/libgdx,673.0,24479.0,8.0,3.0,14898.0,169.0,3283.0,3452.0,68.0,3214.0,3282.0,2.0,67.0,602.0,157.0,139.0,148.0,139.0,176.0,1
DrKLO/Telegram,0,1,0,1,0,0,1,0,0,18748,18748,6503,51,DrKLO/Telegram,19.0,0.0,30.0,0.0,439.0,0.0,0.0,0.0,211.0,310.0,521.0,0.0,10.0,574.0,141.0,138.0,154.0,138.0,144.0,1
google/ExoPlayer,0,1,0,1,1,0,1,0,0,18586,18586,5452,52,google/ExoPlayer,295.0,0.0,17.0,0.0,12924.0,534.0,8372.0,8906.0,26.0,1051.0,1077.0,12.0,56.0,574.0,141.0,137.0,141.0,137.0,159.0,1
didi/DoraemonKit,1,1,0,0,0,0,0,0,0,18261,18261,2697,53,didi/DoraemonKit,156.0,0.0,7.0,0.0,2167.0,146.0,461.0,607.0,17.0,368.0,385.0,0.0,208.0,518.0,123.0,136.0,107.0,136.0,139.0,1
apache/skywalking,0,1,0,1,0,1,1,0,0,18240,18240,5372,54,apache/skywalking,447.0,2042.0,30.0,12.0,6944.0,50.0,4045.0,4095.0,0.0,3930.0,3930.0,0.0,442.0,589.0,149.0,135.0,140.0,135.0,179.0,1
square/picasso,0,1,0,1,0,1,0,0,0,18173,18173,4020,55,square/picasso,133.0,0.0,7.0,0.0,1482.0,192.0,1356.0,1548.0,24.0,697.0,721.0,1.0,19.0,543.0,132.0,134.0,124.0,134.0,151.0,1
jenkinsci/jenkins,0,1,0,1,1,1,1,1,0,18168,18168,7119,56,jenkinsci/jenkins,1039.0,854.0,30.0,128.0,32153.0,0.0,0.0,0.0,70.0,6192.0,6262.0,0.0,37.0,609.0,159.0,133.0,161.0,133.0,182.0,1
Baseflow/PhotoView,0,1,0,1,0,1,1,0,0,18041,18041,3854,57,Baseflow/PhotoView,48.0,0.0,5.0,0.0,462.0,180.0,475.0,655.0,14.0,137.0,151.0,0.0,47.0,510.0,121.0,132.0,121.0,132.0,125.0,1
alibaba/Sentinel,1,1,0,1,0,1,1,1,1,17967,17967,6320,58,alibaba/Sentinel,163.0,250270.0,19.0,22.0,733.0,370.0,1363.0,1733.0,122.0,666.0,788.0,1.0,41.0,567.0,139.0,131.0,150.0,131.0,155.0,1
redisson/redisson,1,1,0,1,0,0,1,0,0,17895,17895,4340,59,redisson/redisson,156.0,0.0,30.0,0.0,7150.0,247.0,3456.0,3703.0,27.0,428.0,455.0,0.0,462.0,527.0,127.0,130.0,126.0,130.0,141.0,1
bazelbuild/bazel,0,1,0,0,0,0,1,1,0,17719,17719,3185,60,bazelbuild/bazel,902.0,3257.0,30.0,900.0,32044.0,2280.0,7250.0,9530.0,185.0,4696.0,4881.0,3.0,48.0,552.0,135.0,129.0,114.0,129.0,180.0,1
apache/flink,0,1,0,1,0,1,1,1,0,17666,17666,9942,61,apache/flink,1484.0,0.0,0.0,0.0,30217.0,0.0,0.0,0.0,816.0,18158.0,18974.0,0.0,67.0,618.0,163.0,128.0,174.0,128.0,188.0,1
CarGuo/GSYVideoPlayer,1,1,0,0,1,1,1,0,0,16907,16907,3724,62,CarGuo/GSYVideoPlayer,20.0,42636.0,30.0,30.0,1404.0,14.0,3281.0,3295.0,0.0,46.0,46.0,1.0,424.0,472.0,111.0,127.0,119.0,127.0,99.0,1
nostra13/Android-Universal-Image-Loader,1,1,0,1,1,1,1,0,0,16828,16828,6252,63,nostra13/Android-Universal-Image-Loader,42.0,0.0,0.0,0.0,1038.0,442.0,773.0,1215.0,5.0,147.0,152.0,0.0,217.0,527.0,127.0,126.0,149.0,126.0,126.0,1
elunez/eladmin,1,0,0,0,0,0,1,0,0,16797,16797,6144,64,elunez/eladmin,50.0,0.0,0.0,0.0,474.0,18.0,570.0,588.0,3.0,135.0,138.0,3.0,51.0,519.0,124.0,125.0,147.0,125.0,122.0,1
facebook/fresco,0,1,0,1,0,1,1,0,0,16706,16706,3764,65,facebook/fresco,384.0,1332.0,30.0,10.0,3144.0,164.0,2058.0,2222.0,12.0,392.0,404.0,0.0,62.0,508.0,120.0,124.0,120.0,124.0,140.0,1
linlinjava/litemall,1,1,0,0,1,1,1,0,0,16579,16579,6585,66,linlinjava/litemall,66.0,0.0,8.0,0.0,1151.0,24.0,312.0,336.0,3.0,160.0,163.0,0.0,68.0,528.0,129.0,123.0,155.0,123.0,127.0,1
oracle/graal,1,1,0,0,0,1,1,0,0,16229,16229,1252,67,oracle/graal,351.0,246679.0,30.0,83.0,63960.0,756.0,2113.0,2869.0,89.0,1310.0,1399.0,0.0,71.0,501.0,117.0,122.0,92.0,122.0,165.0,1
forezp/SpringCloudLearning,1,1,0,0,0,0,1,0,0,16189,16189,7778,68,forezp/SpringCloudLearning,3.0,0.0,0.0,0.0,72.0,36.0,12.0,48.0,10.0,3.0,13.0,0.0,41.0,493.0,115.0,121.0,165.0,121.0,86.0,1
dianping/cat,1,0,0,1,0,1,0,0,0,16185,16185,5034,69,dianping/cat,124.0,0.0,0.0,0.0,7320.0,89.0,1054.0,1143.0,28.0,1002.0,1030.0,0.0,121.0,534.0,130.0,120.0,136.0,120.0,158.0,1
shuzheng/zheng,1,0,0,0,1,0,0,0,0,16148,16148,7463,70,shuzheng/zheng,13.0,0.0,0.0,0.0,1241.0,34.0,62.0,96.0,36.0,85.0,121.0,0.0,293.0,520.0,125.0,119.0,163.0,119.0,119.0,1
brettwooldridge/HikariCP,1,1,0,1,0,1,1,1,0,16087,16087,2439,71,brettwooldridge/HikariCP,124.0,0.0,0.0,0.0,2803.0,333.0,1210.0,1543.0,60.0,299.0,359.0,1.0,450.0,475.0,112.0,118.0,103.0,118.0,136.0,1
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,0,1,0,1,0,1,0,1,0,16034,16034,669,72,EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,39.0,0.0,0.0,0.0,184.0,362.0,73.0,435.0,11.0,108.0,119.0,0.0,13.0,442.0,104.0,117.0,90.0,117.0,118.0,1
TeamNewPipe/NewPipe,0,1,0,1,0,1,1,1,0,15651,15651,1945,73,TeamNewPipe/NewPipe,883.0,5150984.0,30.0,30.0,9666.0,1021.0,5290.0,6311.0,33.0,1510.0,1543.0,4.0,125.0,495.0,116.0,116.0,96.0,116.0,167.0,1
winterbe/java8-tutorial,0,1,0,1,0,0,1,0,0,15256,15256,3715,74,winterbe/java8-tutorial,12.0,0.0,2.0,0.0,149.0,0.0,0.0,0.0,0.0,44.0,44.0,0.0,41.0,446.0,108.0,115.0,118.0,115.0,98.0,1
android10/Android-CleanArchitecture,0,1,0,1,0,1,1,0,0,15057,15057,3337,75,android10/Android-CleanArchitecture,12.0,0.0,2.0,0.0,248.0,127.0,122.0,249.0,16.0,41.0,57.0,0.0,20.0,443.0,105.0,114.0,115.0,114.0,100.0,1
openzipkin/zipkin,1,1,0,1,0,0,1,0,0,14931,14931,2835,76,openzipkin/zipkin,124.0,404.0,30.0,1.0,2688.0,162.0,1083.0,1245.0,16.0,2120.0,2136.0,4.0,85.0,504.0,118.0,113.0,108.0,113.0,170.0,1
