fullname,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
github/linguist,0,0,0,1,0,1,1,1,0,9319,9319,3334,39,github/linguist,1069.0,19611.0,30.0,30.0,6371.0,65.0,2010.0,2075.0,41.0,3329.0,3370.0,5.0,127.0,638.0,166.0,150.0,171.0,150.0,167.0,1
Shopify/liquid,0,1,0,1,0,0,1,0,0,9177,9177,1196,40,Shopify/liquid,188.0,0.0,2.0,0.0,1499.0,197.0,535.0,732.0,58.0,728.0,786.0,0.0,27.0,576.0,145.0,149.0,135.0,149.0,143.0,1
activeadmin/activeadmin,0,1,0,1,0,1,1,1,0,9094,9094,3245,41,activeadmin/activeadmin,768.0,0.0,2.0,0.0,7970.0,319.0,3352.0,3671.0,71.0,3615.0,3686.0,0.0,114.0,637.0,165.0,148.0,170.0,148.0,171.0,1
thoughtbot/paperclip,1,1,0,1,0,1,1,1,0,9070,9070,2358,42,thoughtbot/paperclip,463.0,289.0,13.0,2.0,1973.0,34.0,1806.0,1840.0,16.0,826.0,842.0,10.0,203.0,598.0,152.0,147.0,158.0,147.0,146.0,1
thoughtbot/bourbon,0,1,0,1,1,1,1,1,0,9062,9062,915,43,thoughtbot/bourbon,153.0,3170.0,30.0,6.0,1210.0,5.0,558.0,563.0,1.0,542.0,543.0,2.0,60.0,545.0,138.0,146.0,124.0,146.0,129.0,1
resque/resque,1,1,0,1,0,1,1,1,0,9017,9017,1632,44,resque/resque,289.0,0.0,2.0,0.0,1737.0,51.0,810.0,861.0,14.0,900.0,914.0,1.0,158.0,590.0,150.0,145.0,151.0,145.0,149.0,1
DeathKing/Learning-SICP,1,0,0,0,0,0,0,0,0,9008,9008,1389,45,DeathKing/Learning-SICP,28.0,0.0,2.0,0.0,843.0,8.0,58.0,66.0,0.0,41.0,41.0,4.0,82.0,521.0,130.0,144.0,144.0,144.0,89.0,1
thoughtbot/guides,1,1,0,1,0,1,0,1,0,8954,8954,1354,46,thoughtbot/guides,158.0,0.0,2.0,0.0,517.0,0.0,97.0,97.0,0.0,546.0,546.0,3.0,62.0,558.0,141.0,143.0,142.0,143.0,130.0,1
carrierwaveuploader/carrierwave,0,1,0,1,0,1,1,1,0,8668,8668,1614,47,carrierwaveuploader/carrierwave,431.0,0.0,2.0,0.0,2480.0,130.0,1664.0,1794.0,2.0,794.0,796.0,6.0,200.0,578.0,146.0,142.0,150.0,142.0,144.0,1
javan/whenever,0,0,0,1,0,1,1,0,0,8533,8533,710,48,javan/whenever,113.0,0.0,2.0,0.0,535.0,63.0,480.0,543.0,27.0,251.0,278.0,5.0,83.0,507.0,129.0,141.0,116.0,141.0,109.0,1
kaminari/kaminari,1,1,0,1,1,1,1,1,1,8073,8073,1063,49,kaminari/kaminari,170.0,0.0,2.0,0.0,1606.0,34.0,614.0,648.0,15.0,411.0,426.0,2.0,41.0,537.0,137.0,140.0,132.0,140.0,125.0,1
heartcombo/simple_form,1,1,0,1,0,1,1,0,0,7871,7871,1303,50,heartcombo/simple_form,295.0,0.0,2.0,0.0,2024.0,21.0,1162.0,1183.0,7.0,567.0,574.0,6.0,196.0,550.0,140.0,139.0,140.0,139.0,132.0,1
railsadminteam/rails_admin,0,1,0,1,1,1,1,0,0,7541,7541,2199,51,railsadminteam/rails_admin,502.0,0.0,2.0,0.0,4902.0,179.0,2159.0,2338.0,5.0,1122.0,1127.0,1.0,252.0,586.0,148.0,138.0,156.0,138.0,154.0,1
omniauth/omniauth,0,1,0,1,1,1,1,0,0,7469,7469,959,52,omniauth/omniauth,210.0,0.0,2.0,0.0,1423.0,79.0,559.0,638.0,3.0,405.0,408.0,1.0,106.0,524.0,132.0,137.0,126.0,137.0,124.0,1
varvet/pundit,1,1,0,1,0,1,1,0,0,7450,7450,574,53,varvet/pundit,128.0,0.0,2.0,0.0,533.0,6.0,381.0,387.0,10.0,321.0,331.0,4.0,138.0,494.0,123.0,136.0,109.0,136.0,113.0,1
