Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname_x,URL,created_date_x,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date_y,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,Label
flarum/flarum,3,6,0,0,0,3,10,0,0,0.0,28628034,flarum/flarum,https://github.com/flarum/flarum,2014-12-30 11:13:08,PHP,,12145,1339,12145,0,30,flarum/flarum,33.0,0.0,17.0,0.0,337.0,0.0,0.0,0.0,0.0,75.0,75.0,0.0,9.0,flarum/flarum,2014-12-30 11:13:08,2656,0.0,0.0124246987951807,0.0,0.0064006024096385,0.1268825301204819,0.0,0.1332831325301204,1
barryvdh/laravel-ide-helper,43,0,0,1,0,0,6,0,59,29.0,8678290,barryvdh/laravel-ide-helper,https://github.com/barryvdh/laravel-ide-helper,2013-03-10 00:12:55,PHP,,11846,1024,11846,116,31,barryvdh/laravel-ide-helper,213.0,0.0,30.0,0.0,828.0,94.0,727.0,821.0,41.0,462.0,503.0,4.0,19.0,barryvdh/laravel-ide-helper,2013-03-10 00:12:55,3316,0.0,0.0642340168878166,0.0,0.0090470446320868,0.2496984318455971,0.0,0.25874547647768387,1
vlucas/phpdotenv,4,4,0,0,0,2,9,0,29,29.0,7769432,vlucas/phpdotenv,https://github.com/vlucas/phpdotenv,2013-01-23 06:57:12,PHP,,11629,569,11629,3,32,vlucas/phpdotenv,68.0,0.0,30.0,0.0,567.0,4.0,246.0,250.0,0.0,256.0,256.0,1.0,56.0,vlucas/phpdotenv,2013-01-23 06:57:12,3362,0.0,0.0202260559190957,0.0,0.0089232599643069,0.1686496133254015,0.0,0.1775728732897084,1
roots/sage,19,4,0,0,0,6,27,0,10,3.0,1305114,roots/sage,https://github.com/roots/sage,2011-01-29 03:12:09,PHP,,11498,2973,11498,17,33,roots/sage,249.0,229.0,30.0,1.0,2455.0,8.0,1275.0,1283.0,5.0,1664.0,1669.0,8.0,185.0,roots/sage,2011-01-29 03:12:09,4087,0.0560313188157572,0.0609248837778321,0.0002446782481037,0.0073403474431123,0.6006850990946905,0.0333333333333333,0.6413587798711361,0
ramsey/uuid,1,0,0,0,0,3,11,0,1,1.0,4916869,ramsey/uuid,https://github.com/ramsey/uuid,2012-07-05 23:24:53,PHP,,11458,435,11458,22,35,ramsey/uuid,101.0,0.0,30.0,0.0,1109.0,21.0,146.0,167.0,5.0,229.0,234.0,1.0,78.0,ramsey/uuid,2012-07-05 23:24:53,3564,0.0,0.0283389450056116,0.0,0.0084175084175084,0.3111672278338945,0.0,0.3195847362514029,1
slimphp/Slim,16,15,0,0,0,14,38,0,8,6.0,926544,slimphp/Slim,https://github.com/slimphp/Slim,2010-09-21 01:17:06,PHP,,11159,1932,11159,6,36,slimphp/Slim,274.0,0.0,30.0,0.0,4278.0,5.0,1602.0,1607.0,0.0,1508.0,1508.0,2.0,69.0,slimphp/Slim,2010-09-21 01:17:06,4217,0.0,0.0649751007825468,0.0,0.0071140621294759,1.0144652596632675,0.0,1.0215793217927434,0
the-control-group/voyager,0,7,0,0,0,3,9,0,5,7.0,72069409,the-control-group/voyager,https://github.com/the-control-group/voyager,2016-10-27 03:56:49,PHP,,10785,2556,10785,276,37,the-control-group/voyager,415.0,0.0,30.0,0.0,3083.0,199.0,3149.0,3348.0,92.0,2032.0,2124.0,4.0,68.0,the-control-group/voyager,2016-10-27 03:56:49,1989,0.0,0.208647561588738,0.0,0.0150829562594268,1.5500251382604324,0.0,1.5651080945198592,0
octobercms/october,9,2,0,1,0,4,18,0,0,0.0,14732311,octobercms/october,https://github.com/octobercms/october,2013-11-26 23:30:43,PHP,,10738,2272,10738,4,38,octobercms/october,470.0,0.0,3.0,0.0,5756.0,0.0,3319.0,3319.0,0.0,2120.0,2120.0,2.0,57.0,octobercms/october,2013-11-26 23:30:43,3055,0.0,0.1538461538461538,0.0,0.0009819967266775,1.8841243862520456,0.0,1.8851063829787231,0
FriendsOfPHP/PHP-CS-Fixer,6,0,0,0,0,4,8,0,4,2.0,4344257,FriendsOfPHP/PHP-CS-Fixer,https://github.com/FriendsOfPHP/PHP-CS-Fixer,2012-05-16 06:42:23,PHP,,10664,1347,10664,406,39,FriendsOfPHP/PHP-CS-Fixer,327.0,480040.0,30.0,60.0,8664.0,340.0,2004.0,2344.0,78.0,3793.0,3871.0,1.0,43.0,FriendsOfPHP/PHP-CS-Fixer,2012-05-16 06:42:23,3614,132.8278915329275,0.0904814609850581,0.0166021029330381,0.008301051466519,2.3973436635307137,2.0,4.405644714997233,0
doctrine/inflector,0,2,0,0,0,1,2,0,0,0.0,7549096,doctrine/inflector,https://github.com/doctrine/inflector,2013-01-10 21:34:22,PHP,,10642,108,10642,9,40,doctrine/inflector,83.0,0.0,15.0,0.0,333.0,7.0,43.0,50.0,1.0,141.0,142.0,0.0,7.0,doctrine/inflector,2013-01-10 21:34:22,3375,0.0,0.0245925925925925,0.0,0.0044444444444444,0.0986666666666666,0.0,0.103111111111111,1
