Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname_x,URL,created_date_x,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,fullname_y,open_prs,closed_prs,total_prs,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,readme_issues,readme_commits,created_date_y,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,Label
jedisct1/libsodium,1,9,0,0,0,5,16,1,2,0.0,7710647,jedisct1/libsodium,https://github.com/jedisct1/libsodium,2013-01-20 00:03:40,C,,9737,1514,9737,3,61,jedisct1/libsodium,jedisct1/libsodium,0,329,329,131,8440902,30,50,4039,2,763,765,0,136,2013-01-20 00:03:40,3365,2508.4404160475483,0.0389301634472511,0.0148588410104011,0.0089153046062407,1.200297176820208,1.6666666666666667,2.8758791480931154,1
h2o/h2o,0,2,0,0,0,2,6,0,0,0.0,23029617,h2o/h2o,https://github.com/h2o/h2o,2014-08-16 23:59:03,C,,9670,758,9670,618,77,h2o/h2o,h2o/h2o,86,1628,1714,148,0,30,0,10025,539,688,1227,1,94,2014-08-16 23:59:03,2792,0.0,0.0530085959885386,0.0,0.0107449856733524,3.5906160458452723,0.0,3.601361031518625,1
koekeishiya/yabai,3,2,0,0,0,3,4,0,0,0.0,184909163,koekeishiya/yabai,https://github.com/koekeishiya/yabai,2019-05-04 15:00:50,C,,9597,346,9597,163,85,koekeishiya/yabai,koekeishiya/yabai,6,47,53,4,78149,30,30,1087,201,803,1004,3,33,2019-05-04 15:00:50,1070,73.03644859813085,0.0037383177570093,0.02803738317757,0.02803738317757,1.0158878504672897,1.0,2.0439252336448597,1
SpacehuhnTech/esp8266_deauther,16,2,0,0,0,17,25,0,1,0.0,78281075,SpacehuhnTech/esp8266_deauther,https://github.com/SpacehuhnTech/esp8266_deauther,2017-01-07 13:39:23,C,,9261,2020,9261,67,62,SpacehuhnTech/esp8266_deauther,SpacehuhnTech/esp8266_deauther,3,125,128,60,318803,18,257,769,80,758,838,0,115,2017-01-07 13:39:23,1917,166.30307772561292,0.0312989045383411,0.1340636411058946,0.0093896713615023,0.4011476264997392,14.27777777777778,14.688315075639022,1
Tencent/wcdb,55,5,0,0,0,5,7,0,43,10.0,90961634,Tencent/wcdb,https://github.com/Tencent/wcdb,2017-05-11 09:25:03,C,,9250,1224,9250,219,74,Tencent/wcdb,Tencent/wcdb,3,34,37,22,267,12,40,1070,224,589,813,1,44,2017-05-11 09:25:03,1793,0.1489124372559955,0.0122699386503067,0.022308979364194,0.0066926938092582,0.5967651979921919,3.333333333333333,3.936791225134783,1
haiwen/seafile,39,1,0,0,0,4,10,0,0,0.0,4999959,haiwen/seafile,https://github.com/haiwen/seafile,2012-07-12 06:47:55,C,,9169,1367,9169,141,73,haiwen/seafile,haiwen/seafile,6,0,6,87,0,30,0,2238,154,1929,2083,1,53,2012-07-12 06:47:55,3557,0.0,0.0244588136069721,0.0,0.0084340736575766,0.629181894855215,0.0,0.6376159685127917,0
fogleman/Craft,31,2,0,0,0,0,5,0,1,2.0,9330072,fogleman/Craft,https://github.com/fogleman/Craft,2013-04-09 19:47:38,C,,8945,1176,8945,110,82,fogleman/Craft,fogleman/Craft,39,88,127,18,0,1,0,753,72,78,150,0,46,2013-04-09 19:47:38,3286,0.0,0.0054777845404747,0.0,0.0003043213633597,0.22915398660986,0.0,0.2294583079732197,0
HandBrake/HandBrake,0,2,0,1,0,3,9,0,0,0.0,41215835,HandBrake/HandBrake,https://github.com/HandBrake/HandBrake,2015-08-22 16:32:28,C,,8917,863,8917,247,86,HandBrake/HandBrake,HandBrake/HandBrake,20,0,20,118,268917,30,405,11190,246,3130,3376,0,20,2015-08-22 16:32:28,2421,111.07682775712516,0.0487401900041305,0.1672862453531598,0.0123915737298636,4.622057001239157,13.5,18.13444857496902,1
systemd/systemd,0,15,0,0,0,2,18,0,0,0.0,32873313,systemd/systemd,https://github.com/systemd/systemd,2015-03-25 15:27:27,C,,8761,2768,8761,1689,59,systemd/systemd,systemd/systemd,184,0,184,2288,0,30,0,56564,1572,6941,8513,4,45,2015-03-25 15:27:27,2571,0.0,0.8899260987942434,0.0,0.0116686114352392,22.00077790742901,0.0,22.01244651886425,1
acidanthera/OpenCorePkg,37,2,0,0,0,14,22,2,1,0.0,179354282,acidanthera/OpenCorePkg,https://github.com/acidanthera/OpenCorePkg,2019-04-03 19:14:29,C,,8636,1521,8636,4,79,acidanthera/OpenCorePkg,acidanthera/OpenCorePkg,1,319,320,81,359568,30,62,4060,0,0,0,0,31,2019-04-03 19:14:29,1101,326.58310626703,0.0735694822888283,0.0563124432334241,0.0272479564032697,3.68755676657584,2.066666666666667,5.781471389645777,1
