Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname_x,URL,created_date_x,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date_y,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,Label
CoatiSoftware/Sourcetrail,46,3,0,0,0,8,12,0,6,9.0,47690142,CoatiSoftware/Sourcetrail,https://github.com/CoatiSoftware/Sourcetrail,2015-12-09 12:32:11,C++,,12252,837,12252,358,83,CoatiSoftware/Sourcetrail,45.0,22980.0,9.0,49.0,2760.0,356.0,680.0,1036.0,0.0,190.0,190.0,3.0,92.0,CoatiSoftware/Sourcetrail,2015-12-09 12:32:11,2312,9.939446366782008,0.0194636678200692,0.0211937716262975,0.0038927335640138,1.193771626297578,5.444444444444445,6.642108804306036,0
MarlinFirmware/Marlin,20,7,0,0,0,16,40,0,0,0.0,2200856,MarlinFirmware/Marlin,https://github.com/MarlinFirmware/Marlin,2011-08-13 08:07:20,C++,,12158,15554,12158,665,84,MarlinFirmware/Marlin,1090.0,0.0,2.0,0.0,19266.0,673.0,12328.0,13001.0,53.0,10494.0,10547.0,1.0,197.0,MarlinFirmware/Marlin,2011-08-13 08:07:20,3891,0.0,0.2801336417373425,0.0,0.0005140066820868,4.951426368542791,0.0,4.951940375224877,0
arangodb/arangodb,44,4,0,0,0,2,33,0,4,0.0,2649214,arangodb/arangodb,https://github.com/arangodb/arangodb,2011-10-26 06:42:00,C++,,11846,740,11846,663,85,arangodb/arangodb,166.0,0.0,2.0,0.0,48412.0,577.0,3648.0,4225.0,67.0,11555.0,11622.0,3.0,101.0,arangodb/arangodb,2011-10-26 06:42:00,3817,0.0,0.0434896515588158,0.0,0.0005239717055279,12.683259104008384,0.0,12.683783075713912,0
google/tink,41,0,0,0,0,2,4,0,2,5.0,20570214,google/tink,https://github.com/google/tink,2014-06-06 16:21:09,C++,,11831,1030,11831,113,86,google/tink,113.0,556.0,20.0,15.0,4516.0,105.0,291.0,396.0,23.0,168.0,191.0,0.0,97.0,google/tink,2014-06-06 16:21:09,2863,0.1942018861334264,0.0394690883688438,0.0052392595179881,0.0069856793573174,1.5773663988822912,0.75,2.3343520782396086,0
onnx/onnx,18,5,0,0,0,6,18,0,10,19.0,102692863,onnx/onnx,https://github.com/onnx/onnx,2017-09-07 04:53:45,C++,,11761,2266,11761,494,87,onnx/onnx,256.0,17321.0,21.0,6.0,1908.0,445.0,1380.0,1825.0,75.0,2072.0,2147.0,2.0,77.0,onnx/onnx,2017-09-07 04:53:45,1674,10.347072879330945,0.1529271206690561,0.003584229390681,0.0125448028673835,1.1397849462365592,0.2857142857142857,1.4380440348182284,0
wkhtmltopdf/wkhtmltopdf,0,0,0,0,0,0,0,0,0,0.0,271714,wkhtmltopdf/wkhtmltopdf,https://github.com/wkhtmltopdf/wkhtmltopdf,2009-08-07 14:27:43,C++,,11685,1527,11685,1235,88,wkhtmltopdf/wkhtmltopdf,93.0,2421.0,15.0,156.0,1172.0,1240.0,2279.0,3519.0,24.0,172.0,196.0,0.0,6.0,wkhtmltopdf/wkhtmltopdf,2009-08-07 14:27:43,4627,0.5232331964555867,0.0200994164685541,0.0337151502053166,0.0032418413658958,0.2532958720553274,10.4,10.656537713421223,0
lettier/3d-game-shaders-for-beginners,34,1,1,0,0,0,2,0,1,0.0,186309296,lettier/3d-game-shaders-for-beginners,https://github.com/lettier/3d-game-shaders-for-beginners,2019-05-12 22:08:45,C++,,11635,851,11635,13,89,lettier/3d-game-shaders-for-beginners,1.0,0.0,2.0,0.0,1.0,13.0,11.0,24.0,0.0,9.0,9.0,0.0,1.0,lettier/3d-game-shaders-for-beginners,2019-05-12 22:08:45,1062,0.0,0.0009416195856873,0.0,0.0018832391713747,0.0009416195856873,0.0,0.002824858757062,1
keepassxreboot/keepassxc,21,6,0,0,0,3,9,0,0,0.0,52729242,keepassxreboot/keepassxc,https://github.com/keepassxreboot/keepassxc,2016-02-28 15:52:40,C++,,11523,929,11523,660,90,keepassxreboot/keepassxc,353.0,307951.0,30.0,715.0,4220.0,671.0,4815.0,5486.0,27.0,1656.0,1683.0,3.0,83.0,keepassxreboot/keepassxc,2016-02-28 15:52:40,2231,138.03272075302556,0.1582250112057373,0.3204840878529807,0.0134468848050201,1.8915284625728368,23.83333333333333,25.738308680711185,0
Tencent/rapidjson,54,3,0,0,0,17,26,0,18,1.0,17391973,Tencent/rapidjson,https://github.com/Tencent/rapidjson,2014-03-04 05:53:37,C++,,11501,3051,11501,544,91,Tencent/rapidjson,206.0,0.0,2.0,0.0,2407.0,502.0,845.0,1347.0,60.0,583.0,643.0,3.0,62.0,Tencent/rapidjson,2014-03-04 05:53:37,2957,0.0,0.0696652012174501,0.0,0.0006763611768684,0.8140006763611769,0.0,0.8146770375380453,0
WerWolv/ImHex,89,8,0,0,0,16,25,1,14,5.0,311683390,WerWolv/ImHex,https://github.com/WerWolv/ImHex,2020-11-10 14:27:00,C++,,11466,576,11466,91,92,WerWolv/ImHex,58.0,4824.0,28.0,129.0,1304.0,34.0,286.0,320.0,2.0,132.0,134.0,0.0,44.0,WerWolv/ImHex,2020-11-10 14:27:00,514,9.385214007782102,0.11284046692607,0.2509727626459144,0.0544747081712062,2.536964980544747,4.607142857142857,7.19858254585881,0
EOSIO/eos,32,1,0,0,0,2,15,0,0,12.0,87335980,EOSIO/eos,https://github.com/EOSIO/eos,2017-04-05 17:09:53,C++,,11296,3659,11296,368,93,EOSIO/eos,343.0,7493.0,30.0,122.0,20554.0,297.0,4741.0,5038.0,79.0,5897.0,5976.0,0.0,282.0,EOSIO/eos,2017-04-05 17:09:53,1829,4.096774193548387,0.1875341716785128,0.0667031164570803,0.0164024056861673,11.237834882449429,4.066666666666666,15.320903954802262,0
USTC-Resource/USTC-Course,33,8,0,0,0,6,13,0,2,3.0,164782828,USTC-Resource/USTC-Course,https://github.com/USTC-Resource/USTC-Course,2019-01-09 03:48:08,C++,,11201,3162,11201,2,94,USTC-Resource/USTC-Course,11.0,0.0,2.0,0.0,86.0,2.0,8.0,10.0,0.0,14.0,14.0,0.0,18.0,USTC-Resource/USTC-Course,2019-01-09 03:48:08,1185,0.0,0.0092827004219409,0.0,0.0016877637130801,0.0725738396624472,0.0,0.0742616033755273,1
apple/foundationdb,27,2,0,0,0,5,20,1,27,5.0,114187903,apple/foundationdb,https://github.com/apple/foundationdb,2017-12-14 01:40:42,C++,,10880,1016,10880,869,95,apple/foundationdb,259.0,424.0,30.0,616.0,18688.0,739.0,676.0,1415.0,192.0,4902.0,5094.0,2.0,64.0,apple/foundationdb,2017-12-14 01:40:42,1576,0.2690355329949238,0.1643401015228426,0.3908629441624365,0.0190355329949238,11.857868020304569,20.53333333333333,32.41023688663282,0
ShiqiYu/libfacedetection,12,1,0,0,0,4,4,0,1,1.0,29518121,ShiqiYu/libfacedetection,https://github.com/ShiqiYu/libfacedetection,2015-01-20 07:47:20,C++,,10818,2905,10818,40,96,ShiqiYu/libfacedetection,26.0,0.0,2.0,0.0,189.0,37.0,256.0,293.0,3.0,30.0,33.0,2.0,83.0,ShiqiYu/libfacedetection,2015-01-20 07:47:20,2635,0.0,0.0098671726755218,0.0,0.0007590132827324,0.0717267552182163,0.0,0.07248576850094869,1
davisking/dlib,0,1,0,0,0,3,5,0,1,6.0,16331291,davisking/dlib,https://github.com/davisking/dlib,2014-01-29 00:45:33,C++,,10745,2999,10745,40,97,davisking/dlib,184.0,24898.0,24.0,1.0,8046.0,45.0,1953.0,1998.0,6.0,528.0,534.0,0.0,11.0,davisking/dlib,2014-01-29 00:45:33,2991,8.324306252089603,0.0615178869943162,0.0003343363423604,0.0080240722166499,2.690070210631896,0.0416666666666666,2.739760949515212,0
kyleneideck/BackgroundMusic,45,2,0,1,0,19,39,2,11,3.0,52422583,kyleneideck/BackgroundMusic,https://github.com/kyleneideck/BackgroundMusic,2016-02-24 07:19:32,C++,,10571,508,10571,368,98,kyleneideck/BackgroundMusic,34.0,99204.0,30.0,70.0,352.0,383.0,138.0,521.0,0.0,34.0,34.0,4.0,85.0,kyleneideck/BackgroundMusic,2016-02-24 07:19:32,2235,44.38657718120805,0.0152125279642058,0.0313199105145413,0.0134228187919463,0.1574944071588367,2.333333333333333,2.504250559284116,0
chenshuo/muduo,0,0,0,0,0,0,0,0,0,0.0,648343,chenshuo/muduo,https://github.com/chenshuo/muduo,2010-05-05 12:58:02,C++,,10555,4424,10555,86,99,chenshuo/muduo,52.0,0.0,2.0,0.0,792.0,57.0,264.0,321.0,33.0,180.0,213.0,0.0,6.0,chenshuo/muduo,2010-05-05 12:58:02,4356,0.0,0.0119375573921028,0.0,0.0004591368227731,0.1818181818181818,0.0,0.1822773186409549,1
