Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname_x,URL,created_date_x,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date_y,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,Label
mozilla/pdf.js,22,1,0,0,0,12,17,1,12,0.0,1663468,mozilla/pdf.js,https://github.com/mozilla/pdf.js,2011-04-26 06:32:03,JavaScript,,36839,8506,36839,355,35,mozilla/pdf.js,436.0,1253069.0,30.0,40.0,15413.0,335.0,7773.0,8108.0,18.0,6454.0,6472.0,2.0,120.0,mozilla/pdf.js,2011-04-26 06:32:03,4000,313.26725,0.109,0.01,0.0075,3.85325,1.3333333333333333,5.194083333333333,1
Unitech/pm2,0,9,0,0,0,2,14,0,2,17.0,10187082,Unitech/pm2,https://github.com/Unitech/pm2,2013-05-21 03:25:25,JavaScript,,36045,2350,36045,556,36,Unitech/pm2,311.0,0.0,30.0,0.0,4970.0,547.0,3943.0,4490.0,18.0,801.0,819.0,0.0,481.0,Unitech/pm2,2013-05-21 03:25:25,3244,0.0,0.095869297163995,0.0,0.0092478421701602,1.5320591861898891,0.0,1.5413070283600494,1
GitSquared/edex-ui,32,17,2,2,0,27,51,6,12,0.0,80276391,GitSquared/edex-ui,https://github.com/GitSquared/edex-ui,2017-01-28 09:35:02,JavaScript,,34702,1905,34702,6,38,GitSquared/edex-ui,69.0,33734.0,29.0,129.0,1428.0,6.0,553.0,559.0,0.0,475.0,475.0,5.0,105.0,GitSquared/edex-ui,2017-01-28 09:35:02,1896,17.792194092827003,0.0363924050632911,0.0680379746835443,0.015295358649789,0.7531645569620253,4.448275862068965,5.21673577768078,1
Marak/faker.js,274,66,0,0,0,2,75,0,6,10.0,667561,Marak/faker.js,https://github.com/Marak/faker.js,2010-05-15 00:53:07,JavaScript,,34208,2925,34208,294,39,Marak/faker.js,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marak/faker.js,2010-05-15 00:53:07,4346,0.0,0.0,0.0,0.000460193281178,0.0,0.0,0.000460193281178,0
hexojs/hexo,11,15,0,0,0,6,30,2,0,6.0,5923215,hexojs/hexo,https://github.com/hexojs/hexo,2012-09-23 15:17:08,JavaScript,,33813,4229,33813,100,40,hexojs/hexo,197.0,0.0,30.0,0.0,3517.0,73.0,3696.0,3769.0,5.0,1041.0,1046.0,1.0,51.0,hexojs/hexo,2012-09-23 15:17:08,3484,0.0,0.0565442020665901,0.0,0.0086107921928817,1.00947187141217,0.0,1.0180826636050517,1
sahat/hackathon-starter,288,47,1,1,0,26,126,4,136,78.0,14370955,sahat/hackathon-starter,https://github.com/sahat/hackathon-starter,2013-11-13 17:24:12,JavaScript,,32466,7489,32466,45,41,sahat/hackathon-starter,202.0,0.0,13.0,0.0,2541.0,24.0,583.0,607.0,30.0,530.0,560.0,0.0,560.0,sahat/hackathon-starter,2013-11-13 17:24:12,3068,0.0,0.0658409387222946,0.0,0.0042372881355932,0.8282268578878749,0.0,0.8324641460234681,1
gulpjs/gulp,22,0,0,0,0,0,2,1,13,5.0,11167738,gulpjs/gulp,https://github.com/gulpjs/gulp,2013-07-04 05:26:06,JavaScript,,32407,4398,32407,28,42,gulpjs/gulp,263.0,0.0,22.0,0.0,1197.0,26.0,1836.0,1862.0,3.0,645.0,648.0,5.0,140.0,gulpjs/gulp,2013-07-04 05:26:06,3200,0.0,0.0821875,0.0,0.006875,0.3740625,0.0,0.38093750000000004,1
videojs/video.js,4,1,0,8,0,2,7,0,6,6.0,667006,videojs/video.js,https://github.com/videojs/video.js,2010-05-14 18:45:10,JavaScript,,32394,6992,32394,380,43,videojs/video.js,495.0,14002.0,30.0,30.0,3798.0,393.0,4307.0,4700.0,15.0,2804.0,2819.0,2.0,59.0,videojs/video.js,2010-05-14 18:45:10,4347,3.2210720036806992,0.113871635610766,0.0069013112491373,0.0069013112491373,0.8737060041407867,1.0,1.8806073153899239,1
microsoft/playwright,15,1,0,0,0,1,11,0,1,5.0,221981891,microsoft/playwright,https://github.com/microsoft/playwright,2019-11-15 18:32:42,JavaScript,,31060,1328,31060,456,45,microsoft/playwright,213.0,0.0,30.0,0.0,7197.0,410.0,4173.0,4583.0,22.0,7595.0,7617.0,6.0,217.0,microsoft/playwright,2019-11-15 18:32:42,875,0.0,0.2434285714285714,0.0,0.0342857142857142,8.225142857142858,0.0,8.259428571428572,1
lerna/lerna,40,6,0,0,0,8,17,0,49,8.0,47394776,lerna/lerna,https://github.com/lerna/lerna,2015-12-04 09:36:55,JavaScript,,30890,2038,30890,736,46,lerna/lerna,282.0,0.0,30.0,0.0,2218.0,703.0,1488.0,2191.0,70.0,815.0,885.0,13.0,201.0,lerna/lerna,2015-12-04 09:36:55,2317,0.0,0.1217091066033664,0.0,0.0129477772982304,0.9572723349158394,0.0,0.9702201122140698,1
photonstorm/phaser,30,26,1,3,0,13,61,2,13,8.0,9393759,photonstorm/phaser,https://github.com/photonstorm/phaser,2013-04-12 12:27:51,JavaScript,,30850,6600,30850,126,47,photonstorm/phaser,601.0,26144.0,30.0,99.0,17143.0,141.0,3705.0,3846.0,7.0,2092.0,2099.0,0.0,1706.0,photonstorm/phaser,2013-04-12 12:27:51,3283,7.963448065793481,0.1830642704843131,0.0301553457203777,0.0091379835516296,5.221748400852879,3.3,8.530886384404507,1
preactjs/preact,7,71,1,0,0,6,78,1,1,2.0,42283287,preactjs/preact,https://github.com/preactjs/preact,2015-09-11 02:40:18,JavaScript,,30465,1696,30465,222,49,preactjs/preact,324.0,33.0,30.0,1.0,4993.0,145.0,1334.0,1479.0,83.0,1776.0,1859.0,2.0,133.0,preactjs/preact,2015-09-11 02:40:18,2401,0.0137442732194918,0.1349437734277384,0.0004164931278633,0.0124947938359017,2.079550187421908,0.0333333333333333,2.125378314591143,1
