Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
alibaba/weex,0,4,0,0,0,2,5,0,0,0.0,53658802,alibaba/weex,https://github.com/alibaba/weex,2016-03-11 10:18:11,C++,,17774,2156,17774,23,34,alibaba/weex,307.0,0.0,2.0,0.0,12033.0,26.0,1882.0,1908.0,1.0,1374.0,1375.0,10.0,96.0,603.0,151.0,161.0,129.0,161.0,152.0,1
taichi-dev/taichi,12,15,6,3,0,20,30,0,0,1.0,74660642,taichi-dev/taichi,https://github.com/taichi-dev/taichi,2016-11-24 10:00:05,C++,,17523,1792,17523,421,35,taichi-dev/taichi,184.0,0.0,2.0,0.0,8422.0,406.0,1103.0,1509.0,35.0,2929.0,2964.0,0.0,287.0,611.0,158.0,160.0,124.0,160.0,167.0,1
telegramdesktop/tdesktop,37,4,0,0,0,17,38,0,0,0.0,19374812,telegramdesktop/tdesktop,https://github.com/telegramdesktop/tdesktop,2014-05-02 12:36:31,C++,,17411,3707,17411,705,36,telegramdesktop/tdesktop,173.0,8361.0,30.0,177.0,12010.0,713.0,10057.0,10770.0,11.0,1259.0,1270.0,3.0,101.0,626.0,165.0,159.0,159.0,159.0,149.0,1
yuzu-emu/yuzu,7,1,0,0,0,6,17,0,0,0.0,116167731,yuzu-emu/yuzu,https://github.com/yuzu-emu/yuzu,2018-01-03 18:13:57,C++,,17243,1459,17243,839,37,yuzu-emu/yuzu,329.0,0.0,2.0,0.0,20945.0,897.0,1605.0,2502.0,45.0,4935.0,4980.0,0.0,69.0,604.0,152.0,158.0,115.0,158.0,173.0,1
swoole/swoole-src,28,11,0,0,0,15,25,1,17,15.0,5133949,swoole/swoole-src,https://github.com/swoole/swoole-src,2012-07-21 13:49:59,C++,,17149,3176,17149,69,38,swoole/swoole-src,198.0,3996.0,30.0,14.0,12441.0,81.0,2929.0,3010.0,2.0,1572.0,1574.0,0.0,172.0,619.0,159.0,157.0,148.0,157.0,157.0,1
facebook/hhvm,5,0,0,0,0,2,16,0,3,0.0,455600,facebook/hhvm,https://github.com/facebook/hhvm,2010-01-02 01:17:06,C++,,17143,2971,17143,632,39,facebook/hhvm,1309.0,0.0,2.0,0.0,47722.0,594.0,5278.0,5872.0,62.0,2929.0,2991.0,0.0,80.0,621.0,161.0,156.0,141.0,156.0,168.0,1
google/flatbuffers,21,6,0,0,0,0,5,0,1,0.0,19953044,google/flatbuffers,https://github.com/google/flatbuffers,2014-05-19 18:33:01,C++,,17120,2671,17120,134,40,google/flatbuffers,573.0,40056.0,18.0,17.0,2520.0,122.0,1756.0,1878.0,14.0,1869.0,1883.0,0.0,21.0,608.0,156.0,155.0,136.0,155.0,162.0,1
microsoft/CNTK,134,3,0,0,0,4,27,0,61,1.0,46918116,microsoft/CNTK,https://github.com/microsoft/CNTK,2015-11-26 09:52:06,C++,,17117,4386,17117,838,41,microsoft/CNTK,296.0,5123.0,30.0,29.0,16116.0,753.0,2527.0,3280.0,82.0,457.0,539.0,0.0,150.0,604.0,152.0,154.0,165.0,154.0,131.0,1
Light-City/CPlusPlusThings,125,2,0,0,0,0,3,0,3,4.0,196813750,Light-City/CPlusPlusThings,https://github.com/Light-City/CPlusPlusThings,2019-07-14 08:45:45,C++,,17027,4108,17027,69,42,Light-City/CPlusPlusThings,22.0,0.0,2.0,0.0,196.0,52.0,91.0,143.0,21.0,36.0,57.0,0.0,85.0,570.0,145.0,153.0,161.0,153.0,103.0,1
TheAlgorithms/C-Plus-Plus,7,12,0,0,0,9,20,0,0,0.0,63477612,TheAlgorithms/C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,2016-07-16 10:19:45,C++,,16980,4609,16980,147,43,TheAlgorithms/C-Plus-Plus,285.0,0.0,2.0,0.0,1555.0,7.0,184.0,191.0,61.0,1675.0,1736.0,2.0,31.0,634.0,168.0,152.0,169.0,152.0,161.0,1
