Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
meteor/meteor,15,3,0,0,0,3,18,0,0,3.0,3214406,meteor/meteor,https://github.com/meteor/meteor,2012-01-19 01:58:17,JavaScript,,42714,5192,42714,119,25,meteor/meteor,818.0,0.0,0.0,0.0,31974.0,111.0,8587.0,8698.0,5.0,3082.0,3087.0,2.0,86.0,678.0,177.0,172.0,153.0,172.0,181.0,1
NARKOZ/hacker-scripts,0,0,0,0,0,4,4,0,11,2.0,46629305,NARKOZ/hacker-scripts,https://github.com/NARKOZ/hacker-scripts,2015-11-21 19:05:09,JavaScript,,42587,6560,42587,69,26,NARKOZ/hacker-scripts,58.0,0.0,0.0,0.0,148.0,34.0,37.0,71.0,30.0,109.0,139.0,0.0,14.0,608.0,157.0,171.0,164.0,171.0,102.0,1
serverless/serverless,26,8,1,0,0,4,21,0,1,9.0,34302698,serverless/serverless,https://github.com/serverless/serverless,2015-04-21 03:48:40,JavaScript,,41469,5035,41469,886,27,serverless/serverless,1125.0,64152.0,30.0,90.0,15183.0,850.0,4705.0,5555.0,31.0,4847.0,4878.0,0.0,542.0,678.0,177.0,170.0,152.0,170.0,186.0,1
yarnpkg/yarn,9,5,0,0,0,5,14,0,0,0.0,49970642,yarnpkg/yarn,https://github.com/yarnpkg/yarn,2016-01-19 17:39:16,JavaScript,,40296,2755,40296,1956,28,yarnpkg/yarn,544.0,36364.0,30.0,253.0,2351.0,1806.0,4533.0,6339.0,157.0,2110.0,2267.0,7.0,74.0,637.0,169.0,169.0,125.0,169.0,174.0,1
ColorlibHQ/AdminLTE,8,8,0,0,0,5,27,0,3,12.0,15428480,ColorlibHQ/AdminLTE,https://github.com/ColorlibHQ/AdminLTE,2013-12-25 02:52:40,JavaScript,,40017,17168,40017,50,29,ColorlibHQ/AdminLTE,127.0,0.0,30.0,0.0,2462.0,38.0,2603.0,2641.0,18.0,1523.0,1541.0,0.0,94.0,686.0,179.0,168.0,187.0,168.0,163.0,1
parcel-bundler/parcel,11,18,0,0,0,2,27,0,0,0.0,99598595,parcel-bundler/parcel,https://github.com/parcel-bundler/parcel,2017-08-07 16:36:47,JavaScript,,39581,2036,39581,680,30,parcel-bundler/parcel,358.0,0.0,14.0,0.0,2636.0,687.0,3758.0,4445.0,72.0,2393.0,2465.0,3.0,37.0,624.0,164.0,167.0,115.0,167.0,175.0,1
TryGhost/Ghost,0,2,0,0,0,5,27,1,1,3.0,9852918,TryGhost/Ghost,https://github.com/TryGhost/Ghost,2013-05-04 11:09:13,JavaScript,,39155,8464,39155,53,31,TryGhost/Ghost,475.0,5603.0,30.0,30.0,15651.0,30.0,6255.0,6285.0,23.0,7878.0,7901.0,11.0,132.0,698.0,184.0,166.0,175.0,166.0,191.0,1
nuxt/nuxt.js,16,13,0,0,0,8,27,0,4,2.0,71995937,nuxt/nuxt.js,https://github.com/nuxt/nuxt.js,2016-10-26 11:18:47,JavaScript,,38887,3152,38887,449,32,nuxt/nuxt.js,346.0,0.0,30.0,0.0,5559.0,473.0,6158.0,6631.0,37.0,2869.0,2906.0,0.0,153.0,646.0,171.0,165.0,137.0,165.0,179.0,1
mermaid-js/mermaid,3,4,0,1,0,10,23,2,0,0.0,26066727,mermaid-js/mermaid,https://github.com/mermaid-js/mermaid,2014-11-01 23:52:32,JavaScript,,38813,2865,38813,520,33,mermaid-js/mermaid,342.0,0.0,30.0,0.0,4395.0,603.0,1111.0,1714.0,7.0,1075.0,1082.0,0.0,163.0,609.0,159.0,164.0,128.0,164.0,153.0,1
nwjs/nw.js,15,1,0,0,0,6,19,0,11,8.0,3100121,nwjs/nw.js,https://github.com/nwjs/nw.js,2012-01-04 06:21:10,JavaScript,,38575,3936,38575,879,34,nwjs/nw.js,128.0,0.0,0.0,0.0,4647.0,878.0,6131.0,7009.0,12.0,782.0,794.0,0.0,375.0,610.0,160.0,163.0,144.0,163.0,140.0,1
