Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
bcit-ci/CodeIgniter,6,0,0,0,0,2,3,0,9,0.0,2234102,bcit-ci/CodeIgniter,https://github.com/bcit-ci/CodeIgniter,2011-08-19 13:34:00,PHP,,18172,7783,18172,96,10,bcit-ci/CodeIgniter,607.0,0.0,0.0,0.0,10323.0,9.0,3197.0,3206.0,3.0,2827.0,2830.0,1.0,27.0,739.0,192.0,186.0,187.0,186.0,180.0,1
sebastianbergmann/phpunit,8,4,0,0,0,10,15,1,1,1.0,448045,sebastianbergmann/phpunit,https://github.com/sebastianbergmann/phpunit,2009-12-24 13:16:23,PHP,,18062,2046,18062,160,11,sebastianbergmann/phpunit,508.0,0.0,0.0,0.0,16314.0,143.0,2931.0,3074.0,30.0,1698.0,1728.0,4.0,126.0,709.0,182.0,185.0,164.0,185.0,175.0,1
nextcloud/server,22,4,0,0,0,3,26,0,7,7.0,60243197,nextcloud/server,https://github.com/nextcloud/server,2016-06-02 07:44:14,PHP,,17576,2845,17576,1830,12,nextcloud/server,1095.0,1666.0,30.0,72.0,61748.0,1768.0,11916.0,13684.0,309.0,16737.0,17046.0,1.0,74.0,737.0,190.0,184.0,176.0,184.0,193.0,1
PHPMailer/PHPMailer,29,9,0,0,0,25,38,3,13,6.0,2253830,PHPMailer/PHPMailer,https://github.com/PHPMailer/PHPMailer,2011-08-23 07:57:17,PHP,,17434,9040,17434,35,13,PHPMailer/PHPMailer,249.0,0.0,30.0,0.0,2087.0,24.0,1840.0,1864.0,7.0,594.0,601.0,2.0,130.0,717.0,186.0,183.0,192.0,183.0,159.0,1
WordPress/WordPress,6,0,0,0,0,0,19,0,0,0.0,2889328,WordPress/WordPress,https://github.com/WordPress/WordPress,2011-12-01 07:05:17,PHP,,15712,10546,15712,2,14,WordPress/WordPress,107.0,0.0,0.0,0.0,45210.0,0.0,0.0,0.0,0.0,555.0,555.0,0.0,121.0,712.0,183.0,182.0,194.0,182.0,154.0,1
matomo-org/matomo,16,6,0,0,0,0,20,0,0,0.0,1548202,matomo-org/matomo,https://github.com/matomo-org/matomo,2011-03-30 21:18:17,PHP,,15676,2224,15676,1882,15,matomo-org/matomo,379.0,6.0,30.0,16.0,28254.0,1892.0,10215.0,12107.0,27.0,6056.0,6083.0,9.0,120.0,716.0,185.0,181.0,166.0,181.0,188.0,1
briannesbitt/Carbon,0,14,0,0,0,2,23,1,2,5.0,5724990,briannesbitt/Carbon,https://github.com/briannesbitt/Carbon,2012-09-08 02:56:20,PHP,,15547,1191,15547,6,16,briannesbitt/Carbon,301.0,1434.0,30.0,30.0,3156.0,9.0,1098.0,1107.0,3.0,1441.0,1444.0,0.0,91.0,668.0,176.0,180.0,137.0,180.0,171.0,1
monicahq/monica,102,7,0,0,0,10,22,1,0,0.0,82238168,monicahq/monica,https://github.com/monicahq/monica,2017-02-17 00:02:58,PHP,,15461,1584,15461,494,17,monicahq/monica,260.0,503.0,30.0,169.0,3604.0,498.0,1223.0,1721.0,4.0,4271.0,4275.0,0.0,9.0,696.0,179.0,179.0,151.0,179.0,187.0,1
nikic/PHP-Parser,47,1,0,0,0,0,2,0,2,6.0,1631570,nikic/PHP-Parser,https://github.com/nikic/PHP-Parser,2011-04-18 17:03:47,PHP,,15069,847,15069,77,18,nikic/PHP-Parser,129.0,0.0,30.0,0.0,1395.0,67.0,442.0,509.0,13.0,303.0,316.0,0.0,71.0,624.0,162.0,178.0,129.0,178.0,139.0,1
easychen/howto-make-more-money,9,4,0,0,0,1,5,0,0,0.0,53783664,easychen/howto-make-more-money,https://github.com/easychen/howto-make-more-money,2016-03-13 12:22:03,PHP,,14869,1572,14869,5,19,easychen/howto-make-more-money,13.0,0.0,3.0,0.0,69.0,3.0,22.0,25.0,1.0,15.0,16.0,0.0,37.0,584.0,144.0,177.0,149.0,177.0,81.0,1
