Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label
typeorm/typeorm,62,3,0,0,0,24,37,0,70,48.0,52773157,typeorm/typeorm,https://github.com/typeorm/typeorm,2016-02-29 07:41:14,TypeScript,,26427,4744,26427,1418,32,typeorm/typeorm,853.0,0.0,2.0,0.0,4929.0,1444.0,5113.0,6557.0,23.0,2145.0,2168.0,5.0,196.0,654.0,168.0,165.0,172.0,165.0,152.0,1
vuejs/vue-next,16,3,0,0,0,9,19,0,5,2.0,137078487,vuejs/vue-next,https://github.com/vuejs/vue-next,2018-06-12 13:49:36,TypeScript,,26155,4543,26155,436,33,vuejs/vue-next,321.0,0.0,2.0,0.0,4204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,500.0,121.0,164.0,171.0,164.0,1.0,1
ReactiveX/rxjs,14,4,0,0,0,6,11,0,5,3.0,32247847,ReactiveX/rxjs,https://github.com/ReactiveX/rxjs,2015-03-15 06:17:10,TypeScript,,26062,2680,26062,219,34,ReactiveX/rxjs,531.0,0.0,2.0,0.0,4982.0,201.0,2799.0,3000.0,35.0,3597.0,3632.0,6.0,119.0,655.0,169.0,163.0,156.0,163.0,173.0,1
postcss/postcss,70,0,0,1,0,13,26,1,75,11.0,13078968,postcss/postcss,https://github.com/postcss/postcss,2013-09-24 23:06:48,TypeScript,,25532,1433,25532,9,35,postcss/postcss,403.0,0.0,2.0,0.0,3695.0,12.0,846.0,858.0,0.0,825.0,825.0,3.0,775.0,579.0,148.0,162.0,125.0,162.0,130.0,1
excalidraw/excalidraw,10,3,0,0,0,3,24,1,7,7.0,231283452,excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,2020-01-02 01:04:43,TypeScript,,25212,1904,25212,500,36,excalidraw/excalidraw,198.0,487.0,3.0,3.0,2518.0,493.0,1253.0,1746.0,115.0,2908.0,3023.0,0.0,53.0,627.0,165.0,161.0,137.0,161.0,168.0,1
angular/angular-cli,14,16,0,0,0,16,20,0,42,4.0,36891867,angular/angular-cli,https://github.com/angular/angular-cli,2015-06-04 19:49:37,TypeScript,,25071,11900,25071,276,37,angular/angular-cli,614.0,0.0,2.0,0.0,8974.0,232.0,13304.0,13536.0,23.0,8803.0,8826.0,8.0,167.0,694.0,177.0,160.0,188.0,160.0,186.0,1
mobxjs/mobx,10,26,0,1,0,4,41,0,4,1.0,32215970,mobxjs/mobx,https://github.com/mobxjs/mobx,2015-03-14 14:31:38,TypeScript,,24572,1611,24572,19,39,mobxjs/mobx,314.0,0.0,2.0,0.0,3109.0,13.0,1773.0,1786.0,7.0,1111.0,1118.0,1.0,279.0,579.0,148.0,158.0,129.0,158.0,134.0,1
cheeriojs/cheerio,17,0,0,0,0,12,30,3,30,17.0,2541284,cheeriojs/cheerio,https://github.com/cheeriojs/cheerio,2011-10-09 04:23:20,TypeScript,,24572,1504,24572,18,40,cheeriojs/cheerio,146.0,0.0,2.0,0.0,1844.0,20.0,1035.0,1055.0,4.0,1321.0,1325.0,10.0,217.0,580.0,151.0,158.0,126.0,158.0,138.0,1
react-hook-form/react-hook-form,6,18,1,0,0,56,76,0,0,1.0,174038031,react-hook-form/react-hook-form,https://github.com/react-hook-form/react-hook-form,2019-03-05 23:47:10,TypeScript,,24429,1174,24429,7,41,react-hook-form/react-hook-form,211.0,0.0,2.0,0.0,3135.0,0.0,3010.0,3010.0,16.0,1845.0,1861.0,41.0,266.0,581.0,152.0,157.0,118.0,157.0,149.0,1
tannerlinsley/react-query,11,13,0,0,0,25,35,2,0,0.0,207645083,tannerlinsley/react-query,https://github.com/tannerlinsley/react-query,2019-09-10 19:23:58,TypeScript,,24136,1256,24136,30,42,tannerlinsley/react-query,404.0,0.0,2.0,0.0,1451.0,19.0,855.0,874.0,12.0,942.0,954.0,4.0,276.0,566.0,141.0,156.0,121.0,156.0,133.0,1
supabase/supabase,57,4,1,0,0,48,57,0,0,0.0,214587193,supabase/supabase,https://github.com/supabase/supabase,2019-10-12 05:56:49,TypeScript,,24050,1212,24050,202,43,supabase/supabase,360.0,0.0,2.0,0.0,5257.0,201.0,859.0,1060.0,49.0,1598.0,1647.0,0.0,116.0,574.0,145.0,155.0,120.0,155.0,144.0,1
JedWatson/react-select,35,4,0,1,0,1,23,0,20,3.0,23338716,JedWatson/react-select,https://github.com/JedWatson/react-select,2014-08-26 04:27:45,TypeScript,,23761,3816,23761,172,44,JedWatson/react-select,507.0,0.0,2.0,0.0,4052.0,154.0,3086.0,3240.0,57.0,1511.0,1568.0,6.0,213.0,614.0,161.0,154.0,163.0,154.0,143.0,1
akveo/ngx-admin,20,8,0,0,0,6,23,1,2,0.0,59652928,akveo/ngx-admin,https://github.com/akveo/ngx-admin,2016-05-25 10:09:03,TypeScript,,23255,7385,23255,440,45,akveo/ngx-admin,37.0,0.0,2.0,0.0,536.0,382.0,1301.0,1683.0,63.0,881.0,944.0,0.0,57.0,618.0,162.0,153.0,180.0,153.0,132.0,1
ianstormtaylor/slate,31,6,0,0,0,12,34,0,10,0.0,61412022,ianstormtaylor/slate,https://github.com/ianstormtaylor/slate,2016-06-18 01:52:42,TypeScript,,23015,2548,23015,443,46,ianstormtaylor/slate,483.0,0.0,2.0,0.0,3797.0,466.0,2326.0,2792.0,10.0,1993.0,2003.0,2.0,217.0,608.0,160.0,152.0,153.0,152.0,151.0,1
chakra-ui/chakra-ui,9,17,0,0,0,221,244,1,8,3.0,202890778,chakra-ui/chakra-ui,https://github.com/chakra-ui/chakra-ui,2019-08-17 14:27:54,TypeScript,,22479,1945,22479,112,47,chakra-ui/chakra-ui,541.0,0.0,2.0,0.0,7915.0,120.0,2313.0,2433.0,29.0,2256.0,2285.0,0.0,287.0,598.0,156.0,151.0,141.0,151.0,155.0,1
