fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,Label
mattermost/mattermost-server,0,1,0,1,0,1,1,1,0,21572,21572,5246,41,mattermost/mattermost-server,741.0,0.0,30.0,0.0,14555.0,664.0,5694.0,6358.0,88.0,13166.0,13254.0,2.0,94.0,mattermost/mattermost-server,2015-06-15 06:50:02,2489,0.0,0.2977099236641221,0.0,0.0120530333467255,5.8477300120530336,0.0,1
Dreamacro/clash,0,1,0,1,1,1,1,0,0,21527,21527,3018,42,Dreamacro/clash,82.0,64353.0,30.0,513.0,719.0,56.0,1267.0,1323.0,12.0,353.0,365.0,0.0,80.0,Dreamacro/clash,2018-06-10 14:28:14,1398,46.03218884120172,0.0586552217453505,0.3669527896995708,0.0214592274678111,0.5143061516452074,17.1,1
kataras/iris,1,1,0,1,1,1,1,1,0,21517,21517,2335,43,kataras/iris,100.0,0.0,20.0,0.0,2355.0,72.0,746.0,818.0,0.0,279.0,279.0,0.0,598.0,kataras/iris,2016-01-30 04:36:48,2260,0.0,0.0442477876106194,0.0,0.0088495575221238,1.0420353982300885,0.0,1
github/hub,0,1,0,1,0,1,0,0,0,21404,21404,2261,44,github/hub,254.0,39128.0,30.0,257.0,3315.0,221.0,1738.0,1959.0,48.0,753.0,801.0,8.0,184.0,github/hub,2009-12-05 22:15:25,4507,8.681606390059907,0.0563567783447969,0.0570224095850898,0.0066563124029287,0.7355225205236299,8.566666666666666,1
labstack/echo,1,1,0,1,1,1,1,1,0,21202,21202,1880,45,labstack/echo,251.0,0.0,30.0,0.0,1598.0,44.0,1197.0,1241.0,14.0,753.0,767.0,6.0,237.0,labstack/echo,2015-03-01 17:43:01,2595,0.0,0.0967244701348747,0.0,0.0115606936416184,0.6157996146435453,0.0,1
openfaas/faas,0,1,0,1,1,1,1,1,0,20733,20733,1679,47,openfaas/faas,182.0,3268.0,30.0,104.0,2033.0,5.0,737.0,742.0,5.0,880.0,885.0,0.0,159.0,openfaas/faas,2016-12-22 12:51:39,1933,1.6906363166063114,0.0941541645111226,0.0538023797206414,0.0155199172271081,1.0517330574236938,3.466666666666667,1
helm/helm,0,1,0,1,1,1,1,0,0,20731,20731,5935,48,helm/helm,682.0,9451.0,30.0,746.0,6509.0,277.0,5991.0,6268.0,212.0,4195.0,4407.0,4.0,97.0,helm/helm,2015-10-06 01:07:32,2376,3.9776936026936025,0.287037037037037,0.3139730639730639,0.0126262626262626,2.739478114478114,24.866666666666667,1
nsqio/nsq,0,1,0,0,0,1,1,0,0,20593,20593,2638,49,nsqio/nsq,130.0,2933.0,30.0,94.0,2217.0,50.0,547.0,597.0,12.0,773.0,785.0,0.0,116.0,nsqio/nsq,2012-05-12 14:37:08,3618,0.810668877833057,0.0359314538419016,0.0259812050856826,0.0082918739635157,0.6127694859038143,3.1333333333333333,1
jesseduffield/lazydocker,1,1,0,1,0,0,1,1,1,20451,20451,752,50,jesseduffield/lazydocker,51.0,4262.0,28.0,217.0,552.0,109.0,84.0,193.0,8.0,112.0,120.0,0.0,83.0,jesseduffield/lazydocker,2019-05-18 08:53:50,1056,4.035984848484849,0.0482954545454545,0.2054924242424242,0.0265151515151515,0.5227272727272727,7.75,1
yeasy/docker_practice,1,0,0,0,0,0,0,0,0,19689,19689,5140,51,yeasy/docker_practice,112.0,291.0,15.0,7.0,1185.0,2.0,194.0,196.0,0.0,296.0,296.0,16.0,146.0,yeasy/docker_practice,2014-09-05 04:06:39,2772,0.1049783549783549,0.0404040404040404,0.0025252525252525,0.0054112554112554,0.4274891774891775,0.4666666666666667,1
