fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,Label
mperham/sidekiq,0,1,0,1,0,1,1,0,0,11415,11415,2037,28,mperham/sidekiq,562.0,0.0,2.0,0.0,4166.0,21.0,3838.0,3859.0,3.0,1329.0,1332.0,4.0,92.0,mperham/sidekiq,2012-01-16 23:17:27,3735,0.0,0.1504685408299866,0.0,0.0005354752342704,1.1153949129852745,0.0,0
chatwoot/chatwoot,0,1,0,1,0,1,1,0,0,11400,11400,1305,29,chatwoot/chatwoot,172.0,0.0,2.0,0.0,1918.0,530.0,1400.0,1930.0,36.0,1920.0,1956.0,5.0,57.0,chatwoot/chatwoot,2019-08-14 06:50:51,968,0.0,0.1776859504132231,0.0,0.0020661157024793,1.9814049586776856,0.0,0
tmuxinator/tmuxinator,1,1,0,1,0,1,1,1,0,11048,11048,611,30,tmuxinator/tmuxinator,144.0,0.0,2.0,0.0,842.0,99.0,385.0,484.0,6.0,362.0,368.0,8.0,120.0,tmuxinator/tmuxinator,2010-12-10 21:49:50,4137,0.0,0.0348078317621464,0.0,0.0004834421078075,0.2035291273869954,0.0,0
fluent/fluentd,0,1,0,1,1,1,1,0,0,10773,10773,1226,32,fluent/fluentd,266.0,0.0,2.0,0.0,6254.0,112.0,1726.0,1838.0,6.0,1777.0,1783.0,2.0,45.0,fluent/fluentd,2011-06-19 08:41:40,3946,0.0,0.067410035478966,0.0,0.0005068423720223,1.5848960973137354,0.0,0
Homebrew/homebrew-core,0,1,0,1,0,1,1,1,0,10362,10362,9962,33,Homebrew/homebrew-core,12243.0,0.0,2.0,0.0,281563.0,24.0,4580.0,4604.0,87.0,91633.0,91720.0,1.0,22.0,Homebrew/homebrew-core,2016-03-01 06:58:36,2229,0.0,5.492597577388963,0.0,0.0008972633467922,126.31807985643786,0.0,0
jordansissel/fpm,0,1,0,1,0,0,1,0,0,10254,10254,1021,34,jordansissel/fpm,331.0,0.0,2.0,0.0,2232.0,626.0,526.0,1152.0,76.0,642.0,718.0,0.0,12.0,jordansissel/fpm,2011-01-03 20:07:59,4113,0.0,0.0804765378069535,0.0,0.0004862630683199,0.5426695842450766,0.0,0
faker-ruby/faker,1,1,0,1,0,1,1,1,0,9609,9609,2783,35,faker-ruby/faker,886.0,0.0,2.0,0.0,2474.0,71.0,441.0,512.0,96.0,1839.0,1935.0,0.0,319.0,faker-ruby/faker,2008-12-24 17:20:37,4853,0.0,0.1825674840304966,0.0,0.0004121162167731,0.5097877601483618,0.0,0
teamcapybara/capybara,1,1,0,1,0,0,1,0,1,9473,9473,1398,36,teamcapybara/capybara,384.0,0.0,2.0,0.0,4157.0,9.0,1467.0,1476.0,19.0,1033.0,1052.0,2.0,209.0,teamcapybara/capybara,2009-11-04 22:19:17,4538,0.0,0.0846187747906566,0.0,0.000440722785368,0.9160423093873952,0.0,0
ruby-grape/grape,1,1,0,1,1,1,1,1,0,9430,9430,1205,37,ruby-grape/grape,450.0,0.0,2.0,0.0,2530.0,199.0,867.0,1066.0,35.0,1144.0,1179.0,2.0,460.0,ruby-grape/grape,2010-08-02 14:25:08,4267,0.0,0.1054605108975861,0.0,0.000468713381767,0.5929224279353176,0.0,0
imathis/octopress,0,1,0,0,1,1,1,1,0,9387,9387,2753,38,imathis/octopress,133.0,0.0,2.0,0.0,857.0,175.0,811.0,986.0,74.0,708.0,782.0,2.0,41.0,imathis/octopress,2009-10-18 21:41:32,4555,0.0,0.029198682766191,0.0,0.0004390779363336,0.1881448957189901,0.0,0
