fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,fullname_y,open_prs,closed_prs,total_prs,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,readme_issues,readme_commits,created_date,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,Label
octalmage/robotjs,1,1,0,1,1,1,1,0,0,10679,10679,788,60,octalmage/robotjs,octalmage/robotjs,24,0,24,60,1479,30,241,651,129,419,548,0,101,2014-08-31 14:13:47,2777,0.5325891249549874,0.0216060496939142,0.086784299603889,0.0108030248469571,0.2344256391789701,8.033333333333333,0
google/brotli,1,1,0,1,1,1,0,0,0,10622,10622,1015,56,google/brotli,google/brotli,10,0,10,91,8157,16,65,1042,69,257,326,3,35,2014-10-09 14:35:14,2738,2.97918188458729,0.033235938641344,0.0237399561723886,0.0058436815193571,0.3805697589481373,4.0625,0
jonas/tig,0,1,0,1,0,1,1,1,0,10446,10446,579,69,jonas/tig,jonas/tig,23,431,454,186,78780,25,31,2732,162,559,721,1,15,2009-03-01 20:39:25,4786,16.460509820309234,0.0388633514417049,0.0064772252402841,0.0052235687421646,0.5708315921437526,1.24,0
skywind3000/kcp,1,1,0,0,1,1,0,1,0,10408,10408,2033,48,skywind3000/kcp,skywind3000/kcp,13,44,57,28,0,4,0,219,133,158,291,0,113,2014-12-26 16:46:34,2660,0.0,0.0105263157894736,0.0,0.0015037593984962,0.0823308270676691,0.0,1
reactos/reactos,1,1,0,1,0,1,1,1,0,10133,10133,1216,57,reactos/reactos,reactos/reactos,206,0,206,332,2035,8,11,81279,0,0,0,0,40,2017-10-03 08:04:52,1648,1.234830097087379,0.2014563106796116,0.0066747572815533,0.0048543689320388,49.31978155339806,1.375,0
andlabs/libui,0,1,0,1,1,0,1,1,1,10099,10099,604,70,andlabs/libui,andlabs/libui,82,94,176,41,2172,7,65,3957,172,191,363,6,152,2015-04-17 00:35:54,2548,0.8524332810047096,0.0160910518053375,0.0255102040816326,0.0027472527472527,1.5529827315541602,9.285714285714286,1
openwrt/openwrt,0,1,0,1,0,1,1,0,0,10087,10087,6506,42,openwrt/openwrt,openwrt/openwrt,263,4596,4859,1092,0,1,0,53530,1437,3083,4520,0,11,2015-11-09 07:13:55,2342,0.0,0.466268146883006,0.0,0.0004269854824935,22.856532877882152,0.0,0
openresty/openresty,0,1,0,1,0,1,1,1,0,10032,10032,1332,58,openresty/openresty,openresty/openresty,7,165,172,34,29931,13,18,1644,224,416,640,1,22,2010-01-20 03:57:59,4461,6.7094821788836585,0.0076216095045953,0.0040349697377269,0.0029141448105805,0.3685272360457297,1.3846153846153846,1
swaywm/sway,0,0,0,1,0,1,1,0,0,9790,9790,829,71,swaywm/sway,swaywm/sway,103,0,103,471,7256,30,48,6887,550,3151,3701,2,153,2015-08-05 01:31:45,2438,2.976210008203445,0.1931911402789171,0.0196882690730106,0.0123051681706316,2.824856439704676,1.6,0
jedisct1/libsodium,1,1,0,1,0,1,1,1,0,9737,9737,1514,61,jedisct1/libsodium,jedisct1/libsodium,0,329,329,131,8440902,30,50,4039,2,763,765,0,136,2013-01-20 00:03:40,3365,2508.4404160475483,0.0389301634472511,0.0148588410104011,0.0089153046062407,1.200297176820208,1.6666666666666667,0
