Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count
twbs/bootstrap-sass,11,4,0,0,0,9,21,0,37,25.0,2336578,twbs/bootstrap-sass,https://github.com/twbs/bootstrap-sass,2011-09-06 18:58:49,Ruby,,12729,3677,12729,17
elastic/logstash,14,0,0,0,0,8,19,0,16,14.0,1090311,elastic/logstash,https://github.com/elastic/logstash,2010-11-18 01:31:50,Ruby,,12498,3234,12498,2008
gollum/gollum,36,5,0,0,0,21,36,0,34,1.0,585285,gollum/gollum,https://github.com/gollum/gollum,2010-03-29 18:30:53,Ruby,,12326,1570,12326,52
capistrano/capistrano,17,1,0,0,0,5,11,1,11,8.0,138312,capistrano/capistrano,https://github.com/capistrano/capistrano,2009-02-26 16:14:04,Ruby,,12028,1780,12028,54
rubocop/rubocop,13,77,0,0,0,19,104,0,4,5.0,4095287,rubocop/rubocop,https://github.com/rubocop/rubocop,2012-04-21 10:09:58,Ruby,,11576,2803,11576,221
mame/quine-relay,0,2,0,0,0,7,10,0,9,0.0,11423758,mame/quine-relay,https://github.com/mame/quine-relay,2013-07-15 13:29:20,Ruby,,11556,523,11556,14
spree/spree,28,8,0,0,0,5,26,0,2,0.0,3314,spree/spree,https://github.com/spree/spree,2008-03-10 14:45:35,Ruby,,11543,4821,11543,239
lewagon/setup,0,0,0,0,0,0,1,0,0,0.0,18486300,lewagon/setup,https://github.com/lewagon/setup,2014-04-06 09:25:02,Ruby,,11538,1006,11538,10
sinatra/sinatra,38,3,0,0,0,30,71,0,180,160.0,106995,sinatra/sinatra,https://github.com/sinatra/sinatra,2009-01-14 01:27:30,Ruby,,11482,2034,11482,74
mperham/sidekiq,5,3,0,0,0,5,13,0,1,0.0,3195124,mperham/sidekiq,https://github.com/mperham/sidekiq,2012-01-16 23:17:27,Ruby,,11415,2037,11415,23
chatwoot/chatwoot,16,15,0,0,0,3,20,0,2,0.0,202291859,chatwoot/chatwoot,https://github.com/chatwoot/chatwoot,2019-08-14 06:50:51,Ruby,,11400,1305,11400,486
tmuxinator/tmuxinator,11,1,1,0,0,5,13,0,30,29.0,1157388,tmuxinator/tmuxinator,https://github.com/tmuxinator/tmuxinator,2010-12-10 21:49:50,Ruby,,11048,611,11048,100
postalserver/postal,4,2,0,0,0,1,5,0,0,0.0,88740103,postalserver/postal,https://github.com/postalserver/postal,2017-04-19 12:04:57,Ruby,,11002,781,11002,53
fluent/fluentd,13,13,1,0,0,8,12,1,2,0.0,1918677,fluent/fluentd,https://github.com/fluent/fluentd,2011-06-19 08:41:40,Ruby,,10773,1226,10773,115
Homebrew/homebrew-core,0,0,0,0,0,2,2,0,1,0.0,52855516,Homebrew/homebrew-core,https://github.com/Homebrew/homebrew-core,2016-03-01 06:58:36,Ruby,,10362,9962,10362,161
jordansissel/fpm,26,0,0,0,0,0,0,1,4,0.0,1217404,jordansissel/fpm,https://github.com/jordansissel/fpm,2011-01-03 20:07:59,Ruby,,10254,1021,10254,694
faker-ruby/faker,215,7,0,0,0,4,13,0,5,10.0,96395,faker-ruby/faker,https://github.com/faker-ruby/faker,2008-12-24 17:20:37,Ruby,,9609,2783,9609,156
teamcapybara/capybara,45,6,0,0,0,8,29,0,64,69.0,361310,teamcapybara/capybara,https://github.com/teamcapybara/capybara,2009-11-04 22:19:17,Ruby,,9473,1398,9473,27
ruby-grape/grape,180,7,0,0,0,30,53,0,320,245.5,812393,ruby-grape/grape,https://github.com/ruby-grape/grape,2010-08-02 14:25:08,Ruby,,9430,1205,9430,225
imathis/octopress,7,1,0,0,0,3,6,0,2,0.0,341626,imathis/octopress,https://github.com/imathis/octopress,2009-10-18 21:41:32,Ruby,,9387,2753,9387,253
github/linguist,6,1,0,0,0,2,3,0,15,11.0,1725199,github/linguist,https://github.com/github/linguist,2011-05-09 22:53:13,Ruby,,9319,3334,9319,97
Shopify/liquid,14,2,0,0,0,1,5,0,8,7.0,15435,Shopify/liquid,https://github.com/Shopify/liquid,2008-05-08 15:27:26,Ruby,,9177,1196,9177,238
activeadmin/activeadmin,6,0,0,0,0,0,1,0,0,0.0,611921,activeadmin/activeadmin,https://github.com/activeadmin/activeadmin,2010-04-15 14:26:03,Ruby,,9094,3245,9094,391
thoughtbot/paperclip,75,7,0,0,0,12,32,0,108,48.5,8393,thoughtbot/paperclip,https://github.com/thoughtbot/paperclip,2008-04-10 19:58:20,Ruby,,9070,2358,9070,49
