Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count
erusev/parsedown,7,5,0,1,0,4,15,0,3,4.0,11323319,erusev/parsedown,https://github.com/erusev/parsedown,2013-07-10 20:23:25,PHP,,13943,1043,13943,124
yiisoft/yii2,15,8,0,0,0,4,24,0,0,2.0,3431193,yiisoft/yii2,https://github.com/yiisoft/yii2,2012-02-13 15:32:36,PHP,,13853,6973,13853,507
barryvdh/laravel-debugbar,17,5,0,0,0,1,8,0,9,17.0,12615154,barryvdh/laravel-debugbar,https://github.com/barryvdh/laravel-debugbar,2013-09-05 10:26:54,PHP,,13443,1312,13443,50
getgrav/grav,30,6,0,0,0,5,36,0,11,7.0,22553797,getgrav/grav,https://github.com/getgrav/grav,2014-08-02 18:29:10,PHP,,13053,1325,13053,337
koel/koel,2,64,0,0,0,6,71,1,5,4.0,47495360,koel/koel,https://github.com/koel/koel,2015-12-06 12:13:19,PHP,,13048,1666,13048,80
filp/whoops,15,8,0,0,0,24,32,0,8,3.0,8708394,filp/whoops,https://github.com/filp/whoops,2013-03-11 16:58:27,PHP,,12634,583,12634,6
CachetHQ/Cachet,18,17,0,0,0,3,28,0,2,0.0,26730195,CachetHQ/Cachet,https://github.com/CachetHQ/Cachet,2014-11-16 22:23:11,PHP,,12455,1478,12455,347
Intervention/image,10,3,0,0,0,0,10,0,0,1.0,7704544,Intervention/image,https://github.com/Intervention/image,2013-01-19 15:05:32,PHP,,12256,1379,12256,336
phacility/phabricator,0,0,0,0,0,0,0,0,0,0.0,1280180,phacility/phabricator,https://github.com/phacility/phabricator,2011-01-21 22:08:29,PHP,,12224,1592,12224,1
thephpleague/flysystem,10,7,0,0,0,6,18,0,0,0.0,13899674,thephpleague/flysystem,https://github.com/thephpleague/flysystem,2013-10-27 11:07:22,PHP,,12213,681,12213,29
flarum/flarum,3,6,0,0,0,3,10,0,0,0.0,28628034,flarum/flarum,https://github.com/flarum/flarum,2014-12-30 11:13:08,PHP,,12145,1339,12145,0
barryvdh/laravel-ide-helper,43,0,0,1,0,0,6,0,59,29.0,8678290,barryvdh/laravel-ide-helper,https://github.com/barryvdh/laravel-ide-helper,2013-03-10 00:12:55,PHP,,11846,1024,11846,116
vlucas/phpdotenv,4,4,0,0,0,2,9,0,29,29.0,7769432,vlucas/phpdotenv,https://github.com/vlucas/phpdotenv,2013-01-23 06:57:12,PHP,,11629,569,11629,3
roots/sage,19,4,0,0,0,6,27,0,10,3.0,1305114,roots/sage,https://github.com/roots/sage,2011-01-29 03:12:09,PHP,,11498,2973,11498,17
PHPOffice/PHPExcel,0,0,0,0,0,2,2,1,0,0.0,4702560,PHPOffice/PHPExcel,https://github.com/PHPOffice/PHPExcel,2012-06-18 15:30:27,PHP,,11476,4147,11476,668
ramsey/uuid,1,0,0,0,0,3,11,0,1,1.0,4916869,ramsey/uuid,https://github.com/ramsey/uuid,2012-07-05 23:24:53,PHP,,11458,435,11458,22
slimphp/Slim,16,15,0,0,0,14,38,0,8,6.0,926544,slimphp/Slim,https://github.com/slimphp/Slim,2010-09-21 01:17:06,PHP,,11159,1932,11159,6
the-control-group/voyager,0,7,0,0,0,3,9,0,5,7.0,72069409,the-control-group/voyager,https://github.com/the-control-group/voyager,2016-10-27 03:56:49,PHP,,10785,2556,10785,276
octobercms/october,9,2,0,1,0,4,18,0,0,0.0,14732311,octobercms/october,https://github.com/octobercms/october,2013-11-26 23:30:43,PHP,,10738,2272,10738,4
FriendsOfPHP/PHP-CS-Fixer,6,0,0,0,0,4,8,0,4,2.0,4344257,FriendsOfPHP/PHP-CS-Fixer,https://github.com/FriendsOfPHP/PHP-CS-Fixer,2012-05-16 06:42:23,PHP,,10664,1347,10664,406
doctrine/inflector,0,2,0,0,0,1,2,0,0,0.0,7549096,doctrine/inflector,https://github.com/doctrine/inflector,2013-01-10 21:34:22,PHP,,10642,108,10642,9
PHPOffice/PhpSpreadsheet,0,7,0,0,0,2,10,0,1,0.0,61490598,PHPOffice/PhpSpreadsheet,https://github.com/PHPOffice/PhpSpreadsheet,2016-06-19 16:58:48,PHP,,10567,2443,10567,186
phalcon/cphalcon,18,2,0,0,0,8,29,0,1,0.0,2854337,phalcon/cphalcon,https://github.com/phalcon/cphalcon,2011-11-26 05:52:50,PHP,,10518,1914,10518,48
doctrine/lexer,0,1,0,0,0,1,1,0,0,0.0,7579180,doctrine/lexer,https://github.com/doctrine/lexer,2013-01-12 18:58:26,PHP,,10484,44,10484,3
egulias/EmailValidator,19,3,0,0,0,4,16,0,2,3.0,10157178,egulias/EmailValidator,https://github.com/egulias/EmailValidator,2013-05-19 15:23:00,PHP,,10447,149,10447,16
doctrine/instantiator,0,5,0,0,0,1,7,0,0,2.0,22726901,doctrine/instantiator,https://github.com/doctrine/instantiator,2014-08-07 15:43:55,PHP,,10426,55,10426,5
docker/labs,12,0,0,0,0,3,4,0,0,0.0,56728437,docker/labs,https://github.com/docker/labs,2016-04-20 23:52:34,PHP,,10422,5121,10422,102
SpartnerNL/Laravel-Excel,4,3,0,0,0,3,16,0,0,0.0,14259390,SpartnerNL/Laravel-Excel,https://github.com/SpartnerNL/Laravel-Excel,2013-11-09 15:28:40,PHP,,10385,1639,10385,6
tymondesigns/jwt-auth,0,10,0,0,0,2,11,0,2,0.0,23680678,tymondesigns/jwt-auth,https://github.com/tymondesigns/jwt-auth,2014-09-04 21:50:50,PHP,,10282,1396,10282,551
z-song/laravel-admin,18,14,0,0,0,38,72,0,7,3.0,48796179,z-song/laravel-admin,https://github.com/z-song/laravel-admin,2015-12-30 10:42:57,PHP,,10243,2604,10243,80
jupeter/clean-code-php,66,0,0,0,0,16,38,0,22,78.0,79111500,jupeter/clean-code-php,https://github.com/jupeter/clean-code-php,2017-01-16 11:21:17,PHP,,10122,2457,10122,17
mockery/mockery,0,3,0,0,0,1,9,0,27,17.0,137515,mockery/mockery,https://github.com/mockery/mockery,2009-02-25 19:25:09,PHP,,10035,432,10035,91
spatie/laravel-permission,7,5,0,0,0,8,20,0,2,3.0,42480275,spatie/laravel-permission,https://github.com/spatie/laravel-permission,2015-09-14 22:19:38,PHP,,9986,1501,9986,10
serbanghita/Mobile-Detect,61,7,0,0,0,67,105,0,12,3.0,5627682,serbanghita/Mobile-Detect,https://github.com/serbanghita/Mobile-Detect,2012-08-31 10:58:16,PHP,,9893,2635,9893,153
magento/magento2,6,2,0,0,0,1,19,0,0,0.0,2884111,magento/magento2,https://github.com/magento/magento2,2011-11-30 15:30:13,PHP,,9797,8705,9797,1901
php-fig/log,0,0,0,0,0,2,2,0,1,2.0,6936773,php-fig/log,https://github.com/php-fig/log,2012-11-30 09:49:24,PHP,,9751,162,9751,6
w7corp/easywechat,7,9,0,0,0,6,15,1,1,2.0,29843361,w7corp/easywechat,https://github.com/w7corp/easywechat,2015-01-26 03:30:40,PHP,,9663,2310,9663,97
