Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count
railsware/upterm,4,11,0,0,0,6,13,0,3,3.0,32665718,railsware/upterm,https://github.com/railsware/upterm,2015-03-22 07:00:24,TypeScript,,19450,655,19450,220
n8n-io/n8n,5,2,0,0,0,5,15,0,1,0.0,193215554,n8n-io/n8n,https://github.com/n8n-io/n8n,2019-06-22 09:24:21,TypeScript,,19092,1934,19092,160
felixrieseberg/windows95,10,1,0,1,0,17,19,0,4,1.0,145803079,felixrieseberg/windows95,https://github.com/felixrieseberg/windows95,2018-08-23 05:04:38,TypeScript,,19019,1158,19019,123
homebridge/homebridge,20,8,1,0,0,18,26,2,8,6.0,27388642,homebridge/homebridge,https://github.com/homebridge/homebridge,2014-12-01 16:37:39,TypeScript,,18973,1846,18973,28
notable/notable,10,2,0,1,0,9,28,2,0,0.0,162815665,notable/notable,https://github.com/notable/notable,2018-12-22 13:57:19,TypeScript,,18793,942,18793,580
youzan/vant,15,3,0,0,0,13,21,0,2,3.0,88717215,youzan/vant,https://github.com/youzan/vant,2017-04-19 07:55:31,TypeScript,,18783,9119,18783,24
electron-react-boilerplate/electron-react-boilerplate,7,63,0,0,0,7,73,1,1,3.0,35810174,electron-react-boilerplate/electron-react-boilerplate,https://github.com/electron-react-boilerplate/electron-react-boilerplate,2015-05-18 09:54:57,TypeScript,,18663,3071,18663,66
marmelab/react-admin,24,5,0,0,0,10,24,2,15,9.0,63226588,marmelab/react-admin,https://github.com/marmelab/react-admin,2016-07-13 07:58:54,TypeScript,,18423,4045,18423,165
reduxjs/reselect,43,0,0,0,0,8,12,0,41,26.0,38366638,reduxjs/reselect,https://github.com/reduxjs/reselect,2015-07-01 11:06:45,TypeScript,,18364,668,18364,14
palantir/blueprint,24,18,0,0,0,6,26,0,18,0.0,71939872,palantir/blueprint,https://github.com/palantir/blueprint,2016-10-25 21:17:50,TypeScript,,18343,1932,18343,658
graphql/graphql-js,0,3,0,0,0,8,14,0,8,7.0,38307428,graphql/graphql-js,https://github.com/graphql/graphql-js,2015-06-30 12:16:50,TypeScript,,18208,1904,18208,174
statelyai/xstate,26,8,4,1,0,8,35,0,8,8.0,42455934,statelyai/xstate,https://github.com/statelyai/xstate,2015-09-14 15:04:15,TypeScript,,18155,831,18155,242
neoclide/coc.nvim,21,36,1,0,0,10,59,0,15,4.0,131770422,neoclide/coc.nvim,https://github.com/neoclide/coc.nvim,2018-05-01 22:39:02,TypeScript,,18137,732,18137,59
prisma/prisma,14,7,0,1,0,13,40,0,14,10.0,192925833,prisma/prisma,https://github.com/prisma/prisma,2019-06-20 13:33:47,TypeScript,,17887,641,17887,1619
wenyan-lang/wenyan,18,18,0,0,0,20,42,0,1,6.0,226726247,wenyan-lang/wenyan,https://github.com/wenyan-lang/wenyan,2019-12-08 20:21:32,TypeScript,,17795,1036,17795,177
vadimdemedes/ink,88,10,0,0,0,65,88,0,239,63.0,94061307,vadimdemedes/ink,https://github.com/vadimdemedes/ink,2017-06-12 06:12:28,TypeScript,,17391,469,17391,70
recharts/recharts,4,14,0,0,0,2,19,0,1,5.0,40345658,recharts/recharts,https://github.com/recharts/recharts,2015-08-07 06:50:27,TypeScript,,17391,1325,17391,294
apollographql/apollo-client,8,4,0,1,0,5,17,0,0,0.0,52630616,apollographql/apollo-client,https://github.com/apollographql/apollo-client,2016-02-26 20:25:00,TypeScript,,17019,2243,17019,524
codex-team/editor.js,17,18,1,0,0,5,33,0,14,10.0,47039255,codex-team/editor.js,https://github.com/codex-team/editor.js,2015-11-28 20:56:35,TypeScript,,16973,1330,16973,442
alibaba/ice,19,7,0,0,0,39,56,0,2,2.0,72717562,alibaba/ice,https://github.com/alibaba/ice,2016-11-03 06:59:15,TypeScript,,16932,1995,16932,131
reduxjs/redux-thunk,7,3,0,0,0,2,13,0,13,13.0,39013909,reduxjs/redux-thunk,https://github.com/reduxjs/redux-thunk,2015-07-13 13:33:08,TypeScript,,16818,994,16818,0
react-dnd/react-dnd,3,6,0,0,0,0,6,0,1,0.0,25427817,react-dnd/react-dnd,https://github.com/react-dnd/react-dnd,2014-10-19 13:29:28,TypeScript,,16803,1742,16803,287
elastic/kibana,14,0,0,0,0,3,11,0,0,0.0,7833168,elastic/kibana,https://github.com/elastic/kibana,2013-01-26 04:00:59,TypeScript,,16783,6967,16783,9317
GeekyAnts/NativeBase,30,18,1,0,0,3,40,0,0,0.0,56315715,GeekyAnts/NativeBase,https://github.com/GeekyAnts/NativeBase,2016-04-15 11:37:23,TypeScript,,16634,2086,16634,329
pubkey/rxdb,18,15,5,0,0,16,33,1,3,12.0,75425073,pubkey/rxdb,https://github.com/pubkey/rxdb,2016-12-02 19:34:42,TypeScript,,16622,781,16622,8
slidevjs/slidev,24,9,0,0,0,10,40,0,1,1.0,361044034,slidevjs/slidev,https://github.com/slidevjs/slidev,2021-04-24 01:25:23,TypeScript,,16571,557,16571,43
lensapp/lens,0,3,0,0,0,1,9,0,0,0.0,157166750,lensapp/lens,https://github.com/lensapp/lens,2018-11-12 06:28:56,TypeScript,,16377,819,16377,628
refined-github/refined-github,200,5,39,0,0,24,190,1,18,0.0,51769689,refined-github/refined-github,https://github.com/refined-github/refined-github,2016-02-15 16:45:02,TypeScript,,16358,1200,16358,138
basarat/typescript-book,38,0,0,0,0,16,42,0,0,0.0,32623292,basarat/typescript-book,https://github.com/basarat/typescript-book,2015-03-21 07:01:38,TypeScript,,16197,2040,16197,140
pmndrs/react-three-fiber,21,10,1,0,0,13,36,0,13,4.0,172521926,pmndrs/react-three-fiber,https://github.com/pmndrs/react-three-fiber,2019-02-25 14:31:51,TypeScript,,15937,851,15937,38
material-components/material-components-web,9,2,0,0,0,0,12,0,2,5.0,75642389,material-components/material-components-web,https://github.com/material-components/material-components-web,2016-12-05 16:04:09,TypeScript,,15914,2122,15914,408
eclipse-theia/theia,41,8,0,0,0,17,26,2,0,0.0,83050680,eclipse-theia/theia,https://github.com/eclipse-theia/theia,2017-02-24 14:42:05,TypeScript,,15879,2012,15879,1417
Redocly/redoc,115,8,3,0,0,3,26,0,96,1.0,45250726,Redocly/redoc,https://github.com/Redocly/redoc,2015-10-30 12:53:02,TypeScript,,15825,1756,15825,435
tensorflow/tfjs,22,0,0,0,0,7,27,0,2,2.0,123870315,tensorflow/tfjs,https://github.com/tensorflow/tfjs,2018-03-05 05:41:02,TypeScript,,15783,1640,15783,611
ionic-team/ionicons,7,0,0,0,0,3,14,0,8,10.0,13473768,ionic-team/ionicons,https://github.com/ionic-team/ionicons,2013-10-10 14:34:18,TypeScript,,15763,1960,15763,454
BabylonJS/Babylon.js,15,7,0,0,0,8,31,0,2,5.0,11007313,BabylonJS/Babylon.js,https://github.com/BabylonJS/Babylon.js,2013-06-27 20:40:42,TypeScript,,15378,2605,15378,78
fingerprintjs/fingerprintjs,4,0,0,0,0,4,18,0,0,2.0,30638861,fingerprintjs/fingerprintjs,https://github.com/fingerprintjs/fingerprintjs,2015-02-11 08:49:54,TypeScript,,15375,1774,15375,11
jquense/yup,102,0,0,0,0,2,6,0,287,50.0,24349832,jquense/yup,https://github.com/jquense/yup,2014-09-22 23:54:22,TypeScript,,15339,680,15339,336
XiangPingJun/stream-me-board,36,24,6,3,0,3,12,0,21,15.0,90351246,XiangPingJun/stream-me-board,https://github.com/XiangPingJun/stream-me-board,2017-05-05 07:50:51,TypeScript,,99,17,99,9
auth0-blog/mean-rsvp-auth0,42,0,0,0,0,0,39,0,15,9.0,95147841,auth0-blog/mean-rsvp-auth0,https://github.com/auth0-blog/mean-rsvp-auth0,2017-06-22 19:06:15,TypeScript,,98,50,98,0
leoafarias/neardb,51,3,0,0,0,6,30,3,0,0.0,154394701,leoafarias/neardb,https://github.com/leoafarias/neardb,2018-10-23 20:47:25,TypeScript,,97,8,97,5
rwu823/sh-exec,0,6,0,0,0,0,9,0,6,12.0,116264382,rwu823/sh-exec,https://github.com/rwu823/sh-exec,2018-01-04 13:40:35,TypeScript,,96,1,96,0
releasy/react-releasy,0,15,0,0,0,9,27,0,6,18.0,120955279,releasy/react-releasy,https://github.com/releasy/react-releasy,2018-02-09 21:02:03,TypeScript,,95,7,95,2
lytc/react-sortly,0,0,0,0,0,3,10,0,0,9.0,114885102,lytc/react-sortly,https://github.com/lytc/react-sortly,2017-12-20 12:29:51,TypeScript,,94,14,94,41
Mercateo/react-with-typescript,105,9,3,0,0,6,6,3,114,96.0,69329391,Mercateo/react-with-typescript,https://github.com/Mercateo/react-with-typescript,2016-09-27 07:10:16,TypeScript,,93,7,93,0
epilande/gatsby-theme-firebase,51,12,0,0,0,60,75,0,75,39.0,200461533,epilande/gatsby-theme-firebase,https://github.com/epilande/gatsby-theme-firebase,2019-08-04 07:11:44,TypeScript,,92,14,92,43
Yoonit-Labs/nativescript-yoonit-camera,30,3,0,0,0,21,30,0,249,9.0,294444044,Yoonit-Labs/nativescript-yoonit-camera,https://github.com/Yoonit-Labs/nativescript-yoonit-camera,2020-09-10 15:08:55,TypeScript,,91,5,91,0
retaxJS/retax,66,0,0,0,0,15,18,3,27,15.0,56949056,retaxJS/retax,https://github.com/retaxJS/retax,2016-04-24 01:47:48,TypeScript,,90,2,90,35
ludohenin/ng2-wp-blog,0,3,0,0,0,0,3,0,0,3.0,47223286,ludohenin/ng2-wp-blog,https://github.com/ludohenin/ng2-wp-blog,2015-12-01 23:11:26,TypeScript,,89,33,89,1
sossejs/sosse,84,9,0,0,0,27,36,0,0,0.0,271344739,sossejs/sosse,https://github.com/sossejs/sosse,2020-06-10 17:42:16,TypeScript,,88,2,88,4
Yangfan2016/douban-movie-web,96,24,0,0,0,9,9,0,0,6.0,180139051,Yangfan2016/douban-movie-web,https://github.com/Yangfan2016/douban-movie-web,2019-04-08 11:56:45,TypeScript,,87,23,87,25
akserg/ng2-webpack-demo,9,0,0,0,0,15,24,3,30,0.0,52462266,akserg/ng2-webpack-demo,https://github.com/akserg/ng2-webpack-demo,2016-02-24 17:47:45,TypeScript,,86,29,86,7
rauschma/stringio,15,0,0,0,0,6,12,0,33,36.0,128450141,rauschma/stringio,https://github.com/rauschma/stringio,2018-04-06 19:11:48,TypeScript,,85,2,85,2
microsoft/android-app-size-diff,102,0,0,0,0,3,15,0,45,9.0,230431478,microsoft/android-app-size-diff,https://github.com/microsoft/android-app-size-diff,2019-12-27 11:24:05,TypeScript,,84,19,84,3
locoslab/vue-typescript-component-example,48,3,0,0,0,33,63,3,21,21.0,67778487,locoslab/vue-typescript-component-example,https://github.com/locoslab/vue-typescript-component-example,2016-09-09 07:52:22,TypeScript,,83,9,83,0
