repo_id,repository,fullname,open_prs,closed_prs,total_prs,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,readme_issues,readme_commits
175,open-power/capiflash,open-power/capiflash,0,16,16,7,0,11,0,98,3,6,9,0,15
121,joelgwebber/bench2d,joelgwebber/bench2d,0,17,17,15,0,0,0,115,1,3,4,0,12
104,DanieleDeSensi/peafowl,DanieleDeSensi/peafowl,0,35,35,13,29,2,3,456,1,8,9,0,70
143,zephyrproject-rtos/meta-zephyr-sdk,zephyrproject-rtos/meta-zephyr-sdk,0,35,35,9,45614,27,20,232,4,75,79,0,5
74,Tencent/wcdb,Tencent/wcdb,3,34,37,22,267,12,40,1070,224,589,813,1,44
72,videolan/vlc,videolan/vlc,0,118,118,1063,0,0,0,91885,0,0,0,0,3
87,webview/webview,webview/webview,12,138,150,58,0,0,0,379,229,304,533,0,67
58,openresty/openresty,openresty/openresty,7,165,172,34,29931,13,18,1644,224,416,640,1,22
88,cesanta/mongoose,cesanta/mongoose,5,405,410,142,3798,30,9,3655,2,1055,1057,0,247
43,alibaba/tengine,alibaba/tengine,48,747,795,114,0,8,0,1525,345,465,810,0,23
42,openwrt/openwrt,openwrt/openwrt,263,4596,4859,1092,0,1,0,53530,1437,3083,4520,0,11
105,JUMA-IO/STM32_Platform,JUMA-IO/STM32_Platform,0,93,93,17,0,7,0,261,4,7,11,0,19
141,socketpair/nltrace,socketpair/nltrace,0,2,2,3,0,0,0,27,2,0,2,0,1
173,WetDesertRock/GifCat,WetDesertRock/GifCat,0,2,2,2,0,1,0,6,4,0,4,0,6
142,cloudwu/luabind,cloudwu/luabind,0,1,1,1,0,0,0,2,0,0,0,0,0
174,TobyGoodwin/pacc,TobyGoodwin/pacc,0,1,1,11,0,0,0,412,0,0,0,0,8
102,hvqzao/foolavc,hvqzao/foolavc,0,0,0,1,0,0,0,9,0,1,1,0,7
106,bubicn/bubichain-v3,bubicn/bubichain-v3,0,0,0,17,0,0,0,278,5,0,5,0,7
109,zhanghuicuc/ffmpeg_camera_streamer,zhanghuicuc/ffmpeg_camera_streamer,0,0,0,1,0,0,0,10,1,0,1,0,7
112,vonj/snippets.org,vonj/snippets.org,0,0,0,3,0,0,0,5,0,0,0,0,3
113,illuspas/SayHi,illuspas/SayHi,0,0,0,1,0,0,0,19,0,3,3,0,7
