Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count
Light-City/CPlusPlusThings,125,2,0,0,0,0,3,0,3,4.0,196813750,Light-City/CPlusPlusThings,https://github.com/Light-City/CPlusPlusThings,2019-07-14 08:45:45,C++,,17027,4108,17027,69
TheAlgorithms/C-Plus-Plus,7,12,0,0,0,9,20,0,0,0.0,63477612,TheAlgorithms/C-Plus-Plus,https://github.com/TheAlgorithms/C-Plus-Plus,2016-07-16 10:19:45,C++,,16980,4609,16980,147
vnpy/vnpy,33,2,0,0,0,9,15,0,4,4.0,31522041,vnpy/vnpy,https://github.com/vnpy/vnpy,2015-03-02 03:36:58,C++,,16937,6834,16937,9
SerenityOS/serenity,89,6,0,0,0,42,50,0,2,0.0,160083795,SerenityOS/serenity,https://github.com/SerenityOS/serenity,2018-12-02 19:28:41,C++,,16704,1720,16704,548
ossrs/srs,56,14,1,1,0,26,43,0,0,2.0,34777562,ossrs/srs,https://github.com/ossrs/srs,2015-04-29 06:59:32,C++,,16576,4195,16576,175
Tencent/mars,50,12,0,0,0,30,30,0,3,49.5,76222419,Tencent/mars,https://github.com/Tencent/mars,2016-12-12 04:39:54,C++,,15881,3332,15881,318
microsoft/winget-cli,14,2,1,0,0,6,18,2,3,0.5,197275130,microsoft/winget-cli,https://github.com/microsoft/winget-cli,2019-07-16 22:16:49,C++,,15777,789,15777,381
changkun/modern-cpp-tutorial,6,3,0,0,0,2,11,0,0,1.0,66088979,changkun/modern-cpp-tutorial,https://github.com/changkun/modern-cpp-tutorial,2016-08-19 14:39:15,C++,,15776,1997,15776,4
sqlitebrowser/sqlitebrowser,52,2,0,0,0,34,43,0,1,1.0,19416551,sqlitebrowser/sqlitebrowser,https://github.com/sqlitebrowser/sqlitebrowser,2014-05-04 01:54:44,C++,,15738,1746,15738,502
electronicarts/CnC_Remastered_Collection,0,0,0,0,0,0,0,0,0,0.0,251383553,electronicarts/CnC_Remastered_Collection,https://github.com/electronicarts/CnC_Remastered_Collection,2020-03-30 17:48:04,C++,,15732,4257,15732,83
cocos2d/cocos2d-x,66,3,0,0,0,6,22,0,5,3.0,1093228,cocos2d/cocos2d-x,https://github.com/cocos2d/cocos2d-x,2010-11-18 23:17:00,C++,,15679,6993,15679,1566
ValveSoftware/Proton,0,0,0,0,0,1,1,0,60,10.0,125098880,ValveSoftware/Proton,https://github.com/ValveSoftware/Proton,2018-03-13 18:45:27,C++,,15618,674,15618,3161
haoel/leetcode,0,0,0,1,0,0,558,0,0,0.0,25449064,haoel/leetcode,https://github.com/haoel/leetcode,2014-10-20 03:22:04,C++,,15480,4565,15480,25
facebookresearch/faiss,12,0,0,0,0,6,11,1,1,1.0,81227005,facebookresearch/faiss,https://github.com/facebookresearch/faiss,2017-02-07 16:07:05,C++,,15295,2415,15295,225
flameshot-org/flameshot,97,1,1,0,0,17,44,2,23,22.0,90902132,flameshot-org/flameshot,https://github.com/flameshot-org/flameshot,2017-05-10 19:44:51,C++,,15292,958,15292,328
trojan-gfw/trojan,4,1,0,0,0,1,7,0,1,0.0,107794782,trojan-gfw/trojan,https://github.com/trojan-gfw/trojan,2017-10-21 16:07:42,C++,,15192,2706,15192,19
simdjson/simdjson,46,9,0,0,0,23,36,7,4,3.0,126412363,simdjson/simdjson,https://github.com/simdjson/simdjson,2018-03-23 00:49:18,C++,,15074,772,15074,116
google/mediapipe,31,5,2,1,0,3,61,0,1,0.0,191820100,google/mediapipe,https://github.com/google/mediapipe,2019-06-13 19:16:41,C++,,14930,3071,14930,333
zhongyang219/TrafficMonitor,6,11,0,0,0,10,13,0,5,0.0,98771110,zhongyang219/TrafficMonitor,https://github.com/zhongyang219/TrafficMonitor,2017-07-30 02:51:17,C++,,14837,1699,14837,412
facebook/yoga,9,1,0,0,0,1,5,0,13,4.0,18503721,facebook/yoga,https://github.com/facebook/yoga,2014-04-07 01:37:37,C++,,14815,1243,14815,320
notepad-plus-plus/notepad-plus-plus,7,3,0,0,0,1,5,0,0,0.0,33014811,notepad-plus-plus/notepad-plus-plus,https://github.com/notepad-plus-plus/notepad-plus-plus,2015-03-28 00:05:08,C++,,14691,3386,14691,1521
aseprite/aseprite,37,3,0,0,0,9,50,0,0,0.0,23129458,aseprite/aseprite,https://github.com/aseprite/aseprite,2014-08-19 23:44:50,C++,,14658,1312,14658,1155
catchorg/Catch2,6,9,0,0,0,5,10,0,2,0.0,1062572,catchorg/Catch2,https://github.com/catchorg/Catch2,2010-11-08 18:22:56,C++,,14276,2422,14276,306
microsoft/react-native-windows,11,1,0,0,0,6,19,0,0,0.0,48009214,microsoft/react-native-windows,https://github.com/microsoft/react-native-windows,2015-12-15 00:16:54,C++,,14221,1057,14221,674
apache/incubator-weex,24,5,0,0,0,5,21,0,9,2.0,78186814,apache/incubator-weex,https://github.com/apache/incubator-weex,2017-01-06 08:00:06,C++,,13996,1859,13996,248
Tencent/MMKV,42,6,0,0,0,15,17,0,30,12.0,149111813,Tencent/MMKV,https://github.com/Tencent/MMKV,2018-09-17 10:59:36,C++,,13861,1530,13861,6
pqrs-org/Karabiner-Elements,13,2,0,0,0,3,7,0,7,8.0,63037806,pqrs-org/Karabiner-Elements,https://github.com/pqrs-org/Karabiner-Elements,2016-07-11 04:57:55,C++,,13795,731,13795,407
dogecoin/dogecoin,10,3,0,0,0,5,15,1,6,1.5,14981376,dogecoin/dogecoin,https://github.com/dogecoin/dogecoin,2013-12-06 11:38:05,C++,,13547,2387,13547,156
