Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count
tailwindlabs/tailwindcss,0,0,0,0,0,5,9,0,0,0.0,106017343,tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,2017-10-06 14:59:14,JavaScript,,49715,2356,49715,66
scutan90/DeepLearning-500-questions,0,0,0,0,0,0,0,0,0,0.0,138839979,scutan90/DeepLearning-500-questions,https://github.com/scutan90/DeepLearning-500-questions,2018-06-27 06:36:45,JavaScript,,46592,14573,46592,97
leonardomso/33-js-concepts,677,1,0,2,0,41,648,1,4,0.0,147350463,leonardomso/33-js-concepts,https://github.com/leonardomso/33-js-concepts,2018-09-04 13:27:04,JavaScript,,45398,5954,45398,9
iptv-org/iptv,4,2,0,0,0,2,2,0,6,2.0,157616880,iptv-org/iptv,https://github.com/iptv-org/iptv,2018-11-14 22:00:57,JavaScript,,42888,4110,42888,196
meteor/meteor,15,3,0,0,0,3,18,0,0,3.0,3214406,meteor/meteor,https://github.com/meteor/meteor,2012-01-19 01:58:17,JavaScript,,42714,5192,42714,119
NARKOZ/hacker-scripts,0,0,0,0,0,4,4,0,11,2.0,46629305,NARKOZ/hacker-scripts,https://github.com/NARKOZ/hacker-scripts,2015-11-21 19:05:09,JavaScript,,42587,6560,42587,69
serverless/serverless,26,8,1,0,0,4,21,0,1,9.0,34302698,serverless/serverless,https://github.com/serverless/serverless,2015-04-21 03:48:40,JavaScript,,41469,5035,41469,886
yarnpkg/yarn,9,5,0,0,0,5,14,0,0,0.0,49970642,yarnpkg/yarn,https://github.com/yarnpkg/yarn,2016-01-19 17:39:16,JavaScript,,40296,2755,40296,1956
ColorlibHQ/AdminLTE,8,8,0,0,0,5,27,0,3,12.0,15428480,ColorlibHQ/AdminLTE,https://github.com/ColorlibHQ/AdminLTE,2013-12-25 02:52:40,JavaScript,,40017,17168,40017,50
parcel-bundler/parcel,11,18,0,0,0,2,27,0,0,0.0,99598595,parcel-bundler/parcel,https://github.com/parcel-bundler/parcel,2017-08-07 16:36:47,JavaScript,,39581,2036,39581,680
TryGhost/Ghost,0,2,0,0,0,5,27,1,1,3.0,9852918,TryGhost/Ghost,https://github.com/TryGhost/Ghost,2013-05-04 11:09:13,JavaScript,,39155,8464,39155,53
nuxt/nuxt.js,16,13,0,0,0,8,27,0,4,2.0,71995937,nuxt/nuxt.js,https://github.com/nuxt/nuxt.js,2016-10-26 11:18:47,JavaScript,,38887,3152,38887,449
mermaid-js/mermaid,3,4,0,1,0,10,23,2,0,0.0,26066727,mermaid-js/mermaid,https://github.com/mermaid-js/mermaid,2014-11-01 23:52:32,JavaScript,,38813,2865,38813,520
nwjs/nw.js,15,1,0,0,0,6,19,0,11,8.0,3100121,nwjs/nw.js,https://github.com/nwjs/nw.js,2012-01-04 06:21:10,JavaScript,,38575,3936,38575,879
mozilla/pdf.js,22,1,0,0,0,12,17,1,12,0.0,1663468,mozilla/pdf.js,https://github.com/mozilla/pdf.js,2011-04-26 06:32:03,JavaScript,,36839,8506,36839,355
Unitech/pm2,0,9,0,0,0,2,14,0,2,17.0,10187082,Unitech/pm2,https://github.com/Unitech/pm2,2013-05-21 03:25:25,JavaScript,,36045,2350,36045,556
algorithm-visualizer/algorithm-visualizer,4,3,0,0,0,6,7,0,3,0.0,58836534,algorithm-visualizer/algorithm-visualizer,https://github.com/algorithm-visualizer/algorithm-visualizer,2016-05-15 00:27:45,JavaScript,,35938,5839,35938,34
GitSquared/edex-ui,32,17,2,2,0,27,51,6,12,0.0,80276391,GitSquared/edex-ui,https://github.com/GitSquared/edex-ui,2017-01-28 09:35:02,JavaScript,,34702,1905,34702,6
