Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count
nektos/act,15,7,1,0,0,20,35,0,51,26.0,163883279,nektos/act,https://github.com/nektos/act,2019-01-02 19:53:43,Go,,19597,514,19597,73
sirupsen/logrus,24,2,0,0,0,15,15,0,54,21.0,13628513,sirupsen/logrus,https://github.com/sirupsen/logrus,2013-10-16 19:08:55,Go,,19364,2053,19364,74
ehang-io/nps,23,5,0,0,0,2,6,0,5,2.5,156084530,ehang-io/nps,https://github.com/ehang-io/nps,2018-11-04 13:22:51,Go,,19349,3422,19349,223
tsenart/vegeta,28,5,1,0,0,7,14,0,86,23.0,12080551,tsenart/vegeta,https://github.com/tsenart/vegeta,2013-08-13 11:45:21,Go,,18718,1163,18718,86
k3s-io/k3s,34,0,0,0,0,13,17,1,8,4.0,135516270,k3s-io/k3s,https://github.com/k3s-io/k3s,2018-05-31 01:37:46,Go,,18513,1599,18513,465
zyedidia/micro,54,8,0,0,0,22,31,0,25,9.0,53632140,zyedidia/micro,https://github.com/zyedidia/micro,2016-03-11 02:06:28,Go,,18433,932,18433,562
coreybutler/nvm-windows,24,5,0,0,0,21,25,2,30,1.0,24268127,coreybutler/nvm-windows,https://github.com/coreybutler/nvm-windows,2014-09-20 16:37:28,Go,,18364,1921,18364,118
rancher/rancher,16,3,0,0,0,7,17,1,3,0.0,26337322,rancher/rancher,https://github.com/rancher/rancher,2014-11-07 20:49:31,Go,,18122,2426,18122,2192
tmrts/go-patterns,0,1,0,0,0,2,3,0,0,0.0,48003886,tmrts/go-patterns,https://github.com/tmrts/go-patterns,2015-12-14 22:05:06,Go,,17728,1639,17728,60
photoprism/photoprism,12,8,0,1,0,12,35,2,1,0.0,119160553,photoprism/photoprism,https://github.com/photoprism/photoprism,2018-01-27 12:00:15,Go,,17682,953,17682,268
schollz/croc,8,3,1,0,0,3,15,0,20,25.0,107286889,schollz/croc,https://github.com/schollz/croc,2017-10-17 15:20:18,Go,,17596,733,17596,72
spf13/viper,55,8,0,0,0,16,26,0,66,38.0,18369373,spf13/viper,https://github.com/spf13/viper,2014-04-02 14:33:33,Go,,17526,1516,17526,450
asim/go-micro,11,1,0,0,0,6,7,0,0,1.0,29217054,asim/go-micro,https://github.com/asim/go-micro,2015-01-13 23:30:18,Go,,17275,1940,17275,59
dgraph-io/dgraph,19,5,0,1,0,5,23,0,1,4.0,41349039,dgraph-io/dgraph,https://github.com/dgraph-io/dgraph,2015-08-25 07:15:56,Go,,17026,1250,17026,93
urfave/cli,3,4,0,0,0,2,7,0,7,5.0,11393110,urfave/cli,https://github.com/urfave/cli,2013-07-13 19:32:06,Go,,16929,1472,16929,73
valyala/fasthttp,103,2,0,0,0,91,114,0,20,23.0,44498957,valyala/fasthttp,https://github.com/valyala/fasthttp,2015-10-18 22:19:57,Go,,16493,1383,16493,50
chai2010/advanced-go-programming-book,26,9,0,0,0,11,16,0,0,0.0,115857954,chai2010/advanced-go-programming-book,https://github.com/chai2010/advanced-go-programming-book,2017-12-31 10:59:21,Go,,16295,2764,16295,50
iawia002/annie,35,2,0,2,0,9,48,0,24,33.0,122734569,iawia002/annie,https://github.com/iawia002/annie,2018-02-24 11:29:03,Go,,16286,1944,16286,321
goharbor/harbor,25,10,0,0,0,10,30,1,2,0.0,50613991,goharbor/harbor,https://github.com/goharbor/harbor,2016-01-28 21:10:28,Go,,16250,3914,16250,883
dapr/dapr,28,14,0,0,0,22,34,0,0,0.0,192632000,dapr/dapr,https://github.com/dapr/dapr,2019-06-19 00:49:06,Go,,16082,1153,16082,242
yudai/gotty,7,5,1,0,0,5,12,0,17,11.0,40808571,yudai/gotty,https://github.com/yudai/gotty,2015-08-16 09:48:33,Go,,16024,1237,16024,130
gorilla/websocket,8,2,0,0,0,12,23,0,0,0.0,13624859,gorilla/websocket,https://github.com/gorilla/websocket,2013-10-16 16:41:46,Go,,15949,2650,15949,84
quii/learn-go-with-tests,56,2,0,2,0,6,21,0,8,0.0,123572362,quii/learn-go-with-tests,https://github.com/quii/learn-go-with-tests,2018-03-02 11:41:14,Go,,15917,2051,15917,30
joewalnes/websocketd,14,0,0,0,0,12,17,0,9,4.0,8201256,joewalnes/websocketd,https://github.com/joewalnes/websocketd,2013-02-14 14:52:55,Go,,15793,939,15793,25
go-kratos/kratos,29,9,0,0,0,15,34,1,1,3.0,165041732,go-kratos/kratos,https://github.com/go-kratos/kratos,2019-01-10 10:42:31,Go,,15655,3122,15655,38
matryer/xbar,15,1,0,0,0,5,13,0,1,0.0,14376285,matryer/xbar,https://github.com/matryer/xbar,2013-11-13 21:00:12,Go,,15653,614,15653,80
gorilla/mux,24,4,0,0,0,4,9,0,29,40.0,6051812,gorilla/mux,https://github.com/gorilla/mux,2012-10-02 21:32:24,Go,,15558,1451,15558,30
gocolly/colly,27,20,0,0,0,23,40,2,2,2.0,105279544,gocolly/colly,https://github.com/gocolly/colly,2017-09-29 14:08:49,Go,,15437,1319,15437,139
helm/charts,9,1,0,0,0,8,15,1,16,2.0,46806184,helm/charts,https://github.com/helm/charts,2015-11-24 17:05:28,Go,,15310,17051,15310,91
restic/restic,14,4,0,0,0,4,23,0,2,0.0,19205896,restic/restic,https://github.com/restic/restic,2014-04-27 14:07:58,Go,,14981,1022,14981,454
grpc/grpc-go,12,3,0,0,0,2,3,0,13,8.0,27729907,grpc/grpc-go,https://github.com/grpc/grpc-go,2014-12-08 18:59:34,Go,,14970,3301,14970,131
buger/goreplay,15,3,0,1,0,5,18,1,2,0.0,10379607,buger/goreplay,https://github.com/buger/goreplay,2013-05-30 09:29:07,Go,,14945,1504,14945,229
stretchr/testify,13,1,0,0,0,10,13,1,18,6.0,6247705,stretchr/testify,https://github.com/stretchr/testify,2012-10-16 16:43:17,Go,,14904,1161,14904,301
fyne-io/fyne,0,9,0,0,0,4,13,0,5,1.0,120227732,fyne-io/fyne,https://github.com/fyne-io/fyne,2018-02-04 22:07:16,Go,,14738,795,14738,300
jaegertracing/jaeger,35,5,0,0,0,30,42,0,4,1.0,56342508,jaegertracing/jaeger,https://github.com/jaegertracing/jaeger,2016-04-15 18:49:02,Go,,14722,1768,14722,367
