Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label,days,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,popularity_score
nlohmann/json,363,22,1,0,0,323,387,12,130,45.0,11171548,nlohmann/json,https://github.com/nlohmann/json,2013-07-04 08:47:49,C++,,27651,4715,27651,44,12,nlohmann/json,256.0,2431186.0,30.0,110.0,4326.0,29.0,1937.0,1966.0,21.0,703.0,724.0,5.0,565.0,675.0,177.0,183.0,170.0,183.0,139.0,1,3166,0.08085912823752368,0.03474415666456096,0.009475679090334808,1.3663929248262792,3.6666666666666665,5.04253527058328,675.0
google/leveldb,25,1,0,0,0,3,8,0,2,6.0,23405758,google/leveldb,https://github.com/google/leveldb,2014-08-27 21:17:52,C++,,27179,6084,27179,241,13,google/leveldb,71.0,0.0,2.0,0.0,415.0,150.0,511.0,661.0,58.0,251.0,309.0,9.0,22.0,663.0,174.0,182.0,177.0,182.0,122.0,1,2747,0.02584637786676374,0.0,0.0007280669821623589,0.1510738987986895,0.0,0.15180196578085184,663.0
rethinkdb/rethinkdb,37,3,0,0,0,12,33,1,0,0.0,6452529,rethinkdb/rethinkdb,https://github.com/rethinkdb/rethinkdb,2012-10-30 05:37:47,C++,,25132,1831,25132,1433,14,rethinkdb/rethinkdb,260.0,0.0,2.0,0.0,33438.0,1399.0,4950.0,6349.0,19.0,616.0,635.0,0.0,59.0,623.0,163.0,181.0,125.0,181.0,136.0,1,3413,0.07617931438617052,0.0,0.0005859947260474656,9.797245824787577,0.0,9.797831819513625,623.0
aria2/aria2,106,0,0,0,0,0,5,0,96,0.0,1116542,aria2/aria2,https://github.com/aria2/aria2,2010-11-27 09:41:48,C++,,24876,2842,24876,864,15,aria2/aria2,65.0,222578.0,23.0,174.0,5290.0,854.0,734.0,1588.0,40.0,248.0,288.0,0.0,57.0,620.0,160.0,180.0,139.0,180.0,121.0,1,4116,0.015792031098153546,0.04227405247813411,0.005587949465500486,1.2852283770651118,7.565217391304348,8.85603371783496,620.0
google/googletest,24,0,0,0,0,9,21,0,2,0.0,39840932,google/googletest,https://github.com/google/googletest,2015-07-28 15:07:53,C++,,24348,8071,24348,216,16,google/googletest,410.0,0.0,2.0,0.0,3858.0,180.0,1708.0,1888.0,32.0,1665.0,1697.0,2.0,92.0,703.0,184.0,179.0,185.0,179.0,160.0,1,2412,0.16998341625207297,0.0,0.0008291873963515755,1.599502487562189,0.0,1.6003316749585406,703.0
microsoft/calculator,18,3,0,0,0,3,11,1,1,1.0,168008797,microsoft/calculator,https://github.com/microsoft/calculator,2019-01-28 17:55:49,C++,,23206,4194,23206,240,17,microsoft/calculator,96.0,0.0,2.0,0.0,721.0,247.0,617.0,864.0,9.0,909.0,918.0,2.0,20.0,662.0,173.0,178.0,162.0,178.0,144.0,1,1132,0.08480565371024736,0.0,0.0017667844522968198,0.6369257950530035,0.0,0.6386925795053003,662.0
cmderdev/cmder,74,3,0,0,0,9,16,0,115,9.0,11276147,cmderdev/cmder,https://github.com/cmderdev/cmder,2013-07-09 07:44:22,C++,,23122,1895,23122,16,18,cmderdev/cmder,160.0,1333634.0,30.0,106.0,1340.0,26.0,2094.0,2120.0,0.0,504.0,504.0,8.0,94.0,609.0,157.0,177.0,127.0,177.0,128.0,1,3161,0.0506168933881683,0.0335336918696615,0.009490667510281556,0.42391648212590954,3.533333333333333,3.9667404829695245,609.0
CMU-Perceptual-Computing-Lab/openpose,24,1,5,1,0,5,16,1,3,4.0,89247811,CMU-Perceptual-Computing-Lab/openpose,https://github.com/CMU-Perceptual-Computing-Lab/openpose,2017-04-24 14:06:31,C++,,22741,6798,22741,172,19,CMU-Perceptual-Computing-Lab/openpose,98.0,107099.0,15.0,20.0,692.0,131.0,1627.0,1758.0,8.0,213.0,221.0,2.0,136.0,649.0,171.0,176.0,178.0,176.0,119.0,1,1776,0.05518018018018018,0.01126126126126126,0.008445945945945946,0.38963963963963966,1.3333333333333333,1.7314189189189189,649.0
topjohnwu/Magisk,19,5,0,0,0,4,10,0,11,0.0,67702184,topjohnwu/Magisk,https://github.com/topjohnwu/Magisk,2016-09-08 12:42:53,C++,,22018,4967,22018,62,20,topjohnwu/Magisk,274.0,26977004.0,30.0,56.0,5637.0,38.0,3958.0,3996.0,10.0,1409.0,1419.0,2.0,75.0,676.0,178.0,175.0,172.0,175.0,154.0,1,2004,0.13672654690618763,0.027944111776447105,0.014970059880239521,2.812874251497006,1.8666666666666667,4.694510978043912,676.0
dmlc/xgboost,2,25,0,0,0,2,33,0,0,0.0,16587283,dmlc/xgboost,https://github.com/dmlc/xgboost,2014-02-06 17:28:03,C++,,21952,8249,21952,309,21,dmlc/xgboost,572.0,2599.0,30.0,38.0,5689.0,244.0,4066.0,4310.0,53.0,3348.0,3401.0,0.0,184.0,704.0,185.0,174.0,186.0,174.0,170.0,1,2949,0.1939640556120719,0.012885723974228552,0.01017293997965412,1.929128518141743,1.2666666666666666,3.205968124788064,704.0
