Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname,URL,created_date,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label,days,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,popularity_score
vitejs/vite,8,10,0,0,0,2,18,0,1,0.0,257485422,vitejs/vite,https://github.com/vitejs/vite,2020-04-21 05:03:57,TypeScript,,34605,2475,34605,696,23,vitejs/vite,523.0,0.0,2.0,0.0,3717.0,688.0,2820.0,3508.0,193.0,2107.0,2300.0,6.0,111.0,656.0,170.0,174.0,152.0,174.0,156.0,1,683,0.7657393850658858,0.0,0.0029282576866764276,5.44216691068814,0.0,5.4450951683748166,656.0
vuetifyjs/vuetify,10,5,0,0,0,28,104,1,0,0.0,67962648,vuetifyjs/vuetify,https://github.com/vuetifyjs/vuetify,2016-09-12 00:39:35,TypeScript,,32980,5976,32980,999,24,vuetifyjs/vuetify,753.0,1675.0,30.0,30.0,11682.0,984.0,9589.0,10573.0,46.0,3743.0,3789.0,0.0,140.0,696.0,179.0,173.0,176.0,173.0,174.0,1,2000,0.3765,0.015,0.015,5.841,1.0,6.856,696.0
immutable-js/immutable-js,41,2,0,1,0,22,34,0,53,30.0,21413198,immutable-js/immutable-js,https://github.com/immutable-js/immutable-js,2014-07-02 06:02:29,TypeScript,,31631,1851,31631,110,25,immutable-js/immutable-js,217.0,0.0,2.0,0.0,1689.0,92.0,1112.0,1204.0,20.0,666.0,686.0,12.0,145.0,605.0,159.0,172.0,135.0,172.0,126.0,1,2803,0.07741705315733143,0.0,0.0007135212272565109,0.6025686764181234,0.0,0.6032821976453799,605.0
ant-design/ant-design-pro,50,5,0,0,0,5,9,0,0,2.0,101394335,ant-design/ant-design-pro,https://github.com/ant-design/ant-design-pro,2017-08-25 10:40:44,TypeScript,,30815,7167,30815,113,26,ant-design/ant-design-pro,312.0,0.0,2.0,0.0,2368.0,143.0,8030.0,8173.0,1.0,1315.0,1316.0,7.0,82.0,658.0,171.0,171.0,179.0,171.0,137.0,1,1653,0.18874773139745918,0.0,0.0012099213551119178,1.4325468844525107,0.0,1.4337568058076227,658.0
nativefier/nativefier,16,2,1,1,0,9,14,0,20,4.0,38558578,nativefier/nativefier,https://github.com/nativefier/nativefier,2015-07-05 05:56:42,TypeScript,,29181,1862,29181,185,27,nativefier/nativefier,136.0,0.0,2.0,0.0,1146.0,181.0,890.0,1071.0,9.0,283.0,292.0,9.0,114.0,584.0,153.0,170.0,136.0,170.0,108.0,1,2435,0.05585215605749486,0.0,0.0008213552361396304,0.4706365503080082,0.0,0.47145790554414785,584.0
formium/formik,3,8,0,0,0,7,15,1,0,0.0,94367677,formium/formik,https://github.com/formium/formik,2017-06-14 19:50:59,TypeScript,,28889,2362,28889,651,28,formium/formik,429.0,0.0,2.0,0.0,1703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0,490.0,116.0,169.0,151.0,169.0,1.0,1,1725,0.24869565217391304,0.0,0.0011594202898550724,0.9872463768115942,0.0,0.9884057971014493,490.0
facebook/docusaurus,8,19,0,0,0,9,37,1,3,2.0,94911145,facebook/docusaurus,https://github.com/facebook/docusaurus,2017-06-20 16:13:53,TypeScript,,28685,3855,28685,176,29,facebook/docusaurus,857.0,0.0,2.0,0.0,4704.0,148.0,1952.0,2100.0,37.0,4241.0,4278.0,1.0,72.0,677.0,173.0,168.0,164.0,168.0,177.0,1,1719,0.4985456660849331,0.0,0.0011634671320535194,2.736474694589878,0.0,2.7376381617219314,677.0
laurent22/joplin,84,132,0,1,0,151,187,0,43,1.0,79162682,laurent22/joplin,https://github.com/laurent22/joplin,2017-01-16 21:49:41,TypeScript,,26707,2938,26707,365,30,laurent22/joplin,495.0,131267.0,30.0,210.0,7535.0,310.0,4073.0,4383.0,8.0,1815.0,1823.0,0.0,687.0,638.0,167.0,167.0,158.0,167.0,146.0,1,1874,0.2641408751334045,0.11205976520811099,0.016008537886873,4.020811099252935,7.0,11.036819637139807,638.0
streamich/react-use,102,1,0,2,0,3,57,0,95,0.0,154950925,streamich/react-use,https://github.com/streamich/react-use,2018-10-27 10:16:05,TypeScript,,26612,2030,26612,432,31,streamich/react-use,191.0,0.0,2.0,0.0,2910.0,257.0,210.0,467.0,201.0,1635.0,1836.0,0.0,236.0,624.0,164.0,166.0,145.0,166.0,147.0,1,1225,0.15591836734693879,0.0,0.0016326530612244899,2.3755102040816327,0.0,2.3771428571428572,624.0
typeorm/typeorm,62,3,0,0,0,24,37,0,70,48.0,52773157,typeorm/typeorm,https://github.com/typeorm/typeorm,2016-02-29 07:41:14,TypeScript,,26427,4744,26427,1418,32,typeorm/typeorm,853.0,0.0,2.0,0.0,4929.0,1444.0,5113.0,6557.0,23.0,2145.0,2168.0,5.0,196.0,654.0,168.0,165.0,172.0,165.0,152.0,1,2196,0.38843351548269583,0.0,0.0009107468123861566,2.2445355191256833,0.0,2.2454462659380696,654.0
