fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label,fullname_y,created_date,days,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,popularity_score
activeadmin/activeadmin,0,1,0,1,0,1,1,1,0,9094,9094,3245,41,activeadmin/activeadmin,768.0,0.0,2.0,0.0,7970.0,319.0,3352.0,3671.0,71.0,3615.0,3686.0,0.0,114.0,637.0,165.0,148.0,170.0,148.0,171.0,1,activeadmin/activeadmin,2010-04-15 14:26:03,4342,0.1768770152003685,0.0,0.00046061722708429296,1.8355596499309075,0.0,1.8360202671579917,637.0
thoughtbot/paperclip,1,1,0,1,0,1,1,1,0,9070,9070,2358,42,thoughtbot/paperclip,463.0,289.0,13.0,2.0,1973.0,34.0,1806.0,1840.0,16.0,826.0,842.0,10.0,203.0,598.0,152.0,147.0,158.0,147.0,146.0,1,thoughtbot/paperclip,2008-04-10 19:58:20,5077,0.09119558794563719,0.00039393342525113255,0.0025605672641323615,0.3886153240102423,0.15384615384615385,0.5450220451205285,598.0
thoughtbot/bourbon,0,1,0,1,1,1,1,1,0,9062,9062,915,43,thoughtbot/bourbon,153.0,3170.0,30.0,6.0,1210.0,5.0,558.0,563.0,1.0,542.0,543.0,2.0,60.0,545.0,138.0,146.0,124.0,146.0,129.0,1,thoughtbot/bourbon,2011-04-23 15:41:20,3969,0.03854875283446712,0.0015117157974300832,0.007558578987150416,0.30486268581506676,0.2,0.5124212648022172,545.0
resque/resque,1,1,0,1,0,1,1,1,0,9017,9017,1632,44,resque/resque,289.0,0.0,2.0,0.0,1737.0,51.0,810.0,861.0,14.0,900.0,914.0,1.0,158.0,590.0,150.0,145.0,151.0,145.0,149.0,1,resque/resque,2009-08-12 00:27:35,4588,0.06299040976460331,0.0,0.00043591979075850045,0.3785963382737576,0.0,0.3790322580645161,590.0
DeathKing/Learning-SICP,1,0,0,0,0,0,0,0,0,9008,9008,1389,45,DeathKing/Learning-SICP,28.0,0.0,2.0,0.0,843.0,8.0,58.0,66.0,0.0,41.0,41.0,4.0,82.0,521.0,130.0,144.0,144.0,144.0,89.0,1,DeathKing/Learning-SICP,2012-11-14 13:43:27,3398,0.00824014125956445,0.0,0.0005885815185403178,0.24808711006474396,0.0,0.2486756915832843,521.0
thoughtbot/guides,1,1,0,1,0,1,0,1,0,8954,8954,1354,46,thoughtbot/guides,158.0,0.0,2.0,0.0,517.0,0.0,97.0,97.0,0.0,546.0,546.0,3.0,62.0,558.0,141.0,143.0,142.0,143.0,130.0,1,thoughtbot/guides,2012-07-27 03:15:44,3508,0.04503990877993159,0.0,0.0005701254275940707,0.14737742303306728,0.0,0.14794754846066135,558.0
carrierwaveuploader/carrierwave,0,1,0,1,0,1,1,1,0,8668,8668,1614,47,carrierwaveuploader/carrierwave,431.0,0.0,2.0,0.0,2480.0,130.0,1664.0,1794.0,2.0,794.0,796.0,6.0,200.0,578.0,146.0,142.0,150.0,142.0,144.0,1,carrierwaveuploader/carrierwave,2008-08-28 18:39:49,4937,0.08729997974478428,0.0,0.00040510431436094796,0.5023293498075755,0.0,0.5027344541219364,578.0
javan/whenever,0,0,0,1,0,1,1,0,0,8533,8533,710,48,javan/whenever,113.0,0.0,2.0,0.0,535.0,63.0,480.0,543.0,27.0,251.0,278.0,5.0,83.0,507.0,129.0,141.0,116.0,141.0,109.0,1,javan/whenever,2009-02-16 03:19:48,4765,0.02371458551941238,0.0,0.0004197271773347324,0.11227701993704092,0.0,0.11269674711437566,507.0
kaminari/kaminari,1,1,0,1,1,1,1,1,1,8073,8073,1063,49,kaminari/kaminari,170.0,0.0,2.0,0.0,1606.0,34.0,614.0,648.0,15.0,411.0,426.0,2.0,41.0,537.0,137.0,140.0,132.0,140.0,125.0,1,kaminari/kaminari,2011-02-06 08:07:20,4045,0.042027194066749075,0.0,0.0004944375772558715,0.39703337453646476,0.0,0.3975278121137206,537.0
heartcombo/simple_form,1,1,0,1,0,1,1,0,0,7871,7871,1303,50,heartcombo/simple_form,295.0,0.0,2.0,0.0,2024.0,21.0,1162.0,1183.0,7.0,567.0,574.0,6.0,196.0,550.0,140.0,139.0,140.0,139.0,132.0,1,heartcombo/simple_form,2009-12-28 14:23:48,4450,0.06629213483146068,0.0,0.00044943820224719103,0.4548314606741573,0.0,0.4552808988764045,550.0
