fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,fullname_y,open_prs,closed_prs,total_prs,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label,fullname,created_date,days,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,popularity_score
mpv-player/mpv,1,1,0,1,1,1,1,1,0,16904,16904,2087,34,mpv-player/mpv,mpv-player/mpv,92,2435,2527,583,9224,30,2,49475,687,6552,7239,9,84,618.0,166.0,157.0,133.0,157.0,171.0,1,mpv-player/mpv,2012-10-13 08:08:44,3430,0.16997084548104957,0.0005830903790087463,0.008746355685131196,14.424198250728862,0.06666666666666667,14.49961127308066,618.0
pbatard/rufus,0,1,0,1,0,0,1,1,0,16825,16825,1739,37,pbatard/rufus,pbatard/rufus,0,149,149,158,10878747,30,204,1876,13,1693,1706,3,35,562.0,147.0,156.0,126.0,156.0,124.0,1,pbatard/rufus,2011-11-19 19:12:05,3759,0.04203245544027667,0.05426975259377494,0.007980845969672785,0.49906890130353815,6.8,7.3070497472732105,562.0
arendst/Tasmota,0,1,0,1,1,1,1,1,0,16538,16538,3635,25,arendst/Tasmota,arendst/Tasmota,11,0,11,426,177565,30,810,14921,7,8459,8466,1,550,544.0,142.0,155.0,160.0,155.0,74.0,1,arendst/Tasmota,2017-01-28 13:37:08,1862,0.22878625134264233,0.43501611170784105,0.01611170784103115,8.01342642320086,27.0,35.02953813104189,544.0
facebook/zstd,1,1,0,1,1,1,1,1,0,15916,15916,1514,41,facebook/zstd,facebook/zstd,19,0,19,281,1338197,30,148,9517,96,905,1001,2,82,521.0,138.0,154.0,122.0,154.0,91.0,1,facebook/zstd,2015-01-24 00:22:38,2597,0.10820177127454755,0.05698883326915672,0.011551790527531768,3.6646130150173275,4.933333333333334,8.609498138878193,521.0
radareorg/radare2,1,1,0,1,1,1,1,1,0,15342,15342,2591,32,radareorg/radare2,radareorg/radare2,22,11383,11405,1000,2576,30,196,27472,818,7129,7947,0,140,631.0,167.0,153.0,143.0,153.0,182.0,1,radareorg/radare2,2012-07-03 07:42:26,3532,0.28312570781426954,0.05549263873159683,0.008493771234428085,7.778029445073613,6.533333333333333,14.319856549641374,631.0
gentilkiwi/mimikatz,1,0,0,1,0,1,1,0,0,14504,14504,2884,30,gentilkiwi/mimikatz,gentilkiwi/mimikatz,25,22,47,7,40176,10,20,322,109,228,337,0,16,559.0,145.0,152.0,149.0,152.0,106.0,1,gentilkiwi/mimikatz,2014-04-06 18:30:02,2890,0.002422145328719723,0.006920415224913495,0.0034602076124567475,0.11141868512110727,2.0,2.114878892733564,559.0
allinurl/goaccess,1,1,0,1,1,0,1,1,0,14041,14041,948,45,allinurl/goaccess,allinurl/goaccess,8,280,288,147,0,0,0,3701,342,1601,1943,2,335,549.0,144.0,151.0,108.0,151.0,139.0,1,allinurl/goaccess,2013-07-14 03:42:08,3156,0.04657794676806084,0.0,0.0,1.1726869455006337,-1,0.17268694550063368,549.0
micropython/micropython,0,1,0,1,0,0,0,1,0,13380,13380,4918,27,micropython/micropython,micropython/micropython,273,0,273,494,29809,12,24,13186,1142,2934,4076,2,86,605.0,159.0,150.0,167.0,150.0,138.0,1,micropython/micropython,2013-12-20 11:47:07,2997,0.1648314981648315,0.008008008008008008,0.004004004004004004,4.399733066399733,2.0,6.4037370704037375,605.0
vurtun/nuklear,1,1,0,1,0,1,1,0,0,13349,13349,1114,46,vurtun/nuklear,vurtun/nuklear,29,239,268,113,0,0,0,1712,207,451,658,1,258,547.0,143.0,149.0,112.0,149.0,137.0,1,vurtun/nuklear,2015-03-25 13:32:06,2537,0.04454079621600315,0.0,0.0,0.6748127709893575,-1,-0.32518722901064245,547.0
iovisor/bcc,1,1,0,1,0,1,1,1,0,13072,13072,2529,38,iovisor/bcc,iovisor/bcc,82,2362,2444,534,13443,15,28,4091,608,837,1445,6,166,608.0,161.0,148.0,142.0,148.0,170.0,1,iovisor/bcc,2015-05-01 19:52:32,2500,0.2136,0.0112,0.006,1.6364,1.8666666666666667,3.5090666666666666,608.0
