fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label,fullname_y,created_date,days,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,popularity_score
typeorm/typeorm,0,1,0,1,0,1,1,1,0,26427,26427,4744,32,typeorm/typeorm,853.0,0.0,2.0,0.0,4929.0,1444.0,5113.0,6557.0,23.0,2145.0,2168.0,5.0,196.0,648.0,167.0,164.0,170.0,164.0,150.0,1,typeorm/typeorm,2016-02-29 07:41:14,2196,0.38843351548269583,0.0,0.0009107468123861566,2.2445355191256833,0.0,2.2454462659380696,648.0
vuejs/vue-next,1,0,0,1,1,0,0,0,0,26155,26155,4543,33,vuejs/vue-next,321.0,0.0,2.0,0.0,4204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,496.0,121.0,163.0,169.0,163.0,1.0,1,vuejs/vue-next,2018-06-12 13:49:36,1362,0.2356828193832599,0.0,0.0014684287812041115,3.0866372980910426,0.0,3.0881057268722465,496.0
ReactiveX/rxjs,0,1,0,1,1,1,1,1,0,26062,26062,2680,34,ReactiveX/rxjs,531.0,0.0,2.0,0.0,4982.0,201.0,2799.0,3000.0,35.0,3597.0,3632.0,6.0,119.0,648.0,167.0,162.0,153.0,162.0,171.0,1,ReactiveX/rxjs,2015-03-15 06:17:10,2547,0.20848056537102475,0.0,0.0007852375343541421,1.956026698076168,0.0,1.9568119356105222,648.0
postcss/postcss,1,1,0,1,0,0,1,0,0,25532,25532,1433,35,postcss/postcss,403.0,0.0,2.0,0.0,3695.0,12.0,846.0,858.0,0.0,825.0,825.0,3.0,775.0,574.0,150.0,161.0,123.0,161.0,129.0,1,postcss/postcss,2013-09-24 23:06:48,3084,0.130674448767834,0.0,0.0006485084306095979,1.1981193255512321,0.0,1.1987678339818417,574.0
excalidraw/excalidraw,1,1,0,1,0,0,1,1,0,25212,25212,1904,36,excalidraw/excalidraw,198.0,487.0,3.0,3.0,2518.0,493.0,1253.0,1746.0,115.0,2908.0,3023.0,0.0,53.0,621.0,163.0,160.0,135.0,160.0,166.0,1,excalidraw/excalidraw,2020-01-02 01:04:43,793,0.24968474148802017,0.0037831021437578815,0.0037831021437578815,3.1752837326607817,1.0,4.179066834804539,621.0
angular/angular-cli,1,1,0,1,0,0,1,0,0,25071,25071,11900,37,angular/angular-cli,614.0,0.0,2.0,0.0,8974.0,232.0,13304.0,13536.0,23.0,8803.0,8826.0,8.0,167.0,688.0,176.0,159.0,186.0,159.0,184.0,1,angular/angular-cli,2015-06-04 19:49:37,2466,0.24898621248986214,0.0,0.0008110300081103001,3.6390916463909164,0.0,3.6399026763990268,688.0
niklasvh/html2canvas,1,1,0,1,0,0,1,1,0,24826,24826,4176,38,niklasvh/html2canvas,55.0,17685477.0,30.0,83.0,1066.0,713.0,1619.0,2332.0,37.0,405.0,442.0,3.0,12.0,597.0,157.0,158.0,164.0,158.0,117.0,1,niklasvh/html2canvas,2011-07-16 01:05:58,3885,0.014157014157014158,0.021364221364221364,0.007722007722007722,0.27438867438867437,2.7666666666666666,3.0487773487773486,597.0
cheeriojs/cheerio,1,1,0,1,1,1,1,0,0,24572,24572,1504,40,cheeriojs/cheerio,146.0,0.0,2.0,0.0,1844.0,20.0,1035.0,1055.0,4.0,1321.0,1325.0,10.0,217.0,573.0,148.0,156.0,124.0,156.0,137.0,1,cheeriojs/cheerio,2011-10-09 04:23:20,3800,0.038421052631578946,0.0,0.0005263157894736842,0.48526315789473684,0.0,0.48578947368421055,573.0
mobxjs/mobx,0,1,0,1,0,1,1,0,0,24572,24572,1611,39,mobxjs/mobx,314.0,0.0,2.0,0.0,3109.0,13.0,1773.0,1786.0,7.0,1111.0,1118.0,1.0,279.0,572.0,147.0,156.0,127.0,156.0,133.0,1,mobxjs/mobx,2015-03-14 14:31:38,2548,0.12323390894819466,0.0,0.0007849293563579278,1.2201726844583987,0.0,1.2209576138147566,572.0
react-hook-form/react-hook-form,1,1,0,1,0,1,1,0,0,24429,24429,1174,41,react-hook-form/react-hook-form,211.0,0.0,2.0,0.0,3135.0,0.0,3010.0,3010.0,16.0,1845.0,1861.0,41.0,266.0,573.0,148.0,155.0,116.0,155.0,147.0,1,react-hook-form/react-hook-form,2019-03-05 23:47:10,1096,0.19251824817518248,0.0,0.0018248175182481751,2.8604014598540144,0.0,2.8622262773722627,573.0
tannerlinsley/react-query,1,1,0,0,0,1,1,0,0,24136,24136,1256,42,tannerlinsley/react-query,404.0,0.0,2.0,0.0,1451.0,19.0,855.0,874.0,12.0,942.0,954.0,4.0,276.0,559.0,139.0,154.0,119.0,154.0,132.0,1,tannerlinsley/react-query,2019-09-10 19:23:58,907,0.4454244762954796,0.0,0.002205071664829107,1.5997794928335172,0.0,1.6019845644983464,559.0
supabase/supabase,1,1,0,1,0,0,1,0,0,24050,24050,1212,43,supabase/supabase,360.0,0.0,2.0,0.0,5257.0,201.0,859.0,1060.0,49.0,1598.0,1647.0,0.0,116.0,567.0,144.0,153.0,118.0,153.0,143.0,1,supabase/supabase,2019-10-12 05:56:49,875,0.4114285714285714,0.0,0.002285714285714286,6.008,0.0,6.010285714285715,567.0
JedWatson/react-select,1,1,0,1,0,1,1,0,0,23761,23761,3816,44,JedWatson/react-select,507.0,0.0,2.0,0.0,4052.0,154.0,3086.0,3240.0,57.0,1511.0,1568.0,6.0,213.0,606.0,160.0,152.0,160.0,152.0,142.0,1,JedWatson/react-select,2014-08-26 04:27:45,2748,0.18449781659388648,0.0,0.000727802037845706,1.4745269286754004,0.0,1.475254730713246,606.0
akveo/ngx-admin,1,1,0,1,0,1,1,0,0,23255,23255,7385,45,akveo/ngx-admin,37.0,0.0,2.0,0.0,536.0,382.0,1301.0,1683.0,63.0,881.0,944.0,0.0,57.0,611.0,161.0,151.0,178.0,151.0,131.0,1,akveo/ngx-admin,2016-05-25 10:09:03,2110,0.017535545023696683,0.0,0.0009478672985781991,0.25402843601895736,0.0,0.25497630331753557,611.0
ianstormtaylor/slate,0,1,0,1,0,0,1,1,0,23015,23015,2548,46,ianstormtaylor/slate,483.0,0.0,2.0,0.0,3797.0,466.0,2326.0,2792.0,10.0,1993.0,2003.0,2.0,217.0,599.0,159.0,150.0,150.0,150.0,149.0,1,ianstormtaylor/slate,2016-06-18 01:52:42,2086,0.23154362416107382,0.0,0.0009587727708533077,1.8202301054650047,0.0,1.821188878235858,599.0
chakra-ui/chakra-ui,1,1,0,1,0,1,1,1,0,22479,22479,1945,47,chakra-ui/chakra-ui,541.0,0.0,2.0,0.0,7915.0,120.0,2313.0,2433.0,29.0,2256.0,2285.0,0.0,287.0,590.0,154.0,149.0,139.0,149.0,153.0,1,chakra-ui/chakra-ui,2019-08-17 14:27:54,931,0.5810955961331902,0.0,0.0021482277121374865,8.501611170784104,0.0,8.503759398496241,590.0
angular/components,0,1,0,1,0,0,1,1,0,22334,22334,5931,48,angular/components,648.0,0.0,2.0,0.0,9418.0,1688.0,11296.0,12984.0,252.0,11214.0,11466.0,13.0,91.0,658.0,170.0,148.0,173.0,148.0,189.0,1,angular/components,2016-01-04 18:50:02,2252,0.2877442273534636,0.0,0.0008880994671403197,4.182060390763765,0.0,4.182948490230905,658.0
doczjs/docz,1,1,0,1,0,1,1,1,0,21987,21987,1398,49,doczjs/docz,136.0,0.0,2.0,0.0,1604.0,109.0,1122.0,1231.0,8.0,467.0,475.0,3.0,102.0,536.0,132.0,147.0,122.0,147.0,120.0,1,doczjs/docz,2018-03-17 04:24:10,1449,0.09385783298826778,0.0,0.0013802622498274672,1.1069703243616287,0.0,1.1083505866114562,536.0
t4t5/sweetalert,1,1,0,1,1,1,1,1,0,21857,21857,2899,50,t4t5/sweetalert,72.0,0.0,2.0,0.0,361.0,148.0,543.0,691.0,28.0,250.0,278.0,0.0,40.0,551.0,135.0,146.0,154.0,146.0,105.0,1,t4t5/sweetalert,2014-09-30 11:12:48,2713,0.026538886841135274,0.0,0.0007371913011426465,0.13306302985624768,0.0,0.13380022115739032,551.0
balena-io/etcher,0,1,0,1,1,1,1,0,0,21852,21852,1539,51,balena-io/etcher,87.0,427933.0,30.0,502.0,2968.0,344.0,1519.0,1863.0,3.0,1841.0,1844.0,9.0,78.0,562.0,142.0,145.0,126.0,145.0,146.0,1,balena-io/etcher,2015-10-27 16:53:23,2321,0.037483843171046964,0.21628608358466178,0.012925463162429988,1.2787591555364066,16.733333333333334,18.025017952032172,562.0
pmndrs/react-spring,1,1,0,1,1,1,1,1,0,21845,21845,944,52,pmndrs/react-spring,157.0,0.0,2.0,0.0,3234.0,48.0,1007.0,1055.0,5.0,388.0,393.0,0.0,12.0,512.0,127.0,144.0,111.0,144.0,113.0,1,pmndrs/react-spring,2018-03-07 15:39:32,1459,0.10760795065113091,0.0,0.0013708019191226869,2.2165867032213846,0.0,2.2179575051405074,512.0
