fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,Rank,Rank_real,star_rank,fork_rank,watchers_rank,pullrequest_rank,label,fullname_y,created_date,days,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,popularity_score
GoogleChrome/lighthouse,1,1,0,1,0,0,1,1,0,23828,23828,8261,73,GoogleChrome/lighthouse,334.0,0.0,30.0,0.0,5124.0,490.0,7673.0,8163.0,56.0,4750.0,4806.0,0.0,277.0,572.0,148.0,116.0,164.0,116.0,176.0,1,GoogleChrome/lighthouse,2016-03-08 01:03:11,2188,0.1526508226691042,0.0,0.013711151736745886,2.341864716636197,0.0,2.3555758683729433,572.0
goabstract/Awesome-Design-Tools,1,1,0,1,1,0,1,1,0,23707,23707,1788,74,goabstract/Awesome-Design-Tools,241.0,0.0,0.0,0.0,1649.0,1.0,25.0,26.0,53.0,306.0,359.0,0.0,867.0,443.0,101.0,115.0,102.0,115.0,111.0,1,goabstract/Awesome-Design-Tools,2019-02-12 13:55:30,1117,0.21575649059982094,0.0,0.0,1.4762757385854968,-1,0.47627573858549677,443.0
Automattic/mongoose,1,1,0,1,1,1,1,1,0,23547,23547,3289,75,Automattic/mongoose,784.0,0.0,21.0,0.0,15718.0,326.0,8925.0,9251.0,15.0,2097.0,2112.0,8.0,160.0,520.0,126.0,114.0,130.0,114.0,162.0,1,Automattic/mongoose,2010-04-06 21:39:05,4351,0.1801884624224316,0.0,0.004826476672029419,3.612502872902781,0.0,3.6173293495748102,520.0
SortableJS/Sortable,1,1,0,1,1,1,1,1,1,23508,23508,3354,76,SortableJS/Sortable,178.0,0.0,23.0,0.0,1074.0,348.0,1262.0,1610.0,14.0,450.0,464.0,11.0,207.0,473.0,113.0,113.0,131.0,113.0,116.0,1,SortableJS/Sortable,2013-12-19 10:10:13,2998,0.059372915276851235,0.0,0.007671781187458306,0.35823882588392264,0.0,0.36591060707138096,473.0
parallax/jsPDF,1,1,0,1,0,1,1,1,0,23228,23228,4159,77,parallax/jsPDF,208.0,0.0,30.0,0.0,2266.0,100.0,2084.0,2184.0,11.0,1184.0,1195.0,1.0,53.0,510.0,123.0,112.0,137.0,112.0,149.0,1,parallax/jsPDF,2009-12-06 14:56:32,4472,0.046511627906976744,0.0,0.006708407871198569,0.5067084078711985,0.0,0.5134168157423971,510.0
bvaughn/react-virtualized,1,1,0,1,1,1,1,1,0,22874,22874,2848,78,bvaughn/react-virtualized,223.0,0.0,4.0,0.0,1985.0,387.0,709.0,1096.0,60.0,547.0,607.0,1.0,94.0,464.0,108.0,111.0,119.0,111.0,123.0,1,bvaughn/react-virtualized,2015-11-03 00:48:07,2314,0.09636992221261884,0.0,0.001728608470181504,0.8578219533275713,0.0,0.8595505617977528,464.0
pcottle/learnGitBranching,0,1,0,1,0,0,1,1,0,22870,22870,5024,79,pcottle/learnGitBranching,265.0,0.0,0.0,0.0,2646.0,10.0,382.0,392.0,2.0,535.0,537.0,15.0,119.0,481.0,115.0,110.0,142.0,110.0,119.0,1,pcottle/learnGitBranching,2012-08-13 22:36:09,3491,0.07590948152391865,0.0,0.0,0.7579490117444858,-1,-0.2420509882555142,481.0
OAI/OpenAPI-Specification,0,1,0,1,1,1,1,0,0,22528,22528,7928,80,OAI/OpenAPI-Specification,218.0,0.0,10.0,0.0,1927.0,488.0,1324.0,1812.0,40.0,924.0,964.0,60.0,144.0,518.0,124.0,109.0,161.0,109.0,139.0,1,OAI/OpenAPI-Specification,2014-03-03 16:53:36,2924,0.07455540355677155,0.0,0.003419972640218878,0.6590287277701778,0.0,0.6624487004103967,518.0
ccxt/ccxt,1,1,0,1,0,1,1,1,0,22322,22322,5478,81,ccxt/ccxt,654.0,0.0,0.0,0.0,50063.0,518.0,6145.0,6663.0,164.0,5340.0,5504.0,0.0,7061.0,540.0,133.0,108.0,146.0,108.0,178.0,1,ccxt/ccxt,2017-05-14 15:41:56,1756,0.3724373576309795,0.0,0.0,28.50968109339408,-1,27.50968109339408,540.0
Binaryify/NeteaseCloudMusicApi,1,0,0,1,1,1,1,0,0,22139,22139,6410,82,Binaryify/NeteaseCloudMusicApi,75.0,0.0,30.0,0.0,1144.0,92.0,1032.0,1124.0,14.0,324.0,338.0,55.0,139.0,477.0,114.0,107.0,153.0,107.0,110.0,1,Binaryify/NeteaseCloudMusicApi,2016-06-22 11:58:03,2082,0.03602305475504323,0.0,0.01440922190201729,0.5494716618635928,0.0,0.5638808837656101,477.0
