fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,Label
OpenRA/OpenRA,0,1,0,1,0,1,1,1,0,10163,10163,2316,27,OpenRA/OpenRA,410.0,45967.0,30.0,261.0,28593.0,1515.0,7119.0,8634.0,91.0,9078.0,9169.0,1.0,38.0,OpenRA/OpenRA,2010-10-04 07:38:05,4204,10.934110371075166,0.0975261655566127,0.0620837297811608,0.0071360608943862,6.801379638439581,8.7,15.508515699333966,1
aspnetboilerplate/aspnetboilerplate,1,1,0,1,0,1,1,0,0,10020,10020,3522,28,aspnetboilerplate/aspnetboilerplate,219.0,0.0,2.0,0.0,7062.0,191.0,5011.0,5202.0,5.0,1180.0,1185.0,1.0,49.0,aspnetboilerplate/aspnetboilerplate,2013-08-18 20:45:08,3155,0.0,0.0694136291600634,0.0,0.000633914421553,2.238351822503962,0.0,2.238985736925515,1
dotnet/AspNetCore.Docs,0,1,0,0,0,0,1,0,0,9899,9899,23160,29,dotnet/AspNetCore.Docs,1694.0,4540.0,30.0,30.0,13809.0,543.0,11214.0,11757.0,9.0,13409.0,13418.0,1.0,25.0,dotnet/AspNetCore.Docs,2014-12-19 17:38:02,2667,1.7022872140982377,0.6351706036745407,0.0112485939257592,0.0112485939257592,5.177727784026996,1.0,6.188976377952756,1
App-vNext/Polly,1,1,0,1,1,1,1,1,1,9894,9894,929,30,App-vNext/Polly,72.0,518.0,27.0,42.0,1000.0,69.0,469.0,538.0,5.0,385.0,390.0,2.0,203.0,App-vNext/Polly,2013-05-05 04:40:04,3260,0.1588957055214724,0.0220858895705521,0.012883435582822,0.008282208588957,0.3067484662576687,1.5555555555555556,1.8705862304021812,1
lionsoul2014/ip2region,1,0,0,1,0,0,0,0,0,9786,9786,1784,31,lionsoul2014/ip2region,36.0,0.0,2.0,0.0,311.0,24.0,129.0,153.0,5.0,47.0,52.0,0.0,43.0,lionsoul2014/ip2region,2015-11-02 00:43:13,2349,0.0,0.0153256704980842,0.0,0.0008514261387824,0.1323967645806726,0.0,0.13324819071945498,0
mono/mono,0,0,0,1,0,1,0,1,0,9593,9593,3620,32,mono/mono,1325.0,0.0,2.0,0.0,122541.0,2063.0,2750.0,4813.0,93.0,16428.0,16521.0,0.0,55.0,mono/mono,2010-07-22 18:06:36,4278,0.0,0.309724170172978,0.0,0.0004675081813931,28.64446002805049,0.0,28.644927536231883,1
JamesNK/Newtonsoft.Json,0,1,0,0,0,0,0,0,0,8964,8964,2944,33,JamesNK/Newtonsoft.Json,125.0,664636.0,30.0,30.0,1853.0,558.0,1473.0,2031.0,67.0,529.0,596.0,0.0,14.0,JamesNK/Newtonsoft.Json,2012-02-18 07:30:28,3702,179.5343057806591,0.0337655321447866,0.0081037277147487,0.0081037277147487,0.5005402485143166,1.0,1.5086439762290653,1
ardalis/CleanArchitecture,0,1,0,1,1,1,1,0,0,8728,8728,1595,34,ardalis/CleanArchitecture,41.0,0.0,2.0,0.0,312.0,14.0,129.0,143.0,14.0,183.0,197.0,1.0,40.0,ardalis/CleanArchitecture,2016-09-30 14:19:20,2016,0.0,0.0203373015873015,0.0,0.0009920634920634,0.1547619047619047,0.0,0.15575396825396812,0
bitwarden/server,0,1,0,1,0,0,1,1,0,8726,8726,737,35,bitwarden/server,99.0,4962.0,30.0,56.0,3315.0,97.0,769.0,866.0,16.0,1007.0,1023.0,0.0,56.0,bitwarden/server,2015-11-23 23:45:33,2328,2.131443298969072,0.0425257731958762,0.0240549828178694,0.0128865979381443,1.4239690721649485,1.8666666666666667,3.3035223367697597,1
Unity-Technologies/UnityCsReference,0,0,0,0,0,0,1,0,0,8524,8524,1863,36,Unity-Technologies/UnityCsReference,1.0,0.0,2.0,0.0,145.0,0.0,0.0,0.0,2.0,14.0,16.0,0.0,145.0,Unity-Technologies/UnityCsReference,2018-03-23 13:08:32,1477,0.0,0.0006770480704129,0.0,0.0013540961408259,0.0981719702098849,0.0,0.0995260663507108,0
SignalR/SignalR,1,1,0,1,0,1,1,1,1,8508,8508,2283,37,SignalR/SignalR,111.0,0.0,2.0,0.0,4723.0,27.0,3563.0,3590.0,1.0,1025.0,1026.0,0.0,45.0,SignalR/SignalR,2011-07-22 03:52:19,3913,0.0,0.0283669818553539,0.0,0.0005111167901865,1.207002300025556,0.0,1.2075134168157426,1
ppy/osu,0,1,0,1,1,1,1,1,0,8485,8485,1423,38,ppy/osu,370.0,143536.0,30.0,329.0,49559.0,764.0,5911.0,6675.0,51.0,8468.0,8519.0,0.0,110.0,ppy/osu,2014-07-31 04:26:30,2808,51.11680911680912,0.1317663817663817,0.1171652421652421,0.0106837606837606,17.649216524216524,10.966666666666669,28.626566951566954,1
cefsharp/CefSharp,1,1,0,1,1,1,1,0,0,8410,8410,2719,39,cefsharp/CefSharp,205.0,0.0,2.0,0.0,6049.0,36.0,2545.0,2581.0,2.0,818.0,820.0,2.0,175.0,cefsharp/CefSharp,2010-12-03 15:23:23,4144,0.0,0.0494691119691119,0.0,0.0004826254826254,1.4597007722007722,0.0,1.4601833976833976,1
IdentityServer/IdentityServer4,0,1,0,1,1,1,1,0,0,8405,8405,3256,40,IdentityServer/IdentityServer4,292.0,0.0,2.0,0.0,3270.0,49.0,4445.0,4494.0,7.0,917.0,924.0,0.0,78.0,IdentityServer/IdentityServer4,2015-11-22 08:21:58,2329,0.0,0.1253756977243452,0.0,0.0008587376556462,1.404036066981537,0.0,1.4048948046371832,1
AutoMapper/AutoMapper,0,1,0,1,0,1,1,0,0,8384,8384,1642,41,AutoMapper/AutoMapper,193.0,0.0,2.0,0.0,3904.0,0.0,2750.0,2750.0,3.0,984.0,987.0,0.0,37.0,AutoMapper/AutoMapper,2010-02-06 15:17:58,4444,0.0,0.0434293429342934,0.0,0.0004500450045004,0.8784878487848785,0.0,0.8789378937893789,1
restsharp/RestSharp,1,1,0,0,0,1,1,1,0,8134,8134,2175,42,restsharp/RestSharp,300.0,0.0,2.0,0.0,2004.0,18.0,1151.0,1169.0,8.0,599.0,607.0,3.0,20.0,restsharp/RestSharp,2009-11-16 02:01:45,4526,0.0,0.066283694211224,0.0,0.0004418912947414,0.4427750773309766,0.0,0.443216968625718,1
felixse/FluentTerminal,1,1,0,1,0,0,1,0,1,8112,8112,418,43,felixse/FluentTerminal,63.0,135108.0,30.0,39.0,650.0,233.0,460.0,693.0,1.0,288.0,289.0,1.0,50.0,felixse/FluentTerminal,2018-01-21 09:45:11,1538,87.84655396618986,0.0409622886866059,0.0253576072821846,0.0195058517555266,0.4226267880364109,1.3,1.7421326397919374,1
dotnet/csharplang,0,0,0,1,0,0,1,0,0,8056,8056,852,44,dotnet/csharplang,142.0,0.0,2.0,0.0,1826.0,424.0,1559.0,1983.0,23.0,729.0,752.0,1.0,15.0,dotnet/csharplang,2016-12-09 01:45:27,1946,0.0,0.0729701952723535,0.0,0.001027749229188,0.9383350462487152,0.0,0.9393627954779032,1
dotnet/orleans,0,1,0,1,0,1,1,0,0,8054,8054,1760,45,dotnet/orleans,335.0,0.0,2.0,0.0,5203.0,305.0,2914.0,3219.0,22.0,4319.0,4341.0,5.0,89.0,dotnet/orleans,2014-12-19 14:32:50,2667,0.0,0.1256092988376453,0.0,0.0007499062617172,1.9508811398575177,0.0,1.9516310461192348,1
MahApps/MahApps.Metro,0,1,0,1,0,1,1,0,1,7996,7996,2356,46,MahApps/MahApps.Metro,216.0,5892.0,30.0,85.0,6122.0,65.0,2713.0,2778.0,7.0,1369.0,1376.0,3.0,95.0,MahApps/MahApps.Metro,2011-10-16 04:16:10,3827,1.5395871439770057,0.0564410765612751,0.0222106088319832,0.0078390384112882,1.5996864384635483,2.833333333333333,4.440858810208169,1
MonoGame/MonoGame,0,1,0,1,0,1,1,1,0,7982,7982,2518,47,MonoGame/MonoGame,430.0,21049.0,17.0,55.0,12883.0,685.0,2707.0,3392.0,104.0,4091.0,4195.0,2.0,69.0,MonoGame/MonoGame,2011-04-07 00:23:40,4019,5.237372480716596,0.1069917890022393,0.0136849962677282,0.0042299079372978,3.205523762129883,3.235294117647059,6.445047787714239,1
chocolatey/choco,1,1,0,1,1,1,1,1,0,7874,7874,785,48,chocolatey/choco,116.0,147.0,2.0,4.0,3416.0,759.0,1355.0,2114.0,65.0,361.0,426.0,37.0,68.0,chocolatey/choco,2014-12-30 22:12:11,2656,0.0553463855421686,0.0436746987951807,0.0015060240963855,0.0007530120481927,1.286144578313253,2.0,3.2868975903614457,1
dotnet/machinelearning,0,1,0,1,1,1,1,1,0,7734,7734,1697,49,dotnet/machinelearning,198.0,0.0,2.0,0.0,2543.0,640.0,2570.0,3210.0,9.0,2840.0,2849.0,3.0,63.0,dotnet/machinelearning,2018-05-03 16:20:42,1436,0.0,0.1378830083565459,0.0,0.0013927576601671,1.7708913649025069,0.0,1.772284122562674,1
dotnet/runtime,0,1,0,1,0,1,1,1,0,7646,7646,2556,50,dotnet/runtime,2529.0,0.0,2.0,0.0,116183.0,7841.0,38541.0,46382.0,219.0,18636.0,18855.0,2.0,25.0,dotnet/runtime,2019-09-24 23:36:39,927,0.0,2.7281553398058254,0.0,0.0021574973031283,125.33225458468176,0.0,125.3344120819849,1
JustArchiNET/ArchiSteamFarm,1,1,0,1,0,0,1,0,0,7172,7172,854,51,JustArchiNET/ArchiSteamFarm,47.0,2941.0,30.0,298.0,9862.0,0.0,1101.0,1101.0,0.0,1327.0,1327.0,1.0,115.0,JustArchiNET/ArchiSteamFarm,2015-10-25 05:12:33,2357,1.2477725922783198,0.0199406024607551,0.1264319049639372,0.0127280441238862,4.1841323716588885,9.933333333333334,14.130193749116108,1
jbogard/MediatR,0,1,0,1,0,0,0,0,0,7164,7164,891,52,jbogard/MediatR,67.0,0.0,2.0,0.0,502.0,70.0,469.0,539.0,8.0,163.0,171.0,0.0,13.0,jbogard/MediatR,2014-03-03 15:01:22,2958,0.0,0.0226504394861392,0.0,0.0006761325219743,0.169709263015551,0.0,0.1703853955375253,0
NancyFx/Nancy,0,1,0,1,0,1,1,1,0,7155,7155,1518,53,NancyFx/Nancy,338.0,0.0,2.0,0.0,5476.0,196.0,1136.0,1332.0,26.0,1646.0,1672.0,0.0,17.0,NancyFx/Nancy,2010-06-24 19:35:22,4306,0.0,0.0784951230840687,0.0,0.0004644681839294,1.2717138875986995,0.0,1.272178355782629,1
jasontaylordev/CleanArchitecture,1,1,0,1,0,1,1,0,0,7125,7125,1596,54,jasontaylordev/CleanArchitecture,55.0,0.0,2.0,0.0,354.0,73.0,258.0,331.0,19.0,120.0,139.0,1.0,58.0,jasontaylordev/CleanArchitecture,2019-10-07 18:44:32,914,0.0,0.0601750547045951,0.0,0.0021881838074398,0.387308533916849,0.0,0.3894967177242888,1
dotnet/BenchmarkDotNet,0,1,0,1,0,1,1,1,0,7110,7110,728,55,dotnet/BenchmarkDotNet,190.0,0.0,2.0,0.0,2214.0,167.0,1098.0,1265.0,29.0,648.0,677.0,7.0,115.0,dotnet/BenchmarkDotNet,2013-08-18 06:17:48,3155,0.0,0.0602218700475435,0.0,0.000633914421553,0.701743264659271,0.0,0.702377179080824,1
