fullname_x,C0,C1,C2,C3,C4,C5,C6,C7,C8,number_of_stars,num_of_watchers,num_of_forks,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,Label
alibaba/spring-cloud-alibaba,0,1,0,1,1,1,1,0,0,20798,20798,6384,43,alibaba/spring-cloud-alibaba,152.0,0.0,27.0,0.0,2055.0,360.0,1294.0,1654.0,18.0,756.0,774.0,1.0,50.0,alibaba/spring-cloud-alibaba,2017-12-01 20:49:15,1589,0.0,0.0956576463184392,0.0,0.0169918187539332,1.2932662051604782,0.0,1.3102580239144115,0
alibaba/nacos,1,1,0,1,0,1,1,1,0,20501,20501,8594,45,alibaba/nacos,277.0,516680.0,30.0,60.0,3952.0,646.0,4715.0,5361.0,44.0,2392.0,2436.0,35.0,67.0,alibaba/nacos,2018-06-15 06:49:27,1393,370.91170136396266,0.1988513998564249,0.0430725053840631,0.0215362526920315,2.8370423546302943,2.0,4.858578607322325,0
halo-dev/halo,1,1,0,1,0,0,1,0,0,20404,20404,6970,46,halo-dev/halo,91.0,33294.0,30.0,30.0,2099.0,77.0,1003.0,1080.0,3.0,592.0,595.0,0.0,141.0,halo-dev/halo,2018-03-21 12:56:52,1479,22.511156186612578,0.0615280594996619,0.0202839756592292,0.0202839756592292,1.4192021636240704,1.0,2.4394861392832996,0
google/gson,0,1,0,1,0,1,1,0,0,20340,20340,3940,47,google/gson,133.0,0.0,3.0,0.0,1645.0,481.0,967.0,1448.0,154.0,450.0,604.0,1.0,42.0,google/gson,2015-03-19 18:21:20,2577,0.0,0.0516103996895615,0.0,0.0011641443538998,0.6383391540551029,0.0,0.6395032984090027,0
xuxueli/xxl-job,0,1,0,0,1,1,1,1,1,20057,20057,8498,48,xuxueli/xxl-job,82.0,0.0,30.0,0.0,1694.0,802.0,1635.0,2437.0,88.0,265.0,353.0,0.0,342.0,xuxueli/xxl-job,2015-11-28 12:59:34,2323,0.0,0.0352991820921222,0.0,0.012914334911752,0.7292294446835988,0.0,0.7421437795953508,0
ReactiveX/RxAndroid,0,1,0,1,0,1,1,1,0,19556,19556,3001,49,ReactiveX/RxAndroid,86.0,0.0,18.0,0.0,518.0,1.0,340.0,341.0,0.0,230.0,230.0,2.0,63.0,ReactiveX/RxAndroid,2014-08-19 03:46:38,2789,0.0,0.0308354248834707,0.0,0.0064539261384008,0.1857296522050914,0.0,0.1921835783434922,1
libgdx/libgdx,0,1,0,1,0,1,1,1,0,19363,19363,6237,50,libgdx/libgdx,673.0,24479.0,8.0,3.0,14898.0,169.0,3283.0,3452.0,68.0,3214.0,3282.0,2.0,67.0,libgdx/libgdx,2012-08-10 19:34:38,3528,6.938492063492063,0.1907596371882086,0.0008503401360544,0.0022675736961451,4.2227891156462585,0.375,4.600056689342404,0
DrKLO/Telegram,0,1,0,1,0,0,1,0,0,18748,18748,6503,51,DrKLO/Telegram,19.0,0.0,30.0,0.0,439.0,0.0,0.0,0.0,211.0,310.0,521.0,0.0,10.0,DrKLO/Telegram,2013-10-25 14:08:10,3087,0.0,0.0061548428895367,0.0,0.0097181729834791,0.1422092646582442,0.0,0.1519274376417233,1
google/ExoPlayer,0,1,0,1,1,0,1,0,0,18586,18586,5452,52,google/ExoPlayer,295.0,0.0,17.0,0.0,12924.0,534.0,8372.0,8906.0,26.0,1051.0,1077.0,12.0,56.0,google/ExoPlayer,2014-06-13 21:19:18,2856,0.0,0.1032913165266106,0.0,0.0059523809523809,4.525210084033613,0.0,4.531162464985994,0
didi/DoraemonKit,1,1,0,0,0,0,0,0,0,18261,18261,2697,53,didi/DoraemonKit,156.0,0.0,7.0,0.0,2167.0,146.0,461.0,607.0,17.0,368.0,385.0,0.0,208.0,didi/DoraemonKit,2018-08-14 10:32:07,1333,0.0,0.1170292573143285,0.0,0.005251312828207,1.625656414103526,0.0,1.630907726931733,0
